tournament,tournament_id,year,match_number,date,stage,status,team,team_code,opponent,opponent_code,is_home,city,country,neutral,team_elo_start,opponent_elo_start
2006 FIFA Men's World Cup,WC-2006,2006,16,2006-06-14,Group Stage,played,Ukraine,UKR,Spain,ESP,FALSE,Leipzig,Germany,TRUE,1790,1964
2006 FIFA Men's World Cup,WC-2006,2006,30,2006-06-19,Group Stage,played,Ukraine,UKR,Saudi Arabia,SAU,FALSE,Hamburg,Germany,TRUE,1760,1566
2006 FIFA Men's World Cup,WC-2006,2006,48,2006-06-23,Group Stage,played,Ukraine,UKR,Tunisia,TUN,TRUE,Berlin,Germany,TRUE,1788,1678
2006 FIFA Men's World Cup,WC-2006,2006,54,2006-06-26,Round of 16,played,Ukraine,UKR,Switzerland,CHE,FALSE,Cologne,Germany,TRUE,1809,1862
2006 FIFA Men's World Cup,WC-2006,2006,58,2006-06-30,Quarter-final,played,Ukraine,UKR,Italy,ITA,FALSE,Hamburg,Germany,TRUE,1814,2001
