Country,Times_Hosted,Years_Hosted,Wins_As_Host
Brazil,2,"1950, 2014",0
France,2,"1938, 1998",0
Mexico,2,"1970, 1986",0
Italy,2,"1934, 1990",0
Argentina,1,1978,0
Chile,1,1962,0
Germany,1,2006,0
England,1,1966,0
Qatar,1,2022,0
Russia,1,2018,0
South Africa,1,2010,0
South Korea / Japan,1,2002,0
Spain,1,1982,0
Sweden,1,1958,0
Switzerland,1,1954,0
United States,1,1994,0
Uruguay,1,1930,0
West Germany,1,1974,0
