tournament,tournament_id,year,match_id,match_number,date,stage,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,city,country,neutral,team_elo_start,opponent_elo_start
1930 FIFA Men's World Cup,WC-1930,1930,WC-1930_009,9,1930-07-18,Group Stage,played,Uruguay,URY,URY,CONMEBOL,Peru,PER,PER,CONMEBOL,TRUE,Montevideo,Uruguay,FALSE,1968,1499
1930 FIFA Men's World Cup,WC-1930,1930,WC-1930_014,14,1930-07-21,Group Stage,played,Uruguay,URY,URY,CONMEBOL,Romania,ROU,ROU,UEFA,TRUE,Montevideo,Uruguay,FALSE,1970,1603
1930 FIFA Men's World Cup,WC-1930,1930,WC-1930_017,17,1930-07-27,Semi-final,played,Uruguay,URY,URY,CONMEBOL,Yugoslavia,YUG,YUG,UEFA,TRUE,Montevideo,Uruguay,FALSE,1977,1653
1930 FIFA Men's World Cup,WC-1930,1930,WC-1930_018,18,1930-07-30,Final,played,Uruguay,URY,URY,CONMEBOL,Argentina,ARG,ARG,CONMEBOL,TRUE,Montevideo,Uruguay,FALSE,1987,2106
1950 FIFA Men's World Cup,WC-1950,1950,WC-1950_012,12,1950-07-02,Group Stage,played,Uruguay,URY,URY,CONMEBOL,Bolivia,BOL,BOL,CONMEBOL,FALSE,Belo Horizonte,Brazil,TRUE,1737,1445
1950 FIFA Men's World Cup,WC-1950,1950,WC-1950_018,18,1950-07-09,Final,played,Uruguay,URY,URY,CONMEBOL,Spain,ESP,ESP,UEFA,FALSE,São Paulo,Brazil,TRUE,1759,1961
1950 FIFA Men's World Cup,WC-1950,1950,WC-1950_020,20,1950-07-13,Final,played,Uruguay,URY,URY,CONMEBOL,Sweden,SWE,SWE,UEFA,FALSE,São Paulo,Brazil,TRUE,1775,1947
1950 FIFA Men's World Cup,WC-1950,1950,WC-1950_021,21,1950-07-16,Final,played,Uruguay,URY,URY,CONMEBOL,Brazil,BRA,BRA,CONMEBOL,FALSE,Rio de Janeiro,Brazil,FALSE,1819,2066
1954 FIFA Men's World Cup,WC-1954,1954,WC-1954_003,3,1954-06-16,Group Stage,played,Uruguay,URY,URY,CONMEBOL,Czechoslovakia,CSK,CSK,UEFA,FALSE,Bern,Switzerland,TRUE,1877,1748
1954 FIFA Men's World Cup,WC-1954,1954,WC-1954_012,12,1954-06-19,Group Stage,played,Uruguay,URY,URY,CONMEBOL,Scotland,SCO,SCO,UEFA,FALSE,Basel,Switzerland,TRUE,1906,1867
1954 FIFA Men's World Cup,WC-1954,1954,WC-1954_019,19,1954-06-26,Quarter-final,played,Uruguay,URY,URY,CONMEBOL,England,ENG,ENG,UEFA,FALSE,Basel,Switzerland,TRUE,1966,2026
1954 FIFA Men's World Cup,WC-1954,1954,WC-1954_024,24,1954-06-30,Semi-final,played,Uruguay,URY,URY,CONMEBOL,Hungary,HUN,HUN,UEFA,FALSE,Lausanne,Switzerland,TRUE,2019,2212
1954 FIFA Men's World Cup,WC-1954,1954,WC-1954_025,25,1954-07-03,Third Place,played,Uruguay,URY,URY,CONMEBOL,Austria,AUT,AUT,UEFA,FALSE,Zürich,Switzerland,TRUE,1997,1914
1962 FIFA Men's World Cup,WC-1962,1962,WC-1962_004,4,1962-05-30,Group Stage,played,Uruguay,URY,URY,CONMEBOL,Colombia,COL,COL,CONMEBOL,FALSE,Arica,Chile,TRUE,1906,1440
1962 FIFA Men's World Cup,WC-1962,1962,WC-1962_012,12,1962-06-02,Group Stage,played,Uruguay,URY,URY,CONMEBOL,Yugoslavia,YUG,YUG,UEFA,TRUE,Arica,Chile,TRUE,1910,1944
