team,team_code,tournament,tournament_id,year,player_name,player_id,position,pos_code,shirt_number,date_of_birth,age,club,club_country,caps,goals
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Carlos Riolfo,P-98216,midfielder,MF,,1905-11-05,24,,,,
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Conduelo Píriz,P-41238,midfielder,MF,,1905-06-17,25,,,,
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Domingo Tejera,P-86932,defender,DF,,1899-07-27,30,,,,
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Emilio Recoba,P-63026,defender,DF,,1904-11-03,25,,,,
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Enrique Ballesteros,P-63987,goal keeper,GK,,1905-01-18,25,,,,
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Ernesto Mascheroni,P-49150,defender,DF,,1907-11-21,22,Olimpia Montevideo,Uruguay,3,0
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Héctor Castro,P-54697,forward,FW,,1904-11-29,25,Nacional Montevideo,Uruguay,3,1
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Héctor Scarone,P-44201,forward,FW,,1898-11-26,31,Nacional Montevideo,Uruguay,4,1
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,José Leandro Andrade,P-63826,midfielder,MF,,1901-11-22,28,,,,
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,José Nasazzi,P-76270,defender,DF,,1901-05-24,29,Bella Vista Montevideo,Uruguay,4,0
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Juan Carlos Calvo,P-47453,forward,FW,,1906-06-26,24,,,,
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Lorenzo Fernández,P-53856,midfielder,MF,,1900-05-20,30,CA Peñarol,Uruguay,4,0
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Miguel Capuccini,P-76186,goal keeper,GK,,1904-01-05,26,,,,
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Pablo Dorado,P-38674,forward,FW,,1908-06-22,22,Bella Vista Montevideo,Uruguay,4,2
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Pedro Cea,P-18628,forward,FW,,1900-09-01,29,Nacional Montevideo,Uruguay,4,5
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Pedro Petrone,P-93278,forward,FW,,1905-05-11,25,Nacional Montevideo,Uruguay,2,1
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Peregrino Anselmo,P-57352,forward,FW,,1902-04-30,28,,,,
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Santos Iriarte,P-31959,forward,FW,,1902-11-02,27,Racing Montevideo,Uruguay,4,2
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Santos Urdinarán,P-17569,forward,FW,,1900-03-30,30,Nacional Montevideo,Uruguay,1,0
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Zoilo Saldombide,P-93344,forward,FW,,1905-03-18,25,,,,
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Álvaro Gestido,P-39785,midfielder,MF,,1907-05-17,23,CA Peñarol,Uruguay,4,0
Uruguay,URY,1930 FIFA Men's World Cup,WC-1930,1930,Ángel Melogno,P-55304,midfielder,MF,,1905-03-22,25,,,,
Uruguay,URY,1950 FIFA Men's World Cup,WC-1950,1950,Alcides Ghiggia,P-16302,forward,FW,,1926-12-22,23,CA Peñarol,Uruguay,5,4
