team,team_code,tournament,tournament_id,year,player_name,player_id,position,pos_code,shirt_number,date_of_birth,age,club,club_country,caps,goals
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Ahmet Berman,P-53949,defender,DF,19,1932-01-01,22,,,,
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Ali Beratlıgil,P-81979,defender,DF,14,1931-10-21,22,,,,
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Basri Dirimlili,P-09221,defender,DF,3,1929-06-07,25,Fenerbahçe SK,Turkey,6,0
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Burhan Sargun,P-04515,forward,FW,10,1929-02-11,25,,,,
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Bülent Eken,P-25326,goal keeper,GK,13,1934-01-01,20,,,,
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Coşkun Taş,P-93253,forward,FW,22,1935-04-23,19,Beşiktaş JK,Turkey,3,0
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Erol Keskin,P-15472,forward,FW,7,1927-03-02,27,Adalet SK,Turkey,3,1
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Feridun Buğeker,P-15041,forward,FW,9,1933-04-05,21,Fenerbahçe SK,Turkey,4,0
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Kadri Aytaç,P-71030,forward,FW,21,1931-08-06,22,Galatasaray SK,Turkey,1,0
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Kaçmaz Akgün,P-41399,defender,DF,18,1935-02-19,19,,,,
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Lefter Küçükandonyadis,P-92456,forward,FW,11,1925-12-22,28,Fenerbahçe SK,Turkey,7,2
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Mehmet Dinçer,P-72128,midfielder,MF,15,1924-01-01,30,,,,
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Mustafa Ertan,P-04447,defender,DF,4,1926-04-21,28,Ankaragücü,Turkey,6,1
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Naci Erdem,P-88221,defender,DF,17,1931-01-28,23,Fenerbahçe SK,Turkey,1,0
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Necmi Onarıcı,P-72588,forward,FW,20,1925-11-02,28,Adalet SK,Turkey,2,0
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Nedim Günar,P-70566,defender,DF,16,1932-01-02,22,Fenerbahçe SK,Turkey,1,0
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Rober Eryol,P-58180,midfielder,MF,6,1930-12-21,23,Galatasaray SK,Turkey,3,0
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Rıdvan Bolatlı,P-90871,defender,DF,2,1928-12-02,25,Ankaragücü,Turkey,5,0
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Suat Mamat,P-71884,forward,FW,8,1930-11-08,23,Galatasaray SK,Turkey,5,4
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Turgay Şeren,P-09081,goal keeper,GK,1,1932-05-15,22,Galatasaray SK,Turkey,5,0
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Çetin Zeybek,P-88846,midfielder,MF,5,1932-09-12,21,Kasımpaşa SK,Turkey,5,0
Turkey,TUR,1954 FIFA Men's World Cup,WC-1954,1954,Şükrü Ersoy,P-38003,goal keeper,GK,12,1934-01-14,20,,,,
Turkey,TUR,2002 FIFA Men's World Cup,WC-2002,2002,Abdullah Ercan,P-58069,midfielder,MF,19,1971-12-08,30,Fenerbahçe SK,Turkey,0,0
Turkey,TUR,2002 FIFA Men's World Cup,WC-2002,2002,Alpay Özalan,P-44850,defender,DF,5,1973-05-29,29,Aston Villa FC,England,11,0
