tournament_id,match_id,match_number,date,stage,status,team_id,team,team_confederation,opponent_id,opponent,opponent_confederation,is_home,team_score,opponent_score,result,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta,city,country,neutral,decided_by_shootout,shootout_winner
WC-1938,WC-1938_001,1,1938-06-04,Round of 16,played,GER,Germany,UEFA,CHE,Switzerland,UEFA,TRUE,1,1,draw,1831,1670,1818,1683,-13,Paris,France,TRUE,FALSE,
WC-1938,WC-1938_001,1,1938-06-04,Round of 16,played,CHE,Switzerland,UEFA,GER,Germany,UEFA,FALSE,1,1,draw,1670,1831,1683,1818,13,Paris,France,TRUE,FALSE,
WC-1938,WC-1938_002,2,1938-06-05,Round of 16,played,BRA,Brazil,CONMEBOL,POL,Poland,UEFA,TRUE,6,5,win,1904,1629,1914,1619,10,Strasbourg,France,TRUE,FALSE,
WC-1938,WC-1938_002,2,1938-06-05,Round of 16,played,POL,Poland,UEFA,BRA,Brazil,CONMEBOL,FALSE,5,6,loss,1629,1904,1619,1914,-10,Strasbourg,France,TRUE,FALSE,
WC-1938,WC-1938_003,3,1938-06-05,Round of 16,played,CUB,Cuba,CONCACAF,ROU,Romania,UEFA,TRUE,3,3,draw,1543,1557,1544,1556,1,Toulouse,France,TRUE,FALSE,
WC-1938,WC-1938_003,3,1938-06-05,Round of 16,played,ROU,Romania,UEFA,CUB,Cuba,CONCACAF,FALSE,3,3,draw,1557,1543,1556,1544,-1,Toulouse,France,TRUE,FALSE,
WC-1938,WC-1938_004,4,1938-06-05,Round of 16,played,CSK,Czechoslovakia,UEFA,NED,Netherlands,UEFA,TRUE,3,0,win,1823,1707,1859,1671,36,Le Havre,France,TRUE,FALSE,
WC-1938,WC-1938_004,4,1938-06-05,Round of 16,played,NED,Netherlands,UEFA,CSK,Czechoslovakia,UEFA,FALSE,0,3,loss,1707,1823,1671,1859,-36,Le Havre,France,TRUE,FALSE,
WC-1938,WC-1938_005,5,1938-06-05,Round of 16,played,FRA,France,UEFA,BEL,Belgium,UEFA,TRUE,3,1,win,1630,1567,1655,1542,25,Colombes,France,FALSE,FALSE,
WC-1938,WC-1938_005,5,1938-06-05,Round of 16,played,BEL,Belgium,UEFA,FRA,France,UEFA,FALSE,1,3,loss,1567,1630,1542,1655,-25,Colombes,France,FALSE,FALSE,
WC-1938,WC-1938_006,6,1938-06-05,Round of 16,played,HUN,Hungary,UEFA,IDN,Indonesia,AFC,TRUE,6,0,win,1929,1468,1937,1460,8,Reims,France,TRUE,FALSE,
WC-1938,WC-1938_006,6,1938-06-05,Round of 16,played,IDN,Indonesia,AFC,HUN,Hungary,UEFA,FALSE,0,6,loss,1468,1929,1460,1937,-8,Reims,France,TRUE,FALSE,
WC-1938,WC-1938_007,7,1938-06-05,Round of 16,played,ITA,Italy,UEFA,NOR,Norway,UEFA,TRUE,2,1,win,2052,1730,2060,1722,8,Marseille,France,TRUE,FALSE,
WC-1938,WC-1938_007,7,1938-06-05,Round of 16,played,NOR,Norway,UEFA,ITA,Italy,UEFA,FALSE,1,2,loss,1730,2052,1722,2060,-8,Marseille,France,TRUE,FALSE,
WC-1938,WC-1938_008,8,1938-06-09,Round of 16,played,CUB,Cuba,CONCACAF,ROU,Romania,UEFA,TRUE,2,1,win,1544,1556,1575,1525,31,Toulouse,France,TRUE,FALSE,
WC-1938,WC-1938_008,8,1938-06-09,Round of 16,played,ROU,Romania,UEFA,CUB,Cuba,CONCACAF,FALSE,1,2,loss,1556,1544,1525,1575,-31,Toulouse,France,TRUE,FALSE,
WC-1938,WC-1938_009,9,1938-06-09,Round of 16,played,GER,Germany,UEFA,CHE,Switzerland,UEFA,TRUE,2,4,loss,1818,1683,1756,1745,-62,Paris,France,TRUE,FALSE,
WC-1938,WC-1938_009,9,1938-06-09,Round of 16,played,CHE,Switzerland,UEFA,GER,Germany,UEFA,FALSE,4,2,win,1683,1818,1745,1756,62,Paris,France,TRUE,FALSE,
WC-1938,WC-1938_010,10,1938-06-12,Quarter-final,played,BRA,Brazil,CONMEBOL,CSK,Czechoslovakia,UEFA,TRUE,1,1,draw,1914,1859,1909,1864,-5,Bordeaux,France,TRUE,FALSE,
WC-1938,WC-1938_010,10,1938-06-12,Quarter-final,played,CSK,Czechoslovakia,UEFA,BRA,Brazil,CONMEBOL,FALSE,1,1,draw,1859,1914,1864,1909,5,Bordeaux,France,TRUE,FALSE,
WC-1938,WC-1938_011,11,1938-06-12,Quarter-final,played,CUB,Cuba,CONCACAF,SWE,Sweden,UEFA,TRUE,0,8,loss,1575,1644,1518,1701,-57,Antibes,France,TRUE,FALSE,
WC-1938,WC-1938_011,11,1938-06-12,Quarter-final,played,SWE,Sweden,UEFA,CUB,Cuba,CONCACAF,FALSE,8,0,win,1644,1575,1701,1518,57,Antibes,France,TRUE,FALSE,
WC-1938,WC-1938_012,12,1938-06-12,Quarter-final,played,FRA,France,UEFA,ITA,Italy,UEFA,TRUE,1,3,loss,1655,2060,1642,2073,-13,Colombes,France,FALSE,FALSE,
WC-1938,WC-1938_012,12,1938-06-12,Quarter-final,played,ITA,Italy,UEFA,FRA,France,UEFA,FALSE,3,1,win,2060,1655,2073,1642,13,Colombes,France,FALSE,FALSE,
WC-1938,WC-1938_013,13,1938-06-12,Quarter-final,played,HUN,Hungary,UEFA,CHE,Switzerland,UEFA,TRUE,2,0,win,1937,1745,1959,1723,22,Lille,France,TRUE,FALSE,
WC-1938,WC-1938_013,13,1938-06-12,Quarter-final,played,CHE,Switzerland,UEFA,HUN,Hungary,UEFA,FALSE,0,2,loss,1745,1937,1723,1959,-22,Lille,France,TRUE,FALSE,
WC-1938,WC-1938_014,14,1938-06-14,Quarter-final,played,BRA,Brazil,CONMEBOL,CSK,Czechoslovakia,UEFA,TRUE,2,1,win,1909,1864,1935,1838,26,Bordeaux,France,TRUE,FALSE,
WC-1938,WC-1938_014,14,1938-06-14,Quarter-final,played,CSK,Czechoslovakia,UEFA,BRA,Brazil,CONMEBOL,FALSE,1,2,loss,1864,1909,1838,1935,-26,Bordeaux,France,TRUE,FALSE,
WC-1938,WC-1938_015,15,1938-06-16,Semi-final,played,BRA,Brazil,CONMEBOL,ITA,Italy,UEFA,TRUE,1,2,loss,1935,2073,1916,2092,-19,Marseille,France,TRUE,FALSE,
WC-1938,WC-1938_015,15,1938-06-16,Semi-final,played,ITA,Italy,UEFA,BRA,Brazil,CONMEBOL,FALSE,2,1,win,2073,1935,2092,1916,19,Marseille,France,TRUE,FALSE,
WC-1938,WC-1938_016,16,1938-06-16,Semi-final,played,HUN,Hungary,UEFA,SWE,Sweden,UEFA,TRUE,5,1,win,1959,1703,1980,1682,21,Paris,France,TRUE,FALSE,
WC-1938,WC-1938_016,16,1938-06-16,Semi-final,played,SWE,Sweden,UEFA,HUN,Hungary,UEFA,FALSE,1,5,loss,1703,1959,1682,1980,-21,Paris,France,TRUE,FALSE,
WC-1938,WC-1938_017,17,1938-06-19,Third Place,played,BRA,Brazil,CONMEBOL,SWE,Sweden,UEFA,TRUE,4,2,win,1916,1682,1935,1663,19,Bordeaux,France,TRUE,FALSE,
WC-1938,WC-1938_017,17,1938-06-19,Third Place,played,SWE,Sweden,UEFA,BRA,Brazil,CONMEBOL,FALSE,2,4,loss,1682,1916,1663,1935,-19,Bordeaux,France,TRUE,FALSE,
WC-1938,WC-1938_018,18,1938-06-19,Final,played,HUN,Hungary,UEFA,ITA,Italy,UEFA,TRUE,2,4,loss,1980,2092,1949,2123,-31,Colombes,France,TRUE,FALSE,
WC-1938,WC-1938_018,18,1938-06-19,Final,played,ITA,Italy,UEFA,HUN,Hungary,UEFA,FALSE,4,2,win,2092,1980,2123,1949,31,Colombes,France,TRUE,FALSE,
