tournament_id,year,team_id,team,confederation,elo_start,elo_end,elo_change,elo_status
WC-1938,1938,ITA,Italy,UEFA,2052,2123,71,final
WC-1938,1938,HUN,Hungary,UEFA,1929,1949,20,final
WC-1938,1938,BRA,Brazil,CONMEBOL,1904,1935,31,final
WC-1938,1938,SWE,Sweden,UEFA,1644,1663,19,final
WC-1938,1938,CUB,Cuba,CONCACAF,1543,1518,-25,final
WC-1938,1938,CSK,Czechoslovakia,UEFA,1823,1838,15,final
WC-1938,1938,FRA,France,UEFA,1630,1642,12,final
WC-1938,1938,CHE,Switzerland,UEFA,1670,1723,53,final
WC-1938,1938,BEL,Belgium,UEFA,1567,1542,-25,final
WC-1938,1938,GER,Germany,UEFA,1831,1756,-75,final
WC-1938,1938,IDN,Indonesia,AFC,1468,1460,-8,final
WC-1938,1938,NED,Netherlands,UEFA,1707,1671,-36,final
WC-1938,1938,NOR,Norway,UEFA,1730,1722,-8,final
WC-1938,1938,POL,Poland,UEFA,1629,1619,-10,final
WC-1938,1938,ROU,Romania,UEFA,1557,1525,-32,final
