tournament_id,year,team_id,team,team_code,confederation,tournament_name,placement,position,matches_played
WC-1994,1994,BRA,Brazil,BRA,CONMEBOL,1994 FIFA Men's World Cup,Winner,1,7
WC-1994,1994,ITA,Italy,ITA,UEFA,1994 FIFA Men's World Cup,Runner-up,2,7
WC-1994,1994,SWE,Sweden,SWE,UEFA,1994 FIFA Men's World Cup,Third Place,3,7
WC-1994,1994,BGR,Bulgaria,BGR,UEFA,1994 FIFA Men's World Cup,Fourth Place,4,7
WC-1994,1994,GER,Germany,DEU,UEFA,1994 FIFA Men's World Cup,Quarter-final,8,5
WC-1994,1994,NED,Netherlands,NLD,UEFA,1994 FIFA Men's World Cup,Quarter-final,8,5
WC-1994,1994,ROU,Romania,ROU,UEFA,1994 FIFA Men's World Cup,Quarter-final,8,5
WC-1994,1994,ESP,Spain,ESP,UEFA,1994 FIFA Men's World Cup,Quarter-final,8,5
WC-1994,1994,ARG,Argentina,ARG,CONMEBOL,1994 FIFA Men's World Cup,Round of 16,16,4
WC-1994,1994,BEL,Belgium,BEL,UEFA,1994 FIFA Men's World Cup,Round of 16,16,4
WC-1994,1994,MEX,Mexico,MEX,CONCACAF,1994 FIFA Men's World Cup,Round of 16,16,4
WC-1994,1994,NGA,Nigeria,NGA,CAF,1994 FIFA Men's World Cup,Round of 16,16,4
WC-1994,1994,IRL,Republic of Ireland,IRL,UEFA,1994 FIFA Men's World Cup,Round of 16,16,4
WC-1994,1994,KSA,Saudi Arabia,SAU,AFC,1994 FIFA Men's World Cup,Round of 16,16,4
WC-1994,1994,CHE,Switzerland,CHE,UEFA,1994 FIFA Men's World Cup,Round of 16,16,4
WC-1994,1994,USA,United States,USA,CONCACAF,1994 FIFA Men's World Cup,Round of 16,16,4
WC-1994,1994,BOL,Bolivia,BOL,CONMEBOL,1994 FIFA Men's World Cup,Group Stage,24,3
WC-1994,1994,CMR,Cameroon,CMR,CAF,1994 FIFA Men's World Cup,Group Stage,24,3
WC-1994,1994,COL,Colombia,COL,CONMEBOL,1994 FIFA Men's World Cup,Group Stage,24,3
WC-1994,1994,GRC,Greece,GRC,UEFA,1994 FIFA Men's World Cup,Group Stage,24,3
WC-1994,1994,MAR,Morocco,MAR,CAF,1994 FIFA Men's World Cup,Group Stage,24,3
WC-1994,1994,NOR,Norway,NOR,UEFA,1994 FIFA Men's World Cup,Group Stage,24,3
WC-1994,1994,RUS,Russia,RUS,UEFA,1994 FIFA Men's World Cup,Group Stage,24,3
WC-1994,1994,KOR,South Korea,KOR,AFC,1994 FIFA Men's World Cup,Group Stage,24,3
