team,team_id,team_code,confederation,tournament,tournament_id,year,player_name,player_id,position,pos_code,shirt_number,date_of_birth,age,club,club_country,caps,goals
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Antoni Gałecki,P-11656,defender,DF,,1906-06-04,32,ŁKS Łódź,Poland,0,0
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Antoni Łyko,P-15302,forward,FW,,1907-05-27,31,,,,
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Bolesław Habowski,P-56303,forward,FW,,1914-09-13,23,Wisła Kraków,Poland,1,1
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Edmund Giemsa,P-43303,defender,DF,,1912-10-16,25,,,,
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Edmund Twórz,P-47738,defender,DF,,1914-02-12,24,,,,
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Edward Madejski,P-49430,goal keeper,GK,,1914-08-11,23,,,0,0
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Ernst Wilimowski,P-13828,forward,FW,,1916-06-23,21,Ruch Wielkie Hajduki,Poland,8,10
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Erwin Nyc,P-91166,midfielder,MF,,1914-05-24,24,,,,
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Ewald Cebula,P-65254,forward,FW,,1917-03-22,21,,,,
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Ewald Dytko,P-13873,midfielder,MF,,1914-10-18,23,Dąb Katowice,Poland,0,0
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Fryderyk Scherfke,P-72075,forward,FW,,1909-09-07,28,,,,
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Gerard Wodarz,P-29364,forward,FW,,1913-08-10,24,Ruch Wielkie Hajduki,Poland,8,2
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Jan Wasiewicz,P-84687,midfielder,MF,,1911-01-06,27,,,,
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Józef Korbas,P-10030,forward,FW,,1914-11-11,23,,,,
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Kazimierz Lis,P-35230,midfielder,MF,,1910-04-09,28,,,,
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Leonard Piątek,P-01434,forward,FW,,1913-10-03,24,,,,
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Ryszard Piec,P-35147,forward,FW,,1913-08-17,24,Naprzód Lipiny,Poland,0,0
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Stanisław Baran,P-01935,forward,FW,,1920-04-26,18,,,,
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Walter Brom,P-96120,goal keeper,GK,,1921-02-14,17,,,,
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Wilhelm Góra,P-99122,midfielder,MF,,1916-01-18,22,Cracovia Kraków,Poland,0,0
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Wilhelm Piec,P-62725,midfielder,MF,,1915-01-07,23,,,,
Poland,POL,POL,UEFA,1938 FIFA Men's World Cup,WC-1938,1938,Władysław Szczepaniak,P-58047,defender,DF,,1910-05-19,28,Polonia Warszawa,Poland,8,0
