date,tournament,status,team,team_code,opponent,opponent_code,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
1995-11-30,Friendly,played,Bosnia and Herzegovina,BIH,Albania,,FALSE,0,2,loss,Tirana,Albania,FALSE,1619,1435,1600,1454,-19
1996-04-21,Friendly,played,Bosnia and Herzegovina,BIH,Paraguay,PRY,FALSE,0,3,loss,Asunción,Paraguay,FALSE,,,,,
1996-04-24,Friendly,played,Bosnia and Herzegovina,BIH,Albania,,TRUE,0,0,draw,Zenica,Bosnia and Herzegovina,FALSE,1600,1454,1594,1460,-6
1996-09-01,FIFA World Cup qualification,played,Bosnia and Herzegovina,BIH,Greece,GRC,FALSE,0,3,loss,Kalamáta,Greece,FALSE,1594,1635,1572,1657,-22
1996-10-08,FIFA World Cup qualification,played,Bosnia and Herzegovina,BIH,Croatia,HRV,TRUE,1,4,loss,Bologna,Italy,TRUE,1572,1900,1563,1909,-9
1996-11-06,Friendly,played,Bosnia and Herzegovina,BIH,Italy,ITA,TRUE,2,1,win,Sarajevo,Bosnia and Herzegovina,FALSE,1563,1993,1580,1976,17
1996-11-10,FIFA World Cup qualification,played,Bosnia and Herzegovina,BIH,Slovenia,SVN,FALSE,2,1,win,Ljubljana,Slovenia,FALSE,1580,1577,1605,1552,25
1996-12-18,Friendly,played,Bosnia and Herzegovina,BIH,Brazil,BRA,FALSE,0,1,loss,Manaus,Brazil,FALSE,1605,2067,1604,2068,-1
1997-02-22,Dunhill Cup,played,Bosnia and Herzegovina,BIH,Vietnam,,TRUE,4,0,win,Kuala Lumpur,Malaysia,TRUE,1604,1265,1611,1258,7
1997-02-24,Dunhill Cup,played,Bosnia and Herzegovina,BIH,Zimbabwe,,TRUE,2,2,draw,Kuala Lumpur,Malaysia,TRUE,1611,1550,1608,1553,-3
1997-02-26,Dunhill Cup,played,Bosnia and Herzegovina,BIH,Indonesia,IDN,TRUE,2,0,win,Kuala Lumpur,Malaysia,TRUE,1608,1262,1613,1257,5
1997-02-28,Dunhill Cup,played,Bosnia and Herzegovina,BIH,Malaysia,,FALSE,1,0,win,Kuala Lumpur,Malaysia,FALSE,1613,1308,1620,1301,7
1997-03-02,Dunhill Cup,played,Bosnia and Herzegovina,BIH,China PR,,TRUE,0,3,loss,Kuala Lumpur,Malaysia,TRUE,,,,,
1997-04-02,FIFA World Cup qualification,played,Bosnia and Herzegovina,BIH,Greece,GRC,TRUE,0,1,loss,Sarajevo,Bosnia and Herzegovina,FALSE,1593,1684,1572,1705,-21
1997-06-08,FIFA World Cup qualification,played,Bosnia and Herzegovina,BIH,Denmark,DNK,FALSE,0,2,loss,Copenhagen,Denmark,FALSE,1572,1976,1569,1979,-3
1997-08-20,FIFA World Cup qualification,played,Bosnia and Herzegovina,BIH,Denmark,DNK,TRUE,3,0,win,Sarajevo,Bosnia and Herzegovina,FALSE,1569,1979,1629,1919,60
1997-09-06,FIFA World Cup qualification,played,Bosnia and Herzegovina,BIH,Croatia,HRV,FALSE,2,3,loss,Zagreb,Croatia,FALSE,1629,1862,1624,1867,-5
1997-09-10,FIFA World Cup qualification,played,Bosnia and Herzegovina,BIH,Slovenia,SVN,TRUE,1,0,win,Sarajevo,Bosnia and Herzegovina,FALSE,1624,1555,1635,1544,11
1997-11-05,Friendly,played,Bosnia and Herzegovina,BIH,Tunisia,TUN,FALSE,1,2,loss,Tunis,Tunisia,FALSE,1635,1658,1628,1665,-7
1998-05-14,Friendly,played,Bosnia and Herzegovina,BIH,Argentina,ARG,FALSE,0,5,loss,Córdoba,Argentina,FALSE,1628,1879,1623,1884,-5
1998-06-03,Friendly,played,Bosnia and Herzegovina,BIH,North Macedonia,,FALSE,1,1,draw,Skopje,North Macedonia,FALSE,1623,1558,1624,1557,1
