tournament,tournament_id,year,match_id,match_number,date,stage,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,city,country,neutral,team_elo_start,opponent_elo_start
1962 FIFA Men's World Cup,WC-1962,1962,WC-1962_001,1,1962-05-30,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Argentina,ARG,ARG,CONMEBOL,FALSE,Rancagua,Chile,TRUE,1775,1980
1962 FIFA Men's World Cup,WC-1962,1962,WC-1962_013,13,1962-06-03,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Hungary,HUN,HUN,UEFA,TRUE,Rancagua,Chile,TRUE,1761,1969
1962 FIFA Men's World Cup,WC-1962,1962,WC-1962_021,21,1962-06-07,Group Stage,played,Bulgaria,BGR,BGR,UEFA,England,ENG,ENG,UEFA,TRUE,Rancagua,Chile,TRUE,1733,1952
1966 FIFA Men's World Cup,WC-1966,1966,WC-1966_002,2,1966-07-12,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Brazil,BRA,BRA,CONMEBOL,FALSE,Liverpool,England,TRUE,1804,2010
1966 FIFA Men's World Cup,WC-1966,1966,WC-1966_014,14,1966-07-16,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Portugal,PRT,PRT,UEFA,TRUE,Manchester,England,TRUE,1783,1893
1966 FIFA Men's World Cup,WC-1966,1966,WC-1966_021,21,1966-07-20,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Hungary,HUN,HUN,UEFA,TRUE,Manchester,England,TRUE,1747,1956
1970 FIFA Men's World Cup,WC-1970,1970,WC-1970_002,2,1970-06-02,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Peru,PER,PER,CONMEBOL,TRUE,León,Mexico,TRUE,1823,1692
1970 FIFA Men's World Cup,WC-1970,1970,WC-1970_014,14,1970-06-07,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Germany,GER,DEU,UEFA,TRUE,León,Mexico,TRUE,1475,1923
1970 FIFA Men's World Cup,WC-1970,1970,WC-1970_021,21,1970-06-11,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Morocco,MAR,MAR,CAF,TRUE,León,Mexico,TRUE,1759,1620
1974 FIFA Men's World Cup,WC-1974,1974,WC-1974_007,7,1974-06-15,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Sweden,SWE,SWE,UEFA,FALSE,Düsseldorf,Germany,TRUE,1822,1888
1974 FIFA Men's World Cup,WC-1974,1974,WC-1974_014,14,1974-06-19,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Uruguay,URY,URY,CONMEBOL,TRUE,Hanover,Germany,TRUE,1828,1724
1974 FIFA Men's World Cup,WC-1974,1974,WC-1974_022,22,1974-06-23,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Netherlands,NED,NLD,UEFA,TRUE,Dortmund,Germany,TRUE,1819,1877
1986 FIFA Men's World Cup,WC-1986,1986,WC-1986_001,1,1986-05-31,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Italy,ITA,ITA,UEFA,TRUE,Mexico City,Mexico,TRUE,1844,1884
1986 FIFA Men's World Cup,WC-1986,1986,WC-1986_015,15,1986-06-05,Group Stage,played,Bulgaria,BGR,BGR,UEFA,South Korea,KOR,KOR,AFC,FALSE,Mexico City,Mexico,TRUE,1847,1597
1986 FIFA Men's World Cup,WC-1986,1986,WC-1986_027,27,1986-06-10,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Argentina,ARG,ARG,CONMEBOL,FALSE,Mexico City,Mexico,TRUE,1829,1889
1986 FIFA Men's World Cup,WC-1986,1986,WC-1986_037,37,1986-06-15,Round of 16,played,Bulgaria,BGR,BGR,UEFA,Mexico,MEX,MEX,CONCACAF,FALSE,Mexico City,Mexico,FALSE,1792,1856
1994 FIFA Men's World Cup,WC-1994,1994,WC-1994_013,13,1994-06-21,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Nigeria,NGA,NGA,CAF,FALSE,Dallas,United States,TRUE,1772,1735
1994 FIFA Men's World Cup,WC-1994,1994,WC-1994_024,24,1994-06-26,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Greece,GRC,GRC,UEFA,TRUE,Chicago,United States,TRUE,1714,1665
1994 FIFA Men's World Cup,WC-1994,1994,WC-1994_035,35,1994-06-30,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Argentina,ARG,ARG,CONMEBOL,FALSE,Dallas,United States,TRUE,1762,1957
1994 FIFA Men's World Cup,WC-1994,1994,WC-1994_043,43,1994-07-05,Round of 16,played,Bulgaria,BGR,BGR,UEFA,Mexico,MEX,MEX,CONCACAF,FALSE,East Rutherford,United States,TRUE,1830,1871
1994 FIFA Men's World Cup,WC-1994,1994,WC-1994_047,47,1994-07-10,Quarter-final,played,Bulgaria,BGR,BGR,UEFA,Germany,GER,DEU,UEFA,TRUE,East Rutherford,United States,TRUE,1834,2030
1994 FIFA Men's World Cup,WC-1994,1994,WC-1994_049,49,1994-07-13,Semi-final,played,Bulgaria,BGR,BGR,UEFA,Italy,ITA,ITA,UEFA,TRUE,East Rutherford,United States,TRUE,1879,2007
1994 FIFA Men's World Cup,WC-1994,1994,WC-1994_051,51,1994-07-16,Third Place,played,Bulgaria,BGR,BGR,UEFA,Sweden,SWE,SWE,UEFA,FALSE,Pasadena,United States,TRUE,1860,1925
1998 FIFA Men's World Cup,WC-1998,1998,WC-1998_006,6,1998-06-12,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Paraguay,PRY,PRY,CONMEBOL,FALSE,Montpellier,France,TRUE,1805,1742
1998 FIFA Men's World Cup,WC-1998,1998,WC-1998_023,23,1998-06-19,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Nigeria,NGA,NGA,CAF,FALSE,Paris,France,TRUE,1800,1755
1998 FIFA Men's World Cup,WC-1998,1998,WC-1998_040,40,1998-06-24,Group Stage,played,Bulgaria,BGR,BGR,UEFA,Spain,ESP,ESP,UEFA,FALSE,Lens,France,TRUE,1766,1969
