team,team_code,tournament,tournament_id,year,player_name,player_id,position,pos_code,shirt_number,date_of_birth,age,club,club_country,caps,goals
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Alassane N'Dour,P-82601,defender,DF,5,1981-12-12,20,AS Saint-Étienne,France,2,0
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Aliou Cissé,P-95302,defender,DF,6,1976-03-24,26,Birmingham City,England,16,0
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Amara Traoré,P-75923,forward,FW,8,1965-09-25,36,FC Gueugnon,France,1,0
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Amdy Faye,P-42976,midfielder,MF,12,1977-03-12,25,AJ Auxerre,France,4,0
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,El Hadji Diouf,P-84943,forward,FW,11,1981-01-15,21,Liverpool FC,England,14,2
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Ferdinand Coly,P-37924,defender,DF,17,1973-09-10,28,Birmingham City,England,15,0
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Habib Beye,P-35489,defender,DF,21,1977-10-19,24,RC Strasbourg,France,3,0
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Henri Camara,P-01462,forward,FW,7,1977-05-10,25,CS Sedan Ardennes,France,10,3
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Kalidou Cissokho,P-58665,goal keeper,GK,22,1978-08-28,23,,,,
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Khalilou Fadiga,P-62977,midfielder,MF,10,1974-12-30,27,AJ Auxerre,France,15,1
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Lamine Diatta,P-16046,defender,DF,13,1975-07-02,26,Stade Rennais,France,16,1
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Makhtar N'Diaye,P-64668,midfielder,MF,23,1981-12-31,20,,,,
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Moussa N'Diaye,P-62939,midfielder,MF,14,1979-02-20,23,,,,
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Omar Daf,P-27229,defender,DF,2,1977-02-12,25,FC Sochaux - Montbéliard,France,14,0
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Omar Diallo,P-02673,goal keeper,GK,16,1972-09-28,29,ASC Diaraf Dakar,Senegal,1,0
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Papa Bouba Diop,P-82212,midfielder,MF,19,1978-01-28,24,,,,
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Pape Malick Diop,P-50303,defender,DF,4,1974-12-29,27,FC Lorient,France,10,0
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Pape Sarr,P-81968,midfielder,MF,3,1977-12-07,24,RC Lens,France,5,1
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Pape Thiaw,P-91308,forward,FW,18,1981-02-05,21,Lausanne Sports,Switzerland,2,0
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Salif Diao,P-35019,midfielder,MF,15,1977-02-10,25,Liverpool FC,England,12,3
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Souleymane Camara,P-05029,forward,FW,9,1982-12-22,19,AS Monaco,France,2,3
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Sylvain N'Diaye,P-35460,midfielder,MF,20,1976-06-25,25,Lille OSC,France,4,0
Senegal,SEN,2002 FIFA Men's World Cup,WC-2002,2002,Tony Sylva,P-16571,goal keeper,GK,1,1975-05-17,27,,,,
Senegal,SEN,2018 FIFA Men's World Cup,WC-2018,2018,Abdoulaye Diallo,P-44035,goal keeper,GK,1,1992-03-30,26,Stade Rennais,France,2,0
Senegal,SEN,2018 FIFA Men's World Cup,WC-2018,2018,Adama Mbengue,P-93828,defender,DF,2,1993-12-01,24,Stade Malherbe Caen,France,1,0
Senegal,SEN,2018 FIFA Men's World Cup,WC-2018,2018,Alfred Gomis,P-53694,goal keeper,GK,23,1993-09-05,24,SPAL Ferrara,Italy,3,0
Senegal,SEN,2018 FIFA Men's World Cup,WC-2018,2018,Alfred N'Diaye,P-12707,midfielder,MF,13,1990-03-06,28,Málaga CF,Spain,9,0
Senegal,SEN,2018 FIFA Men's World Cup,WC-2018,2018,Badou Ndiaye,P-15988,midfielder,MF,17,1990-10-27,27,,,,
Senegal,SEN,2018 FIFA Men's World Cup,WC-2018,2018,Cheikh N'Doye,P-51960,midfielder,MF,11,1986-03-29,32,,,,
Senegal,SEN,2018 FIFA Men's World Cup,WC-2018,2018,Cheikhou Kouyaté,P-55140,midfielder,MF,8,1989-12-21,28,Crystal Palace FC,England,7,0
Senegal,SEN,2018 FIFA Men's World Cup,WC-2018,2018,Diafra Sakho,P-22102,forward,FW,15,1989-12-24,28,Bursaspor,Turkey,2,0
Senegal,SEN,2018 FIFA Men's World Cup,WC-2018,2018,Idrissa Gueye,P-40621,midfielder,MF,5,1989-09-26,28,Everton FC,England,7,1
Senegal,SEN,2018 FIFA Men's World Cup,WC-2018,2018,Ismaïla Sarr,P-37935,forward,FW,18,1998-02-25,20,Stade Rennais,France,8,1
Senegal,SEN,2018 FIFA Men's World Cup,WC-2018,2018,Kalidou Koulibaly,P-47321,defender,DF,3,1991-06-20,26,SSC Napoli,Italy,9,0
Senegal,SEN,2018 FIFA Men's World Cup,WC-2018,2018,Kara Mbodji,P-29883,defender,DF,4,1989-11-22,28,RSC Anderlecht,Belgium,0,0
Senegal,SEN,2018 FIFA Men's World Cup,WC-2018,2018,Keita Baldé,P-44044,forward,FW,20,1995-03-08,23,,,,
Senegal,SEN,2018 FIFA Men's World Cup,WC-2018,2018,Khadim N'Diaye,P-17986,goal keeper,GK,16,1985-04-05,33,Horoya AC Conakry,Guinea,5,0
Senegal,SEN,2018 FIFA Men's World Cup,WC-2018,2018,Lamine Gassama,P-35711,defender,DF,21,1989-10-20,28,Göztepe SK,Turkey,4,0
