tournament,tournament_id,year,match_id,match_number,date,stage,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,city,country,neutral,team_elo_start,opponent_elo_start
2006 FIFA Men's World Cup,WC-2006,2006,WC-2006_010,10,2006-06-12,Group Stage,played,Ghana,GHA,GHA,CAF,Italy,ITA,ITA,UEFA,FALSE,Hanover,Germany,TRUE,1616,1943
2006 FIFA Men's World Cup,WC-2006,2006,WC-2006_024,24,2006-06-17,Group Stage,played,Ghana,GHA,GHA,CAF,Czechia,CZE,CZE,UEFA,FALSE,Cologne,Germany,TRUE,1604,2003
2006 FIFA Men's World Cup,WC-2006,2006,WC-2006_043,43,2006-06-22,Group Stage,played,Ghana,GHA,GHA,CAF,United States,USA,USA,CONCACAF,TRUE,Nuremberg,Germany,TRUE,1686,1805
2006 FIFA Men's World Cup,WC-2006,2006,WC-2006_055,55,2006-06-27,Round of 16,played,Ghana,GHA,GHA,CAF,Brazil,BRA,BRA,CONMEBOL,FALSE,Dortmund,Germany,TRUE,1726,2085
2010 FIFA Men's World Cup,WC-2010,2010,WC-2010_008,8,2010-06-13,Group Stage,played,Ghana,GHA,GHA,CAF,Serbia,SRB,SRB,UEFA,FALSE,Pretoria,South Africa,TRUE,1687,1840
2010 FIFA Men's World Cup,WC-2010,2010,WC-2010_025,25,2010-06-19,Group Stage,played,Ghana,GHA,GHA,CAF,Australia,AUS,AUS,AFC,TRUE,Rustenburg,South Africa,TRUE,1729,1746
2010 FIFA Men's World Cup,WC-2010,2010,WC-2010_038,38,2010-06-23,Group Stage,played,Ghana,GHA,GHA,CAF,Germany,GER,DEU,UEFA,TRUE,Johannesburg,South Africa,TRUE,1730,1941
2010 FIFA Men's World Cup,WC-2010,2010,WC-2010_050,50,2010-06-26,Round of 16,played,Ghana,GHA,GHA,CAF,United States,USA,USA,CONCACAF,FALSE,Rustenburg,South Africa,TRUE,1716,1805
2010 FIFA Men's World Cup,WC-2010,2010,WC-2010_058,58,2010-07-02,Quarter-final,played,Ghana,GHA,GHA,CAF,Uruguay,URY,URY,CONMEBOL,FALSE,Johannesburg,South Africa,TRUE,1754,1931
2014 FIFA Men's World Cup,WC-2014,2014,WC-2014_013,13,2014-06-16,Group Stage,played,Ghana,GHA,GHA,CAF,United States,USA,USA,CONCACAF,TRUE,Natal,Brazil,TRUE,1704,1856
2014 FIFA Men's World Cup,WC-2014,2014,WC-2014_028,28,2014-06-21,Group Stage,played,Ghana,GHA,GHA,CAF,Germany,GER,DEU,UEFA,FALSE,Fortaleza,Brazil,TRUE,1686,2109
2014 FIFA Men's World Cup,WC-2014,2014,WC-2014_047,47,2014-06-26,Group Stage,played,Ghana,GHA,GHA,CAF,Portugal,PRT,PRT,UEFA,FALSE,Brasília,Brazil,TRUE,1711,1903
2022 FIFA Men's World Cup,WC-2022,2022,WC-2022_016,16,2022-11-24,Group Stage,played,Ghana,GHA,GHA,CAF,Portugal,PRT,PRT,UEFA,FALSE,Doha,Qatar,TRUE,1564,2005
2022 FIFA Men's World Cup,WC-2022,2022,WC-2022_031,31,2022-11-28,Group Stage,played,Ghana,GHA,GHA,CAF,South Korea,KOR,KOR,AFC,FALSE,Al Rayyan,Qatar,TRUE,1560,1798
2022 FIFA Men's World Cup,WC-2022,2022,WC-2022_047,47,2022-12-02,Group Stage,played,Ghana,GHA,GHA,CAF,Uruguay,URY,URY,CONMEBOL,TRUE,Al Wakrah,Qatar,TRUE,1608,1889
2026 FIFA Men's World Cup,WC-2026,2026,WC-2026_024,24,2026-06-17,Group Stage,scheduled,Ghana,GHA,GHA,CAF,Panama,PAN,PAN,CONCACAF,TRUE,Toronto,Canada,TRUE,1505,1737
2026 FIFA Men's World Cup,WC-2026,2026,WC-2026_047,47,2026-06-23,Group Stage,scheduled,Ghana,GHA,GHA,CAF,England,ENG,ENG,UEFA,FALSE,Foxborough,United States,TRUE,1505,2020
2026 FIFA Men's World Cup,WC-2026,2026,WC-2026_072,72,2026-06-27,Group Stage,scheduled,Ghana,GHA,GHA,CAF,Croatia,HRV,HRV,UEFA,FALSE,Philadelphia,United States,TRUE,1505,1930
