tournament_id,match_id,source_match_id,match_number,edition_year,round_code,round_name,group_code,kickoff_datetime_utc,kickoff_datetime_local,venue_id,venue_name,home_team_id,away_team_id,home_team_confederation,away_team_confederation,home_tournament_name,away_tournament_name,home_canonical_name,away_canonical_name,status,source_url
WC-2026,WC-2026_049,400021455,49,2026,GS,First Stage,C,2026-06-24T22:00:00Z,2026-06-24T18:00:00Z,400257525,Miami Stadium,SCO,BRA,UEFA,CONMEBOL,Scotland,Brazil,Scotland,Brazil,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_050,400021452,50,2026,GS,First Stage,C,2026-06-24T22:00:00Z,2026-06-24T18:00:00Z,400098290,Atlanta Stadium,MAR,HAI,CAF,CONCACAF,Morocco,Haiti,Morocco,Haiti,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_053,400021444,53,2026,GS,First Stage,A,2026-06-25T01:00:00Z,2026-06-24T19:00:00Z,400222084,Mexico City Stadium,CZE,MEX,UEFA,CONCACAF,Czechia,Mexico,Czechia,Mexico,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_054,400021445,54,2026,GS,First Stage,A,2026-06-25T01:00:00Z,2026-06-24T19:00:00Z,400238450,Monterrey Stadium,RSA,KOR,CAF,AFC,South Africa,Korea Republic,South Africa,South Korea,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_055,400021468,55,2026,GS,First Stage,E,2026-06-25T20:00:00Z,2026-06-25T16:00:00Z,400248622,Philadelphia Stadium,CUW,CIV,CONCACAF,CAF,Curaçao,Côte d'Ivoire,Curacao,Ivory Coast,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_056,400021466,56,2026,GS,First Stage,E,2026-06-25T20:00:00Z,2026-06-25T16:00:00Z,400257536,New York/New Jersey Stadium,ECU,GER,CONMEBOL,UEFA,Ecuador,Germany,Ecuador,Germany,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_057,400021471,57,2026,GS,First Stage,F,2026-06-25T23:00:00Z,2026-06-25T18:00:00Z,400257526,Dallas Stadium,JPN,SWE,AFC,UEFA,Japan,Sweden,Japan,Sweden,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_058,400021473,58,2026,GS,First Stage,F,2026-06-25T23:00:00Z,2026-06-25T18:00:00Z,400254717,Kansas City Stadium,TUN,NED,CAF,UEFA,Tunisia,Netherlands,Tunisia,Netherlands,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_059,400021459,59,2026,GS,First Stage,D,2026-06-26T02:00:00Z,2026-06-25T19:00:00Z,400017978,Los Angeles Stadium,TUR,USA,UEFA,CONCACAF,Türkiye,USA,Turkey,United States,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_060,400021461,60,2026,GS,First Stage,D,2026-06-26T02:00:00Z,2026-06-25T19:00:00Z,400257521,San Francisco Bay Area Stadium,PAR,AUS,CONMEBOL,AFC,Paraguay,Australia,Paraguay,Australia,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_061,400021489,61,2026,GS,First Stage,I,2026-06-26T19:00:00Z,2026-06-26T15:00:00Z,400248623,Boston Stadium,NOR,FRA,UEFA,UEFA,Norway,France,Norway,France,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_062,400021493,62,2026,GS,First Stage,I,2026-06-26T19:00:00Z,2026-06-26T15:00:00Z,400242032,Toronto Stadium,SEN,IRQ,CAF,AFC,Senegal,Iraq,Senegal,Iraq,scheduled,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
