tournament_id,match_id,source_match_id,match_number,edition_year,competition_id,season_id,round_code,round_name,group_code,kickoff_datetime_utc,kickoff_datetime_local,kickoff_date_local,kickoff_time_local,venue_id,venue_name,home_slot_label,away_slot_label,home_team_id,away_team_id,home_team_confederation,away_team_confederation,home_tournament_name,away_tournament_name,home_canonical_name,away_canonical_name,status,status_code,home_score,away_score,went_to_extra_time,penalties_home,penalties_away,winner_team_id,placeholder_a,placeholder_b,result_type,last_verified_at,source_url
WC-2026,WC-2026_022,400021507,22,2026,17,285023,GS,First Stage,L,2026-06-17T20:00:00Z,2026-06-17T15:00:00Z,2026-06-17,15:00,400257526,Dallas Stadium,England,Croatia,ENG,CRO,UEFA,UEFA,England,Croatia,England,Croatia,scheduled,1,,,FALSE,,,,L1,L2,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_021,400021510,21,2026,17,285023,GS,First Stage,L,2026-06-17T23:00:00Z,2026-06-17T19:00:00Z,2026-06-17,19:00,400242032,Toronto Stadium,Ghana,Panama,GHA,PAN,CAF,CONCACAF,Ghana,Panama,Ghana,Panama,scheduled,1,,,FALSE,,,,L3,L4,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_024,400021504,24,2026,17,285023,GS,First Stage,K,2026-06-18T02:00:00Z,2026-06-17T20:00:00Z,2026-06-17,20:00,400222084,Mexico City Stadium,Uzbekistan,Colombia,UZB,COL,AFC,CONMEBOL,Uzbekistan,Colombia,Uzbekistan,Colombia,scheduled,1,,,FALSE,,,,K3,K4,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_025,400021440,25,2026,17,285023,GS,First Stage,A,2026-06-18T16:00:00Z,2026-06-18T12:00:00Z,2026-06-18,12:00,400098290,Atlanta Stadium,Czechia,South Africa,CZE,RSA,UEFA,CAF,Czechia,South Africa,Czechia,South Africa,scheduled,1,,,FALSE,,,,UEFA PO D,A2,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_026,400021446,26,2026,17,285023,GS,First Stage,B,2026-06-18T19:00:00Z,2026-06-18T12:00:00Z,2026-06-18,12:00,400017978,Los Angeles Stadium,Switzerland,Bosnia and Herzegovina,SUI,BIH,UEFA,UEFA,Switzerland,Bosnia and Herzegovina,Switzerland,Bosnia and Herzegovina,scheduled,1,,,FALSE,,,,B4,UEFA PO A,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_027,400021450,27,2026,17,285023,GS,First Stage,B,2026-06-18T22:00:00Z,2026-06-18T15:00:00Z,2026-06-18,15:00,400248370,BC Place Vancouver,Canada,Qatar,CAN,QAT,CONCACAF,AFC,Canada,Qatar,Canada,Qatar,scheduled,1,,,FALSE,,,,B1,B3,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_028,400021442,28,2026,17,285023,GS,First Stage,A,2026-06-19T01:00:00Z,2026-06-18T19:00:00Z,2026-06-18,19:00,400252150,Guadalajara Stadium,Mexico,Korea Republic,MEX,KOR,CONCACAF,AFC,Mexico,Korea Republic,Mexico,South Korea,scheduled,1,,,FALSE,,,,A1,A3,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_032,400021462,32,2026,17,285023,GS,First Stage,D,2026-06-19T19:00:00Z,2026-06-19T12:00:00Z,2026-06-19,12:00,400216606,Seattle Stadium,USA,Australia,USA,AUS,CONCACAF,AFC,USA,Australia,United States,Australia,scheduled,1,,,FALSE,,,,D1,D3,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_030,400021454,30,2026,17,285023,GS,First Stage,C,2026-06-19T22:00:00Z,2026-06-19T18:00:00Z,2026-06-19,18:00,400248623,Boston Stadium,Scotland,Morocco,SCO,MAR,UEFA,CAF,Scotland,Morocco,Scotland,Morocco,scheduled,1,,,FALSE,,,,C4,C2,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_029,400021457,29,2026,17,285023,GS,First Stage,C,2026-06-20T00:30:00Z,2026-06-19T20:30:00Z,2026-06-19,20:30,400248622,Philadelphia Stadium,Brazil,Haiti,BRA,HAI,CONMEBOL,CONCACAF,Brazil,Haiti,Brazil,Haiti,scheduled,1,,,FALSE,,,,C1,C3,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_031,400021460,31,2026,17,285023,GS,First Stage,D,2026-06-20T03:00:00Z,2026-06-19T20:00:00Z,2026-06-19,20:00,400257521,San Francisco Bay Area Stadium,Türkiye,Paraguay,TUR,PAR,UEFA,CONMEBOL,Türkiye,Paraguay,Turkey,Paraguay,scheduled,1,,,FALSE,,,,UEFA PO C,D2,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_035,400021472,35,2026,17,285023,GS,First Stage,F,2026-06-20T17:00:00Z,2026-06-20T12:00:00Z,2026-06-20,12:00,400249385,Houston Stadium,Netherlands,Sweden,NED,SWE,UEFA,UEFA,Netherlands,Sweden,Netherlands,Sweden,scheduled,1,,,FALSE,,,,F1,UEFA PO B,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_033,400021469,33,2026,17,285023,GS,First Stage,E,2026-06-20T20:00:00Z,2026-06-20T16:00:00Z,2026-06-20,16:00,400242032,Toronto Stadium,Germany,Côte d'Ivoire,GER,CIV,UEFA,CAF,Germany,Côte d'Ivoire,Germany,Ivory Coast,scheduled,1,,,FALSE,,,,E1,E3,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_034,400021465,34,2026,17,285023,GS,First Stage,E,2026-06-21T00:00:00Z,2026-06-20T19:00:00Z,2026-06-20,19:00,400254717,Kansas City Stadium,Ecuador,Curaçao,ECU,CUW,CONMEBOL,CONCACAF,Ecuador,Curaçao,Ecuador,Curacao,scheduled,1,,,FALSE,,,,E4,E2,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_036,400021475,36,2026,17,285023,GS,First Stage,F,2026-06-21T04:00:00Z,2026-06-20T22:00:00Z,2026-06-20,22:00,400238450,Monterrey Stadium,Tunisia,Japan,TUN,JPN,CAF,AFC,Tunisia,Japan,Tunisia,Japan,scheduled,1,,,FALSE,,,,F4,F2,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_038,400021483,38,2026,17,285023,GS,First Stage,H,2026-06-21T16:00:00Z,2026-06-21T12:00:00Z,2026-06-21,12:00,400098290,Atlanta Stadium,Spain,Saudi Arabia,ESP,KSA,UEFA,AFC,Spain,Saudi Arabia,Spain,Saudi Arabia,scheduled,1,,,FALSE,,,,H1,H3,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_039,400021477,39,2026,17,285023,GS,First Stage,G,2026-06-21T19:00:00Z,2026-06-21T12:00:00Z,2026-06-21,12:00,400017978,Los Angeles Stadium,Belgium,IR Iran,BEL,IRN,UEFA,AFC,Belgium,IR Iran,Belgium,Iran,scheduled,1,,,FALSE,,,,G1,G3,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_037,400021487,37,2026,17,285023,GS,First Stage,H,2026-06-21T22:00:00Z,2026-06-21T18:00:00Z,2026-06-21,18:00,400257525,Miami Stadium,Uruguay,Cabo Verde,URU,CPV,CONMEBOL,CAF,Uruguay,Cabo Verde,Uruguay,Cape Verde,scheduled,1,,,FALSE,,,,H4,H2,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_040,400021480,40,2026,17,285023,GS,First Stage,G,2026-06-22T01:00:00Z,2026-06-21T18:00:00Z,2026-06-21,18:00,400248370,BC Place Vancouver,New Zealand,Egypt,NZL,EGY,OFC,CAF,New Zealand,Egypt,New Zealand,Egypt,scheduled,1,,,FALSE,,,,G4,G2,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_043,400021494,43,2026,17,285023,GS,First Stage,J,2026-06-22T17:00:00Z,2026-06-22T12:00:00Z,2026-06-22,12:00,400257526,Dallas Stadium,Argentina,Austria,ARG,AUT,CONMEBOL,UEFA,Argentina,Austria,Argentina,Austria,scheduled,1,,,FALSE,,,,J1,J3,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_042,400021492,42,2026,17,285023,GS,First Stage,I,2026-06-22T21:00:00Z,2026-06-22T17:00:00Z,2026-06-22,17:00,400248622,Philadelphia Stadium,France,Iraq,FRA,IRQ,UEFA,AFC,France,Iraq,France,Iraq,scheduled,1,,,FALSE,,,,I1,FIFA PO 2,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_041,400021491,41,2026,17,285023,GS,First Stage,I,2026-06-23T00:00:00Z,2026-06-22T20:00:00Z,2026-06-22,20:00,400257536,New York/New Jersey Stadium,Norway,Senegal,NOR,SEN,UEFA,CAF,Norway,Senegal,Norway,Senegal,scheduled,1,,,FALSE,,,,I4,I2,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_044,400021499,44,2026,17,285023,GS,First Stage,J,2026-06-23T03:00:00Z,2026-06-22T20:00:00Z,2026-06-22,20:00,400257521,San Francisco Bay Area Stadium,Jordan,Algeria,JOR,ALG,AFC,CAF,Jordan,Algeria,Jordan,Algeria,scheduled,1,,,FALSE,,,,J4,J2,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_047,400021503,47,2026,17,285023,GS,First Stage,K,2026-06-23T17:00:00Z,2026-06-23T12:00:00Z,2026-06-23,12:00,400249385,Houston Stadium,Portugal,Uzbekistan,POR,UZB,UEFA,AFC,Portugal,Uzbekistan,Portugal,Uzbekistan,scheduled,1,,,FALSE,,,,K1,K3,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_045,400021506,45,2026,17,285023,GS,First Stage,L,2026-06-23T20:00:00Z,2026-06-23T16:00:00Z,2026-06-23,16:00,400248623,Boston Stadium,England,Ghana,ENG,GHA,UEFA,CAF,England,Ghana,England,Ghana,scheduled,1,,,FALSE,,,,L1,L3,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_046,400021511,46,2026,17,285023,GS,First Stage,L,2026-06-23T23:00:00Z,2026-06-23T19:00:00Z,2026-06-23,19:00,400242032,Toronto Stadium,Panama,Croatia,PAN,CRO,CONCACAF,UEFA,Panama,Croatia,Panama,Croatia,scheduled,1,,,FALSE,,,,L4,L2,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_048,400021501,48,2026,17,285023,GS,First Stage,K,2026-06-24T02:00:00Z,2026-06-23T20:00:00Z,2026-06-23,20:00,400252150,Guadalajara Stadium,Colombia,Congo DR,COL,COD,CONMEBOL,CAF,Colombia,Congo DR,Colombia,DR Congo,scheduled,1,,,FALSE,,,,K4,FIFA PO 1,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_051,400021451,51,2026,17,285023,GS,First Stage,B,2026-06-24T19:00:00Z,2026-06-24T12:00:00Z,2026-06-24,12:00,400248370,BC Place Vancouver,Switzerland,Canada,SUI,CAN,UEFA,CONCACAF,Switzerland,Canada,Switzerland,Canada,scheduled,1,,,FALSE,,,,B4,B1,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_052,400021448,52,2026,17,285023,GS,First Stage,B,2026-06-24T19:00:00Z,2026-06-24T12:00:00Z,2026-06-24,12:00,400216606,Seattle Stadium,Bosnia and Herzegovina,Qatar,BIH,QAT,UEFA,AFC,Bosnia and Herzegovina,Qatar,Bosnia and Herzegovina,Qatar,scheduled,1,,,FALSE,,,,UEFA PO A,B3,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_049,400021455,49,2026,17,285023,GS,First Stage,C,2026-06-24T22:00:00Z,2026-06-24T18:00:00Z,2026-06-24,18:00,400257525,Miami Stadium,Scotland,Brazil,SCO,BRA,UEFA,CONMEBOL,Scotland,Brazil,Scotland,Brazil,scheduled,1,,,FALSE,,,,C4,C1,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_050,400021452,50,2026,17,285023,GS,First Stage,C,2026-06-24T22:00:00Z,2026-06-24T18:00:00Z,2026-06-24,18:00,400098290,Atlanta Stadium,Morocco,Haiti,MAR,HAI,CAF,CONCACAF,Morocco,Haiti,Morocco,Haiti,scheduled,1,,,FALSE,,,,C2,C3,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
WC-2026,WC-2026_053,400021444,53,2026,17,285023,GS,First Stage,A,2026-06-25T01:00:00Z,2026-06-24T19:00:00Z,2026-06-24,19:00,400222084,Mexico City Stadium,Czechia,Mexico,CZE,MEX,UEFA,CONCACAF,Czechia,Mexico,Czechia,Mexico,scheduled,1,,,FALSE,,,,UEFA PO D,A1,0,2026-04-03,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/scores-fixtures?country=&wtw-filter=ALL
