tournament_id,year,team_id,team,canonical_name,tournament_name,fifa_code,flag_icon_code,flag_icon_css_class,confederation,group_code,is_host,qualification_path,world_cup_participations,weighted_world_cup_participations,weighted_world_cup_placement_score,squad_status,source_url,source_as_of
WC-2026,2026,CZE,Czechia,Czechia,2026 FIFA Men's World Cup,CZE,cz,fi fi-cz,UEFA,A,FALSE,Qualified,2,324.0,0.004269,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,KOR,Korea Republic,South Korea,2026 FIFA Men's World Cup,KOR,kr,fi fi-kr,AFC,A,FALSE,Qualified,12,3170.0,0.196124,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,MEX,Mexico,Mexico,2026 FIFA Men's World Cup,MEX,mx,fi fi-mx,CONCACAF,A,TRUE,Host nation,18,3342.0,0.323952,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,RSA,South Africa,South Africa,2026 FIFA Men's World Cup,RSA,za,fi fi-za,CAF,A,FALSE,Qualified,4,906.0,0.011937,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,2026 FIFA Men's World Cup,BIH,ba,fi fi-ba,UEFA,B,FALSE,Qualified,2,400.0,0.00527,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,CAN,Canada,Canada,2026 FIFA Men's World Cup,CAN,ca,fi fi-ca,CONCACAF,B,TRUE,Host nation,3,653.0,0.008603,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,QAT,Qatar,Qatar,2026 FIFA Men's World Cup,QAT,qa,fi fi-qa,AFC,B,FALSE,Qualified,2,484.0,0.006377,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,SUI,Switzerland,Switzerland,2026 FIFA Men's World Cup,SUI,ch,fi fi-ch,UEFA,B,FALSE,Qualified,13,2402.0,0.234077,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,BRA,Brazil,Brazil,2026 FIFA Men's World Cup,BRA,br,fi fi-br,CONMEBOL,C,FALSE,Qualified,23,3795.0,0.758124,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,HAI,Haiti,Haiti,2026 FIFA Men's World Cup,HAI,ht,fi fi-ht,CONCACAF,C,FALSE,Qualified,2,100.0,0.001318,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,MAR,Morocco,Morocco,2026 FIFA Men's World Cup,MAR,ma,fi fi-ma,CAF,C,FALSE,Qualified,7,1656.0,0.136525,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,SCO,Scotland,Scotland,2026 FIFA Men's World Cup,SCO,gb-sct,fi fi-gb-sct,UEFA,C,FALSE,Qualified,9,1047.0,0.013794,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,AUS,Australia,Australia,2026 FIFA Men's World Cup,AUS,au,fi fi-au,AFC,D,FALSE,Qualified,7,2110.0,0.116902,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,PAR,Paraguay,Paraguay,2026 FIFA Men's World Cup,PAR,py,fi fi-py,CONMEBOL,D,FALSE,Qualified,9,1452.0,0.154373,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
WC-2026,2026,TUR,Türkiye,Turkey,2026 FIFA Men's World Cup,TUR,tr,fi fi-tr,UEFA,D,FALSE,Qualified,3,314.0,0.068407,pending,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/teams,2026-04-03
