tournament_id,edition_year,year,team_id,team,team_code,confederation,group,coach,player_name,position,pos_code,jersey_number,date_of_birth,club,caps,goals,is_captain,is_final_squad,source_url,source_as_of
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Cho Yu-min,defender,DF,,1996-11-17,Sharjah,18,0,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Jens Castrop,defender,DF,,2003-07-29,Borussia Mönchengladbach,5,0,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Kim Min-jae,defender,DF,,1996-11-15,Bayern Munich,77,4,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Kim Moon-hwan,defender,DF,,1995-08-01,Daejeon Hana Citizen,34,0,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Kim Tae-hyeon,defender,DF,,2000-09-17,Kashima Antlers,7,0,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Lee Han-beom,defender,DF,,2002-06-17,Midtjylland,6,0,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Lee Ki-hyuk,defender,DF,,2000-07-07,Gangwon FC,1,0,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Lee Tae-seok,defender,DF,,2002-07-28,Austria Wien,14,1,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Park Jin-seob,defender,DF,,1995-10-23,Zhejiang FC,12,1,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Seol Young-woo,defender,DF,,1998-12-05,Red Star Belgrade,32,0,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Cho Gue-sung,forward,FW,,1998-01-25,Midtjylland,42,10,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
WC-2026,2026,2026,KOR,Korea Republic,KOR,AFC,A,Hong Myung-bo,Oh Hyeon-gyu,forward,FW,,2001-04-12,Beşiktaş,26,6,FALSE,TRUE,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-05-22
