tournament,tournament_id,year,match_id,match_number,date,stage,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,city,country,neutral,team_elo_start,opponent_elo_start
1934 FIFA Men's World Cup,WC-1934,1934,WC-1934_005,5,1934-05-27,Round of 16,played,Czechoslovakia,CSK,CSK,UEFA,Romania,ROU,ROU,UEFA,TRUE,Trieste,Italy,TRUE,1847,1639
1934 FIFA Men's World Cup,WC-1934,1934,WC-1934_010,10,1934-05-31,Quarter-final,played,Czechoslovakia,CSK,CSK,UEFA,Switzerland,CHE,CHE,UEFA,TRUE,Turin,Italy,TRUE,1861,1653
1934 FIFA Men's World Cup,WC-1934,1934,WC-1934_014,14,1934-06-03,Semi-final,played,Czechoslovakia,CSK,CSK,UEFA,Germany,GER,DEU,UEFA,TRUE,Rome,Italy,TRUE,1875,1846
1934 FIFA Men's World Cup,WC-1934,1934,WC-1934_017,17,1934-06-10,Final,played,Czechoslovakia,CSK,CSK,UEFA,Italy,ITA,ITA,UEFA,FALSE,Rome,Italy,FALSE,1916,2034
1938 FIFA Men's World Cup,WC-1938,1938,WC-1938_004,4,1938-06-05,Round of 16,played,Czechoslovakia,CSK,CSK,UEFA,Netherlands,NED,NLD,UEFA,TRUE,Le Havre,France,TRUE,1823,1707
1938 FIFA Men's World Cup,WC-1938,1938,WC-1938_010,10,1938-06-12,Quarter-final,played,Czechoslovakia,CSK,CSK,UEFA,Brazil,BRA,BRA,CONMEBOL,FALSE,Bordeaux,France,TRUE,1859,1914
1938 FIFA Men's World Cup,WC-1938,1938,WC-1938_014,14,1938-06-14,Quarter-final,played,Czechoslovakia,CSK,CSK,UEFA,Brazil,BRA,BRA,CONMEBOL,FALSE,Bordeaux,France,TRUE,1864,1909
1954 FIFA Men's World Cup,WC-1954,1954,WC-1954_003,3,1954-06-16,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,Uruguay,URY,URY,CONMEBOL,TRUE,Bern,Switzerland,TRUE,1748,1877
1954 FIFA Men's World Cup,WC-1954,1954,WC-1954_009,9,1954-06-19,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,Austria,AUT,AUT,UEFA,FALSE,Zürich,Switzerland,TRUE,1719,1901
1958 FIFA Men's World Cup,WC-1958,1958,WC-1958_003,3,1958-06-08,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,Northern Ireland,NIR,NIR,UEFA,TRUE,Halmstad,Sweden,TRUE,1894,1738
1958 FIFA Men's World Cup,WC-1958,1958,WC-1958_012,12,1958-06-11,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,Germany,GER,DEU,UEFA,TRUE,Helsingborg,Sweden,TRUE,1844,1923
1958 FIFA Men's World Cup,WC-1958,1958,WC-1958_017,17,1958-06-15,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,Argentina,ARG,ARG,CONMEBOL,FALSE,Helsingborg,Sweden,TRUE,1862,2005
1958 FIFA Men's World Cup,WC-1958,1958,WC-1958_025,25,1958-06-17,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,Northern Ireland,NIR,NIR,UEFA,TRUE,Malmö,Sweden,TRUE,1945,1776
1962 FIFA Men's World Cup,WC-1962,1962,WC-1962_005,5,1962-05-31,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,Spain,ESP,ESP,UEFA,TRUE,Viña del Mar,Chile,TRUE,1977,1963
1962 FIFA Men's World Cup,WC-1962,1962,WC-1962_010,10,1962-06-02,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,Brazil,BRA,BRA,CONMEBOL,FALSE,Viña del Mar,Chile,TRUE,2006,2118
1962 FIFA Men's World Cup,WC-1962,1962,WC-1962_023,23,1962-06-07,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,Mexico,MEX,MEX,CONCACAF,TRUE,Viña del Mar,Chile,TRUE,2015,1776
1962 FIFA Men's World Cup,WC-1962,1962,WC-1962_027,27,1962-06-10,Quarter-final,played,Czechoslovakia,CSK,CSK,UEFA,Hungary,HUN,HUN,UEFA,TRUE,Rancagua,Chile,TRUE,1943,1992
1962 FIFA Men's World Cup,WC-1962,1962,WC-1962_030,30,1962-06-13,Semi-final,played,Czechoslovakia,CSK,CSK,UEFA,Yugoslavia,YUG,YUG,UEFA,TRUE,Viña del Mar,Chile,TRUE,1977,2018
1962 FIFA Men's World Cup,WC-1962,1962,WC-1962_032,32,1962-06-17,Final,played,Czechoslovakia,CSK,CSK,UEFA,Brazil,BRA,BRA,CONMEBOL,FALSE,Santiago,Chile,TRUE,2027,2167
1970 FIFA Men's World Cup,WC-1970,1970,WC-1970_006,6,1970-06-03,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,Brazil,BRA,BRA,CONMEBOL,FALSE,Guadalajara,Mexico,TRUE,1963,2011
1970 FIFA Men's World Cup,WC-1970,1970,WC-1970_010,10,1970-06-06,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,Romania,ROU,ROU,UEFA,TRUE,Guadalajara,Mexico,TRUE,1918,1774
1970 FIFA Men's World Cup,WC-1970,1970,WC-1970_022,22,1970-06-11,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,England,ENG,ENG,UEFA,TRUE,Guadalajara,Mexico,TRUE,1876,2048
1982 FIFA Men's World Cup,WC-1982,1982,WC-1982_011,11,1982-06-17,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,Kuwait,KWT,KWT,AFC,TRUE,Valladolid,Spain,TRUE,1896,1629
1982 FIFA Men's World Cup,WC-1982,1982,WC-1982_019,19,1982-06-20,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,England,ENG,ENG,UEFA,FALSE,Bilbao,Spain,TRUE,1877,1998
1982 FIFA Men's World Cup,WC-1982,1982,WC-1982_032,32,1982-06-24,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,France,FRA,FRA,UEFA,FALSE,Valladolid,Spain,TRUE,1847,1871
1990 FIFA Men's World Cup,WC-1990,1990,WC-1990_007,7,1990-06-10,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,United States,USA,USA,CONCACAF,FALSE,Florence,Italy,TRUE,1855,1586
1990 FIFA Men's World Cup,WC-1990,1990,WC-1990_017,17,1990-06-15,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,Austria,AUT,AUT,UEFA,FALSE,Florence,Italy,TRUE,1875,1757
1990 FIFA Men's World Cup,WC-1990,1990,WC-1990_029,29,1990-06-19,Group Stage,played,Czechoslovakia,CSK,CSK,UEFA,Italy,ITA,ITA,UEFA,FALSE,Rome,Italy,FALSE,1895,1978
1990 FIFA Men's World Cup,WC-1990,1990,WC-1990_038,38,1990-06-23,Round of 16,played,Czechoslovakia,CSK,CSK,UEFA,Costa Rica,CRI,CRI,CONCACAF,TRUE,Bari,Italy,TRUE,1872,1694
1990 FIFA Men's World Cup,WC-1990,1990,WC-1990_048,48,1990-07-01,Quarter-final,played,Czechoslovakia,CSK,CSK,UEFA,Germany,GER,DEU,UEFA,FALSE,Milan,Italy,TRUE,1844,1923
