tournament,tournament_id,year,match_id,match_number,date,stage,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,city,country,neutral,team_elo_start,opponent_elo_start
1934 FIFA Men's World Cup,WC-1934,1934,WC-1934_006,6,1934-05-27,Round of 16,played,Egypt,EGY,EGY,CAF,Hungary,HUN,HUN,UEFA,TRUE,Naples,Italy,TRUE,1707,1829
1990 FIFA Men's World Cup,WC-1990,1990,WC-1990_011,11,1990-06-12,Group Stage,played,Egypt,EGY,EGY,CAF,Netherlands,NED,NLD,UEFA,FALSE,Palermo,Italy,TRUE,1627,2033
1990 FIFA Men's World Cup,WC-1990,1990,WC-1990_023,23,1990-06-17,Group Stage,played,Egypt,EGY,EGY,CAF,Republic of Ireland,IRL,IRL,UEFA,FALSE,Palermo,Italy,TRUE,1689,1896
1990 FIFA Men's World Cup,WC-1990,1990,WC-1990_034,34,1990-06-21,Group Stage,played,Egypt,EGY,EGY,CAF,England,ENG,ENG,UEFA,FALSE,Cagliari,Italy,TRUE,1670,1946
2018 FIFA Men's World Cup,WC-2018,2018,WC-2018_002,2,2018-06-15,Group Stage,played,Egypt,EGY,EGY,CAF,Uruguay,URY,URY,CONMEBOL,TRUE,Ekaterinburg,Russia,TRUE,1639,1892
2018 FIFA Men's World Cup,WC-2018,2018,WC-2018_017,17,2018-06-19,Group Stage,played,Egypt,EGY,EGY,CAF,Russia,RUS,RUS,UEFA,FALSE,Saint Petersburg,Russia,FALSE,1628,1706
2018 FIFA Men's World Cup,WC-2018,2018,WC-2018_034,34,2018-06-25,Group Stage,played,Egypt,EGY,EGY,CAF,Saudi Arabia,KSA,SAU,AFC,FALSE,Volgograd,Russia,TRUE,1604,1551
2026 FIFA Men's World Cup,WC-2026,2026,WC-2026_013,13,2026-06-15,Group Stage,scheduled,Egypt,EGY,EGY,CAF,Belgium,BEL,BEL,UEFA,FALSE,Seattle,United States,TRUE,1689,1866
2026 FIFA Men's World Cup,WC-2026,2026,WC-2026_038,38,2026-06-21,Group Stage,scheduled,Egypt,EGY,EGY,CAF,New Zealand,NZL,NZL,OFC,FALSE,Vancouver,Canada,TRUE,1689,1585
2026 FIFA Men's World Cup,WC-2026,2026,WC-2026_061,61,2026-06-26,Group Stage,scheduled,Egypt,EGY,EGY,CAF,Iran,IRN,IRN,AFC,TRUE,Seattle,United States,TRUE,1689,1760
