tournament_id,match_id,match_number,date,tournament,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
,,,1976-04-11,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Kuwait,KWT,KWT,AFC,FALSE,1,3,loss,Doha,Qatar,TRUE,1265,1576,1256,1585,-9
,,,1976-09-05,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Iraq,IRQ,IRQ,AFC,TRUE,0,0,draw,Riyadh,Saudi Arabia,FALSE,1256,1505,1260,1501,4
,,,1976-09-12,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Morocco,MAR,MAR,CAF,TRUE,0,2,loss,Riyadh,Saudi Arabia,FALSE,,,,,
,,,1976-09-30,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Tunisia,TUN,TUN,CAF,TRUE,0,1,loss,Dammam,Saudi Arabia,FALSE,1319,1614,1314,1619,-5
,,,1976-11-12,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,Syria,,,,TRUE,2,0,win,Jeddah,Saudi Arabia,FALSE,1350,1412,1377,1385,27
,,,1976-11-26,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,Syria,,,,FALSE,1,2,loss,Damascus,Syria,FALSE,1377,1385,1363,1399,-14
,,,1977-01-07,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,Iran,IRN,IRN,AFC,TRUE,0,3,loss,Riyadh,Saudi Arabia,FALSE,1363,1704,1349,1718,-14
,,,1977-04-22,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,Iran,IRN,IRN,AFC,FALSE,0,2,loss,Shiraz,Iran,FALSE,1349,1721,1345,1725,-4
,,,1978-12-10,Asian Games,played,Saudi Arabia,KSA,SAU,AFC,China PR,,,,FALSE,0,1,loss,Bangkok,Thailand,TRUE,1372,1603,1364,1611,-8
,,,1978-12-12,Asian Games,played,Saudi Arabia,KSA,SAU,AFC,Qatar,QAT,QAT,AFC,FALSE,2,2,draw,Bangkok,Thailand,TRUE,1364,1095,1351,1108,-13
,,,1978-12-14,Asian Games,played,Saudi Arabia,KSA,SAU,AFC,Iraq,IRQ,IRQ,AFC,FALSE,1,1,draw,Bangkok,Thailand,TRUE,1351,1636,1365,1622,14
,,,1979-03-24,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,United Arab Emirates,ARE,ARE,AFC,TRUE,2,1,win,Baghdad,Iraq,TRUE,1365,1029,1370,1024,5
,,,1979-03-28,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Oman,,,,TRUE,4,0,win,Baghdad,Iraq,TRUE,,,,,
,,,1979-04-02,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Bahrain,,,,TRUE,1,1,draw,Baghdad,Iraq,TRUE,,,,,
,,,1979-04-04,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Qatar,QAT,QAT,AFC,TRUE,7,0,win,Baghdad,Iraq,TRUE,,,,,
,,,1979-04-06,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Kuwait,KWT,KWT,AFC,FALSE,0,0,draw,Baghdad,Iraq,TRUE,,,,,
,,,1979-04-08,Gulf Cup,played,Saudi Arabia,KSA,SAU,AFC,Iraq,IRQ,IRQ,AFC,FALSE,0,2,loss,Baghdad,Iraq,FALSE,1396,1685,1390,1691,-6
,,,1980-01-30,Friendly,played,Saudi Arabia,KSA,SAU,AFC,South Korea,KOR,KOR,AFC,TRUE,1,3,loss,Jeddah,Saudi Arabia,FALSE,1390,1824,1386,1828,-4
,,,1980-02-01,Friendly,played,Saudi Arabia,KSA,SAU,AFC,South Korea,KOR,KOR,AFC,TRUE,0,0,draw,Khobar,Saudi Arabia,FALSE,1386,1828,1394,1820,8
,,,1980-03-12,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Malaysia,,,,FALSE,0,3,loss,Kuala Lumpur,Malaysia,FALSE,1394,1425,1383,1436,-11
,,,1980-09-30,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Northern Cyprus,,,,FALSE,2,0,win,İzmir,Turkey,TRUE,1427,1463,1460,1430,33
,,,1980-10-03,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Turkey,TUR,TUR,UEFA,FALSE,0,3,loss,İzmir,Turkey,FALSE,1460,1601,1446,1615,-14
,,,1980-10-04,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Libya,,,,FALSE,0,2,loss,İzmir,Turkey,TRUE,1446,1521,1422,1545,-24
,,,1980-12-12,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Indonesia,IDN,IDN,AFC,TRUE,8,0,win,Riyadh,Saudi Arabia,FALSE,,,,,
,,,1980-12-14,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Indonesia,IDN,IDN,AFC,TRUE,3,0,win,Jeddah,Saudi Arabia,FALSE,,,,,
,,,1981-03-08,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Tunisia,TUN,TUN,CAF,TRUE,1,2,loss,Riyadh,Saudi Arabia,FALSE,1428,1664,1422,1670,-6
,,,1981-03-11,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Jordan,,,,TRUE,2,1,win,Riyadh,Saudi Arabia,FALSE,1422,1136,1424,1134,2
,,,1981-03-21,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,Iraq,IRQ,IRQ,AFC,TRUE,1,0,win,Riyadh,Saudi Arabia,FALSE,1427,1724,1457,1694,30
,,,1981-03-24,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,Syria,,,,TRUE,2,0,win,Riyadh,Saudi Arabia,FALSE,1457,1319,1469,1307,12
,,,1981-03-28,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,Bahrain,,,,TRUE,1,0,win,Riyadh,Saudi Arabia,FALSE,1469,1171,1473,1167,4
,,,1981-03-31,FIFA World Cup qualification,played,Saudi Arabia,KSA,SAU,AFC,Qatar,QAT,QAT,AFC,TRUE,1,0,win,Riyadh,Saudi Arabia,FALSE,1473,1242,1478,1237,5
,,,1981-10-17,Friendly,played,Saudi Arabia,KSA,SAU,AFC,South Korea,KOR,KOR,AFC,TRUE,2,0,win,Riyadh,Saudi Arabia,FALSE,,,,,
,,,1981-10-28,Friendly,played,Saudi Arabia,KSA,SAU,AFC,Sweden,SWE,SWE,UEFA,TRUE,1,2,loss,Riyadh,Saudi Arabia,FALSE,1498,1714,1491,1721,-7
