team,team_id,team_code,confederation,tournament,tournament_id,year,player_name,player_id,position,pos_code,shirt_number,date_of_birth,age,club,club_country,caps,goals
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Achito Vivas,P-60014,goal keeper,GK,2,1934-03-01,28,,,,
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Antonio Rada,P-31841,forward,FW,20,1937-06-13,24,Deportivo Pereira,Colombia,0,0
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Aníbal Alzate,P-40750,defender,DF,4,1933-01-31,29,Deportes Tolima,Colombia,0,0
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Carlos Aponte,P-98630,defender,DF,7,1939-01-24,23,,,,
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Delio Gamboa,P-73967,forward,FW,19,1936-01-28,26,Los Millonarios Bogotá,Colombia,0,0
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Efraín Sánchez,P-79242,goal keeper,GK,1,1926-02-27,36,,,,
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Eusebio Escobar,P-79071,forward,FW,18,1936-07-02,25,,,,
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Francisco Zuluaga,P-32148,defender,DF,3,1929-02-04,33,Independiente Santa Fe,Colombia,0,0
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Germán Aceros,P-17067,forward,FW,13,1938-09-30,23,Deportivo Cali,Colombia,0,0
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Hernando Tovar,P-38014,midfielder,MF,12,1938-06-07,23,,,,
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Héctor Echeverry,P-48377,defender,DF,8,1938-04-10,24,,,,
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Héctor González,P-37056,forward,FW,21,1937-07-07,24,,,,
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Ignacio Calle,P-87249,defender,DF,6,1931-08-21,30,,,,
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Ignacio Pérez,P-09775,forward,FW,16,1934-12-19,27,,,,
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Jaime González,P-75261,defender,DF,5,1938-04-01,24,América Cali,Colombia,0,0
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Jaime Silva,P-16644,midfielder,MF,9,1935-10-10,26,Independiente Santa Fe,Colombia,0,0
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Jairo Arias,P-93894,forward,FW,22,1938-11-02,23,Atlético Nacional Medellín,Colombia,0,0
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Luis Paz,P-81306,forward,FW,14,1942-06-25,19,,,,
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Marcos Coll,P-32950,midfielder,MF,15,1935-08-23,26,América Cali,Colombia,0,0
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Marino Klinger,P-07544,forward,FW,17,1936-02-07,26,Los Millonarios Bogotá,Colombia,0,0
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Rolando Serrano,P-61986,midfielder,MF,10,1938-11-13,23,América Cali,Colombia,0,0
Colombia,COL,COL,CONMEBOL,1962 FIFA Men's World Cup,WC-1962,1962,Óscar López,P-10418,defender,DF,11,1939-04-02,23,Once Caldas,Colombia,0,0
Colombia,COL,COL,CONMEBOL,1990 FIFA Men's World Cup,WC-1990,1990,Alexis Mendoza,P-33086,defender,DF,21,1961-11-08,28,América Cali,Colombia,6,0
Colombia,COL,COL,CONMEBOL,1990 FIFA Men's World Cup,WC-1990,1990,Andrés Escobar,P-70177,defender,DF,2,1967-03-13,23,Atlético Nacional Medellín,Colombia,5,0
Colombia,COL,COL,CONMEBOL,1990 FIFA Men's World Cup,WC-1990,1990,Arnoldo Iguarán,P-82012,forward,FW,16,1957-01-18,33,Los Millonarios Bogotá,Colombia,9,1
Colombia,COL,COL,CONMEBOL,1990 FIFA Men's World Cup,WC-1990,1990,Bernardo Redín,P-02405,midfielder,MF,11,1963-02-26,27,CSKA Sofia,Bulgaria,10,2
