match_number,date,stage,status,home_team,away_team,home_team_code,away_team_code,home_score,away_score,home_elo_start,away_elo_start,home_elo_end,away_elo_end,home_elo_delta,away_elo_delta,city,country,neutral,decided_by_shootout,shootout_winner
1,1990-06-08,Group Stage,played,Argentina,Cameroon,ARG,CMR,0,1,1794,1631,1751,1674,-43,43,Milan,Italy,TRUE,FALSE,
2,1990-06-09,Group Stage,played,Italy,Austria,ITA,AUT,1,0,1966,1766,1975,1757,9,-9,Rome,Italy,FALSE,FALSE,
3,1990-06-09,Group Stage,played,Soviet Union,Romania,SUN,ROU,0,2,1943,1894,1892,1945,-51,51,Bari,Italy,TRUE,FALSE,
4,1990-06-09,Group Stage,played,United Arab Emirates,Colombia,ARE,COL,0,2,1454,1801,1443,1812,-11,11,Bologna,Italy,TRUE,FALSE,
5,1990-06-10,Group Stage,played,Brazil,Sweden,BRA,SWE,2,1,1993,1952,2019,1926,26,-26,Turin,Italy,TRUE,FALSE,
6,1990-06-10,Group Stage,played,Germany,Yugoslavia,DEU,YUG,4,1,,,,,,,Milan,Italy,TRUE,FALSE,
7,1990-06-10,Group Stage,played,United States,Czechoslovakia,USA,CSK,1,5,1586,1855,1566,1875,-20,20,Florence,Italy,TRUE,FALSE,
8,1990-06-11,Group Stage,played,Costa Rica,Scotland,CRI,SCO,1,0,1612,1739,1653,1698,41,-41,Genoa,Italy,TRUE,FALSE,
9,1990-06-11,Group Stage,played,England,Republic of Ireland,ENG,IRL,1,1,,,,,,,Cagliari,Italy,TRUE,FALSE,
10,1990-06-12,Group Stage,played,Belgium,South Korea,BEL,KOR,2,0,1845,1745,1877,1713,32,-32,Verona,Italy,TRUE,FALSE,
11,1990-06-12,Group Stage,played,Netherlands,Egypt,NLD,EGY,1,1,2033,1627,2008,1652,-25,25,Palermo,Italy,TRUE,FALSE,
12,1990-06-13,Group Stage,played,Argentina,Soviet Union,ARG,SUN,2,0,1751,1892,1813,1830,62,-62,Naples,Italy,TRUE,FALSE,
13,1990-06-13,Group Stage,played,Uruguay,Spain,URY,ESP,0,0,1893,1927,1896,1924,3,-3,Udine,Italy,TRUE,FALSE,
14,1990-06-14,Group Stage,played,Cameroon,Romania,CMR,ROU,2,1,1674,1945,1724,1895,50,-50,Bari,Italy,TRUE,FALSE,
15,1990-06-14,Group Stage,played,Italy,United States,ITA,USA,1,0,1975,1566,1978,1563,3,-3,Rome,Italy,FALSE,FALSE,
16,1990-06-14,Group Stage,played,Yugoslavia,Colombia,YUG,COL,1,0,1855,1812,1881,1786,26,-26,Bologna,Italy,TRUE,FALSE,
17,1990-06-15,Group Stage,played,Austria,Czechoslovakia,AUT,CSK,0,1,1757,1875,1737,1895,-20,20,Florence,Italy,TRUE,FALSE,
18,1990-06-15,Group Stage,played,Germany,United Arab Emirates,DEU,ARE,5,1,,,,,,,Milan,Italy,TRUE,FALSE,
19,1990-06-16,Group Stage,played,Brazil,Costa Rica,BRA,CRI,1,0,2019,1653,2026,1646,7,-7,Turin,Italy,TRUE,FALSE,
20,1990-06-16,Group Stage,played,England,Netherlands,ENG,NLD,0,0,1940,2008,1946,2002,6,-6,Cagliari,Italy,TRUE,FALSE,
21,1990-06-16,Group Stage,played,Sweden,Scotland,SWE,SCO,1,2,1926,1698,1879,1745,-47,47,Genoa,Italy,TRUE,FALSE,
22,1990-06-17,Group Stage,played,Belgium,Uruguay,BEL,URY,3,1,1877,1896,1924,1849,47,-47,Verona,Italy,TRUE,FALSE,
23,1990-06-17,Group Stage,played,Republic of Ireland,Egypt,IRL,EGY,0,0,,,,,,,Palermo,Italy,TRUE,FALSE,
24,1990-06-17,Group Stage,played,South Korea,Spain,KOR,ESP,1,3,1713,1924,1692,1945,-21,21,Udine,Italy,TRUE,FALSE,
25,1990-06-18,Group Stage,played,Argentina,Romania,ARG,ROU,1,1,1813,1895,1820,1888,7,-7,Naples,Italy,TRUE,FALSE,
26,1990-06-18,Group Stage,played,Cameroon,Soviet Union,CMR,SUN,0,4,1724,1830,1684,1870,-40,40,Bari,Italy,TRUE,FALSE,
27,1990-06-19,Group Stage,played,Austria,United States,AUT,USA,2,1,1737,1563,1753,1547,16,-16,Florence,Italy,TRUE,FALSE,
28,1990-06-19,Group Stage,played,Germany,Colombia,DEU,COL,1,1,,,,,,,Milan,Italy,TRUE,FALSE,
29,1990-06-19,Group Stage,played,Italy,Czechoslovakia,ITA,CSK,2,0,1978,1895,2001,1872,23,-23,Rome,Italy,FALSE,FALSE,
30,1990-06-19,Group Stage,played,Yugoslavia,United Arab Emirates,YUG,ARE,4,1,1881,1439,1889,1431,8,-8,Bologna,Italy,TRUE,FALSE,
31,1990-06-20,Group Stage,played,Brazil,Scotland,BRA,SCO,1,0,2026,1745,2036,1735,10,-10,Turin,Italy,TRUE,FALSE,
32,1990-06-20,Group Stage,played,Sweden,Costa Rica,SWE,CRI,1,2,1879,1646,1831,1694,-48,48,Genoa,Italy,TRUE,FALSE,
33,1990-06-21,Group Stage,played,Belgium,Spain,BEL,ESP,1,2,1924,1945,1896,1973,-28,28,Verona,Italy,TRUE,FALSE,
34,1990-06-21,Group Stage,played,England,Egypt,ENG,EGY,1,0,1946,1670,1956,1660,10,-10,Cagliari,Italy,TRUE,FALSE,
