tournament_id,match_id,match_number,date,stage,status,home_team,away_team,home_team_id,away_team_id,home_team_code,away_team_code,home_team_confederation,away_team_confederation,home_elo_start,away_elo_start,city,country,neutral
WC-1990,WC-1990_001,1,1990-06-08,Group Stage,played,Argentina,Cameroon,ARG,CMR,ARG,CMR,CONMEBOL,CAF,1794,1631,Milan,Italy,TRUE
WC-1990,WC-1990_002,2,1990-06-09,Group Stage,played,Italy,Austria,ITA,AUT,ITA,AUT,UEFA,UEFA,1966,1766,Rome,Italy,FALSE
WC-1990,WC-1990_003,3,1990-06-09,Group Stage,played,Soviet Union,Romania,SUN,ROU,SUN,ROU,UEFA,UEFA,1943,1894,Bari,Italy,TRUE
WC-1990,WC-1990_004,4,1990-06-09,Group Stage,played,United Arab Emirates,Colombia,ARE,COL,ARE,COL,AFC,CONMEBOL,1454,1801,Bologna,Italy,TRUE
WC-1990,WC-1990_005,5,1990-06-10,Group Stage,played,Brazil,Sweden,BRA,SWE,BRA,SWE,CONMEBOL,UEFA,1993,1952,Turin,Italy,TRUE
WC-1990,WC-1990_006,6,1990-06-10,Group Stage,played,Germany,Yugoslavia,GER,YUG,DEU,YUG,UEFA,UEFA,1923,1813,Milan,Italy,TRUE
WC-1990,WC-1990_007,7,1990-06-10,Group Stage,played,United States,Czechoslovakia,USA,CSK,USA,CSK,CONCACAF,UEFA,1586,1855,Florence,Italy,TRUE
WC-1990,WC-1990_008,8,1990-06-11,Group Stage,played,Costa Rica,Scotland,CRI,SCO,CRI,SCO,CONCACAF,UEFA,1612,1739,Genoa,Italy,TRUE
WC-1990,WC-1990_009,9,1990-06-11,Group Stage,played,England,Republic of Ireland,ENG,IRL,ENG,IRL,UEFA,UEFA,2020,1892,Cagliari,Italy,TRUE
WC-1990,WC-1990_010,10,1990-06-12,Group Stage,played,Belgium,South Korea,BEL,KOR,BEL,KOR,UEFA,AFC,1845,1745,Verona,Italy,TRUE
WC-1990,WC-1990_011,11,1990-06-12,Group Stage,played,Netherlands,Egypt,NED,EGY,NLD,EGY,UEFA,CAF,2033,1627,Palermo,Italy,TRUE
WC-1990,WC-1990_012,12,1990-06-13,Group Stage,played,Argentina,Soviet Union,ARG,SUN,ARG,SUN,CONMEBOL,UEFA,1751,1892,Naples,Italy,TRUE
WC-1990,WC-1990_013,13,1990-06-13,Group Stage,played,Uruguay,Spain,URY,ESP,URY,ESP,CONMEBOL,UEFA,1893,1927,Udine,Italy,TRUE
WC-1990,WC-1990_014,14,1990-06-14,Group Stage,played,Cameroon,Romania,CMR,ROU,CMR,ROU,CAF,UEFA,1674,1945,Bari,Italy,TRUE
WC-1990,WC-1990_015,15,1990-06-14,Group Stage,played,Italy,United States,ITA,USA,ITA,USA,UEFA,CONCACAF,1975,1566,Rome,Italy,FALSE
