date,tournament,status,team,team_code,opponent,opponent_code,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
1976-02-08,Friendly,played,Angola,AGO,Congo,,FALSE,2,3,loss,Brazzaville,Congo,FALSE,1458,1502,1452,1508,-6
1976-02-15,Friendly,played,Angola,AGO,Congo,,TRUE,1,1,draw,Luanda,Angola,FALSE,1452,1508,1451,1509,-1
1978-08-16,Friendly,played,Angola,AGO,São Tomé and Príncipe,,FALSE,3,3,draw,São Tomé,São Tomé and Príncipe,FALSE,,,,,
1979-04-25,Friendly,played,Angola,AGO,São Tomé and Príncipe,,FALSE,2,1,win,São Tomé,São Tomé and Príncipe,FALSE,,,,,
1979-11-25,Friendly,played,Angola,AGO,Gabon,,TRUE,1,0,win,Luanda,Angola,FALSE,1508,1352,1515,1345,7
1979-11-27,Friendly,played,Angola,AGO,Cameroon,CMR,TRUE,0,1,loss,Luanda,Angola,FALSE,,,,,
1979-11-29,Friendly,played,Angola,AGO,Congo,,TRUE,0,1,loss,Luanda,Angola,FALSE,,,,,
1980-11-01,Friendly,played,Angola,AGO,Zambia,,FALSE,0,0,draw,Lusaka,Zambia,FALSE,1467,1530,1471,1526,4
1980-11-02,Friendly,played,Angola,AGO,Zambia,,FALSE,1,1,draw,Lusaka,Zambia,FALSE,1471,1526,1475,1522,4
1980-11-16,African Cup of Nations qualification,played,Angola,AGO,Congo,,TRUE,1,1,draw,Luanda,Angola,FALSE,1469,1570,1469,1570,0
1980-11-30,African Cup of Nations qualification,played,Angola,AGO,Congo,,FALSE,0,0,draw,Brazzaville,Congo,FALSE,1469,1570,1479,1560,10
1981-04-04,Friendly,played,Angola,AGO,Nigeria,NGA,FALSE,0,0,draw,Lagos,Nigeria,FALSE,1479,1680,1486,1673,7
1981-06-25,Friendly,played,Angola,AGO,Mozambique,,FALSE,1,0,win,Maputo,Mozambique,FALSE,1482,1323,1494,1311,12
1981-06-27,Friendly,played,Angola,AGO,Zimbabwe,,TRUE,1,1,draw,Maputo,Mozambique,TRUE,1494,1459,1492,1461,-2
1982-10-13,African Cup of Nations qualification,played,Angola,AGO,Gabon,,FALSE,2,2,draw,Libreville,Gabon,FALSE,,,,,
1982-11-11,Friendly,played,Angola,AGO,Ghana,GHA,TRUE,1,2,loss,Luanda,Angola,FALSE,1455,1719,1447,1727,-8
1982-11-14,African Cup of Nations qualification,played,Angola,AGO,Gabon,,TRUE,4,0,win,Luanda,Angola,FALSE,,,,,
1982-12-08,Friendly,played,Angola,AGO,Tunisia,TUN,FALSE,1,3,loss,Tunis,Tunisia,FALSE,1465,1579,1458,1586,-7
1983-04-03,Friendly,played,Angola,AGO,Congo,,FALSE,0,1,loss,Brazzaville,Congo,FALSE,1458,1574,1454,1578,-4
1983-04-09,African Cup of Nations qualification,played,Angola,AGO,Nigeria,NGA,FALSE,0,2,loss,Lagos,Nigeria,FALSE,1454,1512,1437,1529,-17
1983-04-24,African Cup of Nations qualification,played,Angola,AGO,Nigeria,NGA,TRUE,1,0,win,Luanda,Angola,FALSE,1437,1529,1457,1509,20
1984-07-01,FIFA World Cup qualification,played,Angola,AGO,Senegal,SEN,TRUE,1,0,win,Luanda,Angola,FALSE,1452,1491,1469,1474,17
1984-07-15,FIFA World Cup qualification,played,Angola,AGO,Senegal,SEN,FALSE,0,1,loss,Dakar,Senegal,FALSE,1469,1474,1455,1488,-14
