match_number,date,stage,status,home_team,away_team,home_team_code,away_team_code,home_elo_start,away_elo_start,city,country,neutral
1,2022-11-20,Group Stage,played,Qatar,Ecuador,QAT,ECU,1680,1833,Al Khor,Qatar,FALSE
2,2022-11-21,Group Stage,played,Senegal,Netherlands,SEN,NLD,1684,2040,Doha,Qatar,TRUE
3,2022-11-21,Group Stage,played,England,Iran,ENG,IRN,1919,1798,Al Rayyan,Qatar,TRUE
4,2022-11-21,Group Stage,played,United States,Wales,USA,WAL,1796,1789,Al Rayyan,Qatar,TRUE
5,2022-11-22,Group Stage,played,Argentina,Saudi Arabia,ARG,SAU,2143,1636,Lusail,Qatar,TRUE
6,2022-11-22,Group Stage,played,Mexico,Poland,MEX,POL,1808,1813,Doha,Qatar,TRUE
7,2022-11-22,Group Stage,played,Denmark,Tunisia,DNK,TUN,1971,1705,Al Rayyan,Qatar,TRUE
8,2022-11-22,Group Stage,played,France,Australia,FRA,AUS,2005,1721,Al Wakrah,Qatar,TRUE
9,2022-11-23,Group Stage,played,Germany,Japan,DEU,JPN,1962,1788,Al Rayyan,Qatar,TRUE
10,2022-11-23,Group Stage,played,Spain,Costa Rica,ESP,CRI,2048,1743,Doha,Qatar,TRUE
11,2022-11-23,Group Stage,played,Morocco,Croatia,MAR,HRV,1764,1926,Al Khor,Qatar,TRUE
12,2022-11-23,Group Stage,played,Belgium,Canada,BEL,CAN,2006,1775,Al Rayyan,Qatar,TRUE
13,2022-11-24,Group Stage,played,Switzerland,Cameroon,CHE,CMR,1901,1607,Al Wakrah,Qatar,TRUE
14,2022-11-24,Group Stage,played,Brazil,Serbia,BRA,SRB,2169,1898,Lusail,Qatar,TRUE
15,2022-11-24,Group Stage,played,Uruguay,South Korea,URY,KOR,1935,1786,Al Rayyan,Qatar,TRUE
16,2022-11-24,Group Stage,played,Portugal,Ghana,PRT,GHA,2005,1564,Doha,Qatar,TRUE
17,2022-11-25,Group Stage,played,Qatar,Senegal,QAT,SEN,1642,1674,Doha,Qatar,FALSE
18,2022-11-25,Group Stage,played,Netherlands,Ecuador,NLD,ECU,2050,1871,Al Rayyan,Qatar,TRUE
19,2022-11-25,Group Stage,played,Wales,Iran,WAL,IRN,1790,1761,Al Rayyan,Qatar,TRUE
20,2022-11-25,Group Stage,played,England,United States,ENG,USA,1956,1795,Al Khor,Qatar,TRUE
21,2022-11-26,Group Stage,played,Poland,Saudi Arabia,POL,SAU,1813,1693,Al Rayyan,Qatar,TRUE
22,2022-11-26,Group Stage,played,Argentina,Mexico,ARG,MEX,2086,1808,Lusail,Qatar,TRUE
23,2022-11-26,Group Stage,played,Tunisia,Australia,TUN,AUS,1724,1704,Al Wakrah,Qatar,TRUE
24,2022-11-26,Group Stage,played,France,Denmark,FRA,DNK,2022,1952,Doha,Qatar,TRUE
25,2022-11-27,Group Stage,played,Japan,Costa Rica,JPN,CRI,1832,1723,Al Rayyan,Qatar,TRUE
