tournament_id,match_id,match_number,date,tournament,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
,,,1994-10-09,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Lithuania,,,,TRUE,2,0,win,Zagreb,Croatia,FALSE,1875,1424,1877,1422,2
,,,1994-11-16,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Italy,ITA,ITA,UEFA,FALSE,2,1,win,Palermo,Italy,FALSE,1877,2016,1909,1984,32
,,,1995-03-25,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Ukraine,UKR,UKR,UEFA,TRUE,4,0,win,Zagreb,Croatia,FALSE,1909,1575,1915,1569,6
,,,1995-03-29,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Lithuania,,,,FALSE,0,0,draw,Vilnius,Lithuania,FALSE,1915,1452,1899,1468,-16
,,,1995-04-26,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Slovenia,SVN,SVN,UEFA,TRUE,2,0,win,Zagreb,Croatia,FALSE,1899,1592,1904,1587,5
,,,1995-06-11,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Ukraine,UKR,UKR,UEFA,FALSE,0,1,loss,Kyiv,Ukraine,FALSE,1904,1566,1872,1598,-32
,,,1995-09-03,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Estonia,,,,TRUE,7,1,win,Zagreb,Croatia,FALSE,1872,1094,1873,1093,1
,,,1995-10-08,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Italy,ITA,ITA,UEFA,TRUE,1,1,draw,Split,Croatia,FALSE,1873,1986,1874,1985,1
,,,1995-11-15,UEFA Euro qualification,played,Croatia,HRV,HRV,UEFA,Slovenia,SVN,SVN,UEFA,FALSE,2,1,win,Ljubljana,Slovenia,FALSE,1874,1588,1884,1578,10
,,,1996-02-28,Friendly,played,Croatia,HRV,HRV,UEFA,Poland,POL,POL,UEFA,TRUE,2,1,win,Rijeka,Croatia,FALSE,1884,1680,1887,1677,3
,,,1996-03-13,Friendly,played,Croatia,HRV,HRV,UEFA,South Korea,KOR,KOR,AFC,TRUE,3,0,win,Zagreb,Croatia,FALSE,1887,1617,1891,1613,4
,,,1996-03-26,Friendly,played,Croatia,HRV,HRV,UEFA,Israel,ISR,ISR,UEFA,TRUE,2,0,win,Varaždin,Croatia,FALSE,1891,1640,1895,1636,4
,,,1996-04-10,Friendly,played,Croatia,HRV,HRV,UEFA,Hungary,HUN,HUN,UEFA,TRUE,4,1,win,Osijek,Croatia,FALSE,1895,1604,1898,1601,3
,,,1996-04-24,Friendly,played,Croatia,HRV,HRV,UEFA,England,ENG,ENG,UEFA,FALSE,0,0,draw,London,England,FALSE,1898,1875,1900,1873,2
,,,1996-06-02,Friendly,played,Croatia,HRV,HRV,UEFA,Republic of Ireland,IRL,IRL,UEFA,FALSE,2,2,draw,Dublin,Republic of Ireland,FALSE,,,,,
,,,1996-06-11,UEFA Euro,played,Croatia,HRV,HRV,UEFA,Turkey,TUR,TUR,UEFA,FALSE,1,0,win,Nottingham,England,TRUE,1904,1760,1919,1745,15
,,,1996-06-16,UEFA Euro,played,Croatia,HRV,HRV,UEFA,Denmark,DNK,DNK,UEFA,TRUE,3,0,win,Sheffield,England,TRUE,1919,1962,1968,1913,49
,,,1996-06-19,UEFA Euro,played,Croatia,HRV,HRV,UEFA,Portugal,PRT,PRT,UEFA,TRUE,0,3,loss,Nottingham,England,TRUE,1968,1886,1914,1940,-54
,,,1996-06-23,UEFA Euro,played,Croatia,HRV,HRV,UEFA,Germany,GER,DEU,UEFA,FALSE,1,2,loss,Manchester,England,TRUE,1914,2077,1900,2091,-14
,,,1996-10-08,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Bosnia and Herzegovina,BIH,BIH,UEFA,FALSE,4,1,win,Bologna,Italy,TRUE,1900,1572,1909,1563,9
,,,1996-11-10,FIFA World Cup qualification,played,Croatia,HRV,HRV,UEFA,Greece,GRC,GRC,UEFA,TRUE,1,1,draw,Zagreb,Croatia,FALSE,1909,1653,1894,1668,-15
