tournament,tournament_id,year,match_id,match_number,date,stage,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,city,country,neutral,team_elo_start,opponent_elo_start
1982 FIFA Men's World Cup,WC-1982,1982,WC-1982_008,8,1982-06-16,Group Stage,played,Algeria,DZA,DZA,CAF,Germany,GER,DEU,UEFA,FALSE,Gijón,Spain,TRUE,1743,1923
1982 FIFA Men's World Cup,WC-1982,1982,WC-1982_022,22,1982-06-21,Group Stage,played,Algeria,DZA,DZA,CAF,Austria,AUT,AUT,UEFA,TRUE,Oviedo,Spain,TRUE,1696,1938
1982 FIFA Men's World Cup,WC-1982,1982,WC-1982_031,31,1982-06-24,Group Stage,played,Algeria,DZA,DZA,CAF,Chile,CHL,CHL,CONMEBOL,TRUE,Oviedo,Spain,TRUE,1678,1737
1986 FIFA Men's World Cup,WC-1986,1986,WC-1986_007,7,1986-06-03,Group Stage,played,Algeria,DZA,DZA,CAF,Northern Ireland,NIR,NIR,UEFA,TRUE,Guadalajara,Mexico,TRUE,1618,1853
1986 FIFA Men's World Cup,WC-1986,1986,WC-1986_016,16,1986-06-06,Group Stage,played,Algeria,DZA,DZA,CAF,Brazil,BRA,BRA,CONMEBOL,FALSE,Guadalajara,Mexico,TRUE,1636,1944
1986 FIFA Men's World Cup,WC-1986,1986,WC-1986_033,33,1986-06-12,Group Stage,played,Algeria,DZA,DZA,CAF,Spain,ESP,ESP,UEFA,TRUE,Monterrey,Mexico,TRUE,1627,1900
2010 FIFA Men's World Cup,WC-2010,2010,WC-2010_006,6,2010-06-13,Group Stage,played,Algeria,DZA,DZA,CAF,Slovenia,SVN,SVN,UEFA,TRUE,Polokwane,South Africa,TRUE,1539,1686
2010 FIFA Men's World Cup,WC-2010,2010,WC-2010_021,21,2010-06-18,Group Stage,played,Algeria,DZA,DZA,CAF,England,ENG,ENG,UEFA,FALSE,Cape Town,South Africa,TRUE,1521,1984
2010 FIFA Men's World Cup,WC-2010,2010,WC-2010_040,40,2010-06-23,Group Stage,played,Algeria,DZA,DZA,CAF,United States,USA,USA,CONCACAF,FALSE,Pretoria,South Africa,TRUE,1547,1793
2014 FIFA Men's World Cup,WC-2014,2014,WC-2014_015,15,2014-06-17,Group Stage,played,Algeria,DZA,DZA,CAF,Belgium,BEL,BEL,UEFA,FALSE,Belo Horizonte,Brazil,TRUE,1625,1852
2014 FIFA Men's World Cup,WC-2014,2014,WC-2014_031,31,2014-06-22,Group Stage,played,Algeria,DZA,DZA,CAF,South Korea,KOR,KOR,AFC,FALSE,Porto Alegre,Brazil,TRUE,1612,1681
2014 FIFA Men's World Cup,WC-2014,2014,WC-2014_045,45,2014-06-26,Group Stage,played,Algeria,DZA,DZA,CAF,Russia,RUS,RUS,UEFA,TRUE,Curitiba,Brazil,TRUE,1666,1807
2014 FIFA Men's World Cup,WC-2014,2014,WC-2014_054,54,2014-06-30,Round of 16,played,Algeria,DZA,DZA,CAF,Germany,GER,DEU,UEFA,FALSE,Porto Alegre,Brazil,TRUE,1678,2098
2026 FIFA Men's World Cup,WC-2026,2026,WC-2026_019,19,2026-06-16,Group Stage,scheduled,Algeria,DZA,DZA,CAF,Argentina,ARG,ARG,CONMEBOL,FALSE,Kansas City,United States,TRUE,1743,2113
2026 FIFA Men's World Cup,WC-2026,2026,WC-2026_044,44,2026-06-22,Group Stage,scheduled,Algeria,DZA,DZA,CAF,Jordan,,,,FALSE,Santa Clara,United States,TRUE,1743,1690
2026 FIFA Men's World Cup,WC-2026,2026,WC-2026_067,67,2026-06-27,Group Stage,scheduled,Algeria,DZA,DZA,CAF,Austria,AUT,AUT,UEFA,TRUE,Kansas City,United States,TRUE,1743,1827
