tournament,tournament_id,year,match_number,date,stage,status,team,team_code,opponent,opponent_code,is_home,city,country,neutral,team_elo_start,opponent_elo_start
1986 FIFA Men's World Cup,WC-1986,1986,11,1986-06-04,Group Stage,played,Denmark,DNK,Scotland,SCO,FALSE,Nezahualcóyotl,Mexico,TRUE,1893,1874
1986 FIFA Men's World Cup,WC-1986,1986,22,1986-06-08,Group Stage,played,Denmark,DNK,Uruguay,URY,TRUE,Nezahualcóyotl,Mexico,TRUE,1921,1841
1986 FIFA Men's World Cup,WC-1986,1986,35,1986-06-13,Group Stage,played,Denmark,DNK,Germany,DEU,TRUE,Querétaro,Mexico,TRUE,1870,1923
1986 FIFA Men's World Cup,WC-1986,1986,43,1986-06-18,Round of 16,played,Denmark,DNK,Spain,ESP,TRUE,Querétaro,Mexico,TRUE,2010,1918
1998 FIFA Men's World Cup,WC-1998,1998,7,1998-06-12,Group Stage,played,Denmark,DNK,Saudi Arabia,SAU,FALSE,Lens,France,TRUE,1882,1644
1998 FIFA Men's World Cup,WC-1998,1998,22,1998-06-18,Group Stage,played,Denmark,DNK,South Africa,ZAF,FALSE,Toulouse,France,TRUE,1894,1630
1998 FIFA Men's World Cup,WC-1998,1998,37,1998-06-24,Group Stage,played,Denmark,DNK,France,FRA,FALSE,Lyon,France,FALSE,1875,2016
1998 FIFA Men's World Cup,WC-1998,1998,52,1998-06-28,Round of 16,played,Denmark,DNK,Nigeria,NGA,FALSE,Saint-Denis,France,TRUE,1863,1741
1998 FIFA Men's World Cup,WC-1998,1998,57,1998-07-03,Quarter-final,played,Denmark,DNK,Brazil,BRA,FALSE,Nantes,France,TRUE,1898,2081
2002 FIFA Men's World Cup,WC-2002,2002,4,2002-06-01,Group Stage,played,Denmark,DNK,Uruguay,URY,FALSE,Ulsan,South Korea,TRUE,1861,1811
2002 FIFA Men's World Cup,WC-2002,2002,19,2002-06-06,Group Stage,played,Denmark,DNK,Senegal,SEN,TRUE,Daegu,South Korea,TRUE,1887,1752
2002 FIFA Men's World Cup,WC-2002,2002,34,2002-06-11,Group Stage,played,Denmark,DNK,France,FRA,TRUE,Incheon,South Korea,TRUE,1876,2020
2002 FIFA Men's World Cup,WC-2002,2002,49,2002-06-15,Round of 16,played,Denmark,DNK,England,ENG,TRUE,Niigata,Japan,TRUE,1939,1941
2010 FIFA Men's World Cup,WC-2010,2010,11,2010-06-14,Group Stage,played,Denmark,DNK,Netherlands,NLD,FALSE,Johannesburg,South Africa,TRUE,1778,2043
2010 FIFA Men's World Cup,WC-2010,2010,24,2010-06-19,Group Stage,played,Denmark,DNK,Cameroon,CMR,FALSE,Pretoria,South Africa,TRUE,1762,1663
2010 FIFA Men's World Cup,WC-2010,2010,42,2010-06-24,Group Stage,played,Denmark,DNK,Japan,JPN,TRUE,Rustenburg,South Africa,TRUE,1784,1702
2018 FIFA Men's World Cup,WC-2018,2018,7,2018-06-16,Group Stage,played,Denmark,DNK,Peru,PER,FALSE,Saransk,Russia,TRUE,1854,1915
2018 FIFA Men's World Cup,WC-2018,2018,21,2018-06-21,Group Stage,played,Denmark,DNK,Australia,AUS,TRUE,Samara,Russia,TRUE,1889,1731
2018 FIFA Men's World Cup,WC-2018,2018,38,2018-06-26,Group Stage,played,Denmark,DNK,France,FRA,TRUE,Moscow,Russia,TRUE,1876,2018
2018 FIFA Men's World Cup,WC-2018,2018,52,2018-07-01,Round of 16,played,Denmark,DNK,Croatia,HRV,FALSE,Nizhny Novgorod,Russia,TRUE,1888,1956
2022 FIFA Men's World Cup,WC-2022,2022,7,2022-11-22,Group Stage,played,Denmark,DNK,Tunisia,TUN,TRUE,Al Rayyan,Qatar,TRUE,1971,1705
2022 FIFA Men's World Cup,WC-2022,2022,24,2022-11-26,Group Stage,played,Denmark,DNK,France,FRA,FALSE,Doha,Qatar,TRUE,1952,2022
2022 FIFA Men's World Cup,WC-2022,2022,39,2022-11-30,Group Stage,played,Denmark,DNK,Australia,AUS,FALSE,Al Wakrah,Qatar,TRUE,1928,1736
