team,team_id,team_code,confederation,tournament,tournament_id,year,player_name,player_id,position,pos_code,shirt_number,date_of_birth,age,club,club_country,caps,goals
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Alan McLoughlin,P-87036,midfielder,MF,21,1967-04-20,23,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Andy Townsend,P-28854,midfielder,MF,13,1963-07-23,26,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Bernie Slaven,P-56580,forward,FW,15,1960-11-13,29,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Chris Hughton,P-66543,defender,DF,14,1958-12-11,31,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Chris Morris,P-24199,defender,DF,2,1963-12-24,26,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,David Kelly,P-98535,forward,FW,19,1965-11-25,24,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,David O'Leary,P-64796,defender,DF,12,1958-05-02,32,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Frank Stapleton,P-90888,forward,FW,18,1956-07-10,33,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Gerry Peyton,P-57771,goal keeper,GK,22,1956-05-20,34,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,John Aldridge,P-42603,forward,FW,9,1958-09-18,31,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,John Byrne,P-61238,forward,FW,20,1961-02-01,29,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,John Sheridan,P-52963,midfielder,MF,16,1964-10-01,25,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Kevin Moran,P-15882,defender,DF,5,1956-04-29,34,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Kevin Sheedy,P-72379,midfielder,MF,11,1959-10-21,30,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Mick McCarthy,P-08289,defender,DF,4,1959-02-07,31,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Niall Quinn,P-51629,forward,FW,17,1966-10-06,23,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Pat Bonner,P-67839,goal keeper,GK,1,1960-05-24,30,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Paul McGrath,P-96122,defender,DF,7,1959-12-04,30,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Ray Houghton,P-95491,midfielder,MF,8,1962-01-09,28,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Ronnie Whelan,P-04391,midfielder,MF,6,1961-09-25,28,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Steve Staunton,P-69817,defender,DF,3,1969-01-19,21,,,,
Republic of Ireland,IRL,IRL,UEFA,1990 FIFA Men's World Cup,WC-1990,1990,Tony Cascarino,P-94106,forward,FW,10,1962-09-01,27,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Alan Kelly,P-33377,goal keeper,GK,22,1968-08-11,25,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Alan Kernaghan,P-20706,defender,DF,13,1967-04-25,27,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Alan McLoughlin,P-87036,midfielder,MF,19,1967-04-20,27,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Andy Townsend,P-28854,midfielder,MF,7,1963-07-23,30,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,David Kelly,P-98535,forward,FW,20,1965-11-25,28,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Denis Irwin,P-25274,defender,DF,2,1965-10-31,28,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Eddie McGoldrick,P-11747,forward,FW,17,1965-04-30,29,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Gary Kelly,P-07683,defender,DF,12,1974-07-09,19,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Jason McAteer,P-15705,midfielder,MF,21,1971-06-18,22,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,John Aldridge,P-42603,forward,FW,9,1958-09-18,35,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,John Sheridan,P-52963,midfielder,MF,10,1964-10-01,29,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Kevin Moran,P-15882,defender,DF,4,1956-04-29,38,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Pat Bonner,P-67839,goal keeper,GK,1,1960-05-24,34,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Paul McGrath,P-96122,defender,DF,5,1959-12-04,34,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Phil Babb,P-28514,defender,DF,14,1970-10-30,23,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Ray Houghton,P-95491,midfielder,MF,8,1962-01-09,32,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Ronnie Whelan,P-04391,midfielder,MF,18,1961-09-25,32,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Roy Keane,P-91106,midfielder,MF,6,1971-08-10,22,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Steve Staunton,P-69817,defender,DF,11,1969-01-19,25,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Terry Phelan,P-99685,defender,DF,3,1967-03-16,27,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Tommy Coyne,P-90357,forward,FW,15,1962-11-14,31,,,,
Republic of Ireland,IRL,IRL,UEFA,1994 FIFA Men's World Cup,WC-1994,1994,Tony Cascarino,P-94106,forward,FW,16,1962-09-01,31,,,,
Republic of Ireland,IRL,IRL,UEFA,2002 FIFA Men's World Cup,WC-2002,2002,Alan Kelly,P-33377,goal keeper,GK,23,1968-08-11,33,,,,
