tournament,tournament_id,year,match_id,match_number,date,stage,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,city,country,neutral,team_elo_start,opponent_elo_start
1930 FIFA Men's World Cup,WC-1930,1930,WC-1930_004,4,1930-07-14,Group Stage,played,Peru,PER,PER,CONMEBOL,Romania,ROU,ROU,UEFA,TRUE,Montevideo,Uruguay,TRUE,1541,1561
1930 FIFA Men's World Cup,WC-1930,1930,WC-1930_009,9,1930-07-18,Group Stage,played,Peru,PER,PER,CONMEBOL,Uruguay,URY,URY,CONMEBOL,FALSE,Montevideo,Uruguay,FALSE,1499,1968
1970 FIFA Men's World Cup,WC-1970,1970,WC-1970_002,2,1970-06-02,Group Stage,played,Peru,PER,PER,CONMEBOL,Bulgaria,BGR,BGR,UEFA,FALSE,León,Mexico,TRUE,1692,1823
1970 FIFA Men's World Cup,WC-1970,1970,WC-1970_012,12,1970-06-06,Group Stage,played,Peru,PER,PER,CONMEBOL,Morocco,MAR,MAR,CAF,FALSE,León,Mexico,TRUE,1733,1662
1970 FIFA Men's World Cup,WC-1970,1970,WC-1970_019,19,1970-06-10,Group Stage,played,Peru,PER,PER,CONMEBOL,Germany,GER,DEU,UEFA,FALSE,León,Mexico,TRUE,1695,1923
1970 FIFA Men's World Cup,WC-1970,1970,WC-1970_025,25,1970-06-14,Quarter-final,played,Peru,PER,PER,CONMEBOL,Brazil,BRA,BRA,CONMEBOL,FALSE,Guadalajara,Mexico,TRUE,1758,2098
1978 FIFA Men's World Cup,WC-1978,1978,WC-1978_008,8,1978-06-03,Group Stage,played,Peru,PER,PER,CONMEBOL,Scotland,SCO,SCO,UEFA,TRUE,Córdoba,Argentina,TRUE,1754,1944
1978 FIFA Men's World Cup,WC-1978,1978,WC-1978_016,16,1978-06-07,Group Stage,played,Peru,PER,PER,CONMEBOL,Netherlands,NED,NLD,UEFA,FALSE,Mendoza,Argentina,TRUE,1821,2109
1978 FIFA Men's World Cup,WC-1978,1978,WC-1978_022,22,1978-06-11,Group Stage,played,Peru,PER,PER,CONMEBOL,Iran,IRN,IRN,AFC,FALSE,Córdoba,Argentina,TRUE,1841,1794
1978 FIFA Men's World Cup,WC-1978,1978,WC-1978_027,27,1978-06-14,Quarter-final,played,Peru,PER,PER,CONMEBOL,Brazil,BRA,BRA,CONMEBOL,FALSE,Mendoza,Argentina,TRUE,1886,2068
1978 FIFA Men's World Cup,WC-1978,1978,WC-1978_032,32,1978-06-18,Quarter-final,played,Peru,PER,PER,CONMEBOL,Poland,POL,POL,UEFA,TRUE,Mendoza,Argentina,TRUE,1859,1936
1978 FIFA Men's World Cup,WC-1978,1978,WC-1978_033,33,1978-06-21,Quarter-final,played,Peru,PER,PER,CONMEBOL,Argentina,ARG,ARG,CONMEBOL,FALSE,Rosario,Argentina,FALSE,1836,1968
1982 FIFA Men's World Cup,WC-1982,1982,WC-1982_005,5,1982-06-15,Group Stage,played,Peru,PER,PER,CONMEBOL,Cameroon,CMR,CMR,CAF,TRUE,La Coruña,Spain,TRUE,1776,1627
1982 FIFA Men's World Cup,WC-1982,1982,WC-1982_015,15,1982-06-18,Group Stage,played,Peru,PER,PER,CONMEBOL,Italy,ITA,ITA,UEFA,FALSE,Vigo,Spain,TRUE,1764,1898
1982 FIFA Men's World Cup,WC-1982,1982,WC-1982_026,26,1982-06-22,Group Stage,played,Peru,PER,PER,CONMEBOL,Poland,POL,POL,UEFA,FALSE,La Coruña,Spain,TRUE,1775,1930
2018 FIFA Men's World Cup,WC-2018,2018,WC-2018_007,7,2018-06-16,Group Stage,played,Peru,PER,PER,CONMEBOL,Denmark,DNK,DNK,UEFA,TRUE,Saransk,Russia,TRUE,1915,1854
2018 FIFA Men's World Cup,WC-2018,2018,WC-2018_022,22,2018-06-21,Group Stage,played,Peru,PER,PER,CONMEBOL,France,FRA,FRA,UEFA,FALSE,Ekaterinburg,Russia,TRUE,1880,1998
2018 FIFA Men's World Cup,WC-2018,2018,WC-2018_037,37,2018-06-26,Group Stage,played,Peru,PER,PER,CONMEBOL,Australia,AUS,AUS,AFC,FALSE,Sochi,Russia,TRUE,1860,1744
