tournament_id,match_id,match_number,date,stage,status,team_id,team,team_confederation,opponent_id,opponent,opponent_confederation,is_home,team_score,opponent_score,result,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta,city,country,neutral,decided_by_shootout,shootout_winner
WC-1954,WC-1954_001,1,1954-06-16,Group Stage,played,AUT,Austria,UEFA,SCO,Scotland,UEFA,TRUE,1,0,win,1868,1900,1901,1867,33,Zürich,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_001,1,1954-06-16,Group Stage,played,SCO,Scotland,UEFA,AUT,Austria,UEFA,FALSE,0,1,loss,1900,1868,1867,1901,-33,Zürich,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_002,2,1954-06-16,Group Stage,played,BRA,Brazil,CONMEBOL,MEX,Mexico,CONCACAF,TRUE,5,0,win,2030,1699,2046,1683,16,Geneva,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_002,2,1954-06-16,Group Stage,played,MEX,Mexico,CONCACAF,BRA,Brazil,CONMEBOL,FALSE,0,5,loss,1699,2030,1683,2046,-16,Geneva,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_003,3,1954-06-16,Group Stage,played,CSK,Czechoslovakia,UEFA,URY,Uruguay,CONMEBOL,TRUE,0,2,loss,1748,1877,1719,1906,-29,Bern,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_003,3,1954-06-16,Group Stage,played,URY,Uruguay,CONMEBOL,CSK,Czechoslovakia,UEFA,FALSE,2,0,win,1877,1748,1906,1719,29,Bern,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_004,4,1954-06-16,Group Stage,played,FRA,France,UEFA,YUG,Yugoslavia,UEFA,TRUE,0,1,loss,1775,1934,1758,1951,-17,Lausanne,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_004,4,1954-06-16,Group Stage,played,YUG,Yugoslavia,UEFA,FRA,France,UEFA,FALSE,1,0,win,1934,1775,1951,1758,17,Lausanne,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_005,5,1954-06-17,Group Stage,played,BEL,Belgium,UEFA,ENG,England,UEFA,TRUE,4,4,draw,1777,2021,1795,2003,18,Basel,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_005,5,1954-06-17,Group Stage,played,ENG,England,UEFA,BEL,Belgium,UEFA,FALSE,4,4,draw,2021,1777,2003,1795,-18,Basel,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_006,6,1954-06-17,Group Stage,played,GER,Germany,UEFA,TUR,Turkey,UEFA,TRUE,4,1,win,1949,1598,1961,1586,12,Bern,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_006,6,1954-06-17,Group Stage,played,TUR,Turkey,UEFA,GER,Germany,UEFA,FALSE,1,4,loss,1598,1949,1586,1961,-12,Bern,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_007,7,1954-06-17,Group Stage,played,HUN,Hungary,UEFA,KOR,South Korea,AFC,TRUE,9,0,win,2146,1679,2156,1669,10,Zürich,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_007,7,1954-06-17,Group Stage,played,KOR,South Korea,AFC,HUN,Hungary,UEFA,FALSE,0,9,loss,1679,2146,1669,2156,-10,Zürich,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_008,8,1954-06-17,Group Stage,played,CHE,Switzerland,UEFA,ITA,Italy,UEFA,TRUE,2,1,win,1673,1893,1713,1853,40,Lausanne,Switzerland,FALSE,FALSE,
WC-1954,WC-1954_008,8,1954-06-17,Group Stage,played,ITA,Italy,UEFA,CHE,Switzerland,UEFA,FALSE,1,2,loss,1893,1673,1853,1713,-40,Lausanne,Switzerland,FALSE,FALSE,
WC-1954,WC-1954_009,9,1954-06-19,Group Stage,played,AUT,Austria,UEFA,CSK,Czechoslovakia,UEFA,TRUE,5,0,win,1901,1719,1932,1688,31,Zürich,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_009,9,1954-06-19,Group Stage,played,CSK,Czechoslovakia,UEFA,AUT,Austria,UEFA,FALSE,0,5,loss,1719,1901,1688,1932,-31,Zürich,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_010,10,1954-06-19,Group Stage,played,BRA,Brazil,CONMEBOL,YUG,Yugoslavia,UEFA,TRUE,1,1,draw,2046,1951,2038,1959,-8,Lausanne,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_010,10,1954-06-19,Group Stage,played,YUG,Yugoslavia,UEFA,BRA,Brazil,CONMEBOL,FALSE,1,1,draw,1951,2046,1959,2038,8,Lausanne,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_011,11,1954-06-19,Group Stage,played,FRA,France,UEFA,MEX,Mexico,CONCACAF,TRUE,3,2,win,1758,1683,1782,1659,24,Geneva,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_011,11,1954-06-19,Group Stage,played,MEX,Mexico,CONCACAF,FRA,France,UEFA,FALSE,2,3,loss,1683,1758,1659,1782,-24,Geneva,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_012,12,1954-06-19,Group Stage,played,SCO,Scotland,UEFA,URY,Uruguay,CONMEBOL,TRUE,0,7,loss,1867,1906,1807,1966,-60,Basel,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_012,12,1954-06-19,Group Stage,played,URY,Uruguay,CONMEBOL,SCO,Scotland,UEFA,FALSE,7,0,win,1906,1867,1966,1807,60,Basel,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_013,13,1954-06-20,Group Stage,played,BEL,Belgium,UEFA,ITA,Italy,UEFA,TRUE,1,4,loss,1795,1853,1751,1897,-44,Lugano,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_013,13,1954-06-20,Group Stage,played,ITA,Italy,UEFA,BEL,Belgium,UEFA,FALSE,4,1,win,1853,1795,1897,1751,44,Lugano,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_014,14,1954-06-20,Group Stage,played,GER,Germany,UEFA,HUN,Hungary,UEFA,TRUE,3,8,loss,1961,2156,1932,2185,-29,Basel,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_014,14,1954-06-20,Group Stage,played,HUN,Hungary,UEFA,GER,Germany,UEFA,FALSE,8,3,win,2156,1961,2185,1932,29,Basel,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_015,15,1954-06-20,Group Stage,played,KOR,South Korea,AFC,TUR,Turkey,UEFA,TRUE,0,7,loss,1669,1586,1586,1669,-83,Geneva,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_015,15,1954-06-20,Group Stage,played,TUR,Turkey,UEFA,KOR,South Korea,AFC,FALSE,7,0,win,1586,1669,1669,1586,83,Geneva,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_016,16,1954-06-20,Group Stage,played,CHE,Switzerland,UEFA,ENG,England,UEFA,TRUE,0,2,loss,1713,2003,1690,2026,-23,Bern,Switzerland,FALSE,FALSE,
WC-1954,WC-1954_016,16,1954-06-20,Group Stage,played,ENG,England,UEFA,CHE,Switzerland,UEFA,FALSE,2,0,win,2003,1713,2026,1690,23,Bern,Switzerland,FALSE,FALSE,
WC-1954,WC-1954_017,17,1954-06-23,Group Stage,played,GER,Germany,UEFA,TUR,Turkey,UEFA,TRUE,7,2,win,1932,1669,1954,1647,22,Zürich,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_017,17,1954-06-23,Group Stage,played,TUR,Turkey,UEFA,GER,Germany,UEFA,FALSE,2,7,loss,1669,1932,1647,1954,-22,Zürich,Switzerland,TRUE,FALSE,
WC-1954,WC-1954_018,18,1954-06-23,Group Stage,played,CHE,Switzerland,UEFA,ITA,Italy,UEFA,TRUE,4,1,win,1690,1897,1758,1829,68,Basel,Switzerland,FALSE,FALSE,
WC-1954,WC-1954_018,18,1954-06-23,Group Stage,played,ITA,Italy,UEFA,CHE,Switzerland,UEFA,FALSE,1,4,loss,1897,1690,1829,1758,-68,Basel,Switzerland,FALSE,FALSE,
