team,team_code,tournament,tournament_id,year,player_name,player_id,position,pos_code,shirt_number,date_of_birth,age,club,club_country,caps,goals
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Anthony Wolfe,P-26454,midfielder,MF,23,1983-12-23,22,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Aurtis Whitley,P-77687,midfielder,MF,9,1977-05-01,29,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Avery John,P-86728,defender,DF,3,1975-06-18,30,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Brent Sancho,P-52480,defender,DF,5,1977-03-13,29,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Carlos Edwards,P-52850,midfielder,MF,11,1978-10-24,27,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Chris Birchall,P-05918,midfielder,MF,7,1984-05-05,22,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Clayton Ince,P-34430,goal keeper,GK,22,1972-07-12,33,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Collin Samuel,P-56282,forward,FW,12,1981-08-27,24,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Cornell Glen,P-78050,forward,FW,13,1980-10-21,25,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Cyd Gray,P-40120,defender,DF,8,1973-11-21,32,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,David Atiba Charles,P-23065,defender,DF,17,1977-08-29,28,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Dennis Lawrence,P-49762,defender,DF,6,1974-08-01,31,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Densill Theobald,P-22492,midfielder,MF,18,1982-06-27,23,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Dwight Yorke,P-94201,forward,FW,19,1971-11-03,34,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Evans Wise,P-03524,midfielder,MF,16,1973-11-23,32,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Ian Cox,P-57974,defender,DF,2,1971-03-25,35,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Jason Scotland,P-62644,forward,FW,20,1979-02-18,27,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Kelvin Jack,P-74150,goal keeper,GK,21,1976-04-29,30,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Kenwyne Jones,P-33665,forward,FW,15,1984-10-05,21,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Marvin Andrews,P-77807,defender,DF,4,1975-12-22,30,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Russell Latapy,P-61974,midfielder,MF,10,1968-08-02,37,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Shaka Hislop,P-09117,goal keeper,GK,1,1969-02-22,37,,,,
Trinidad and Tobago,TTO,2006 FIFA Men's World Cup,WC-2006,2006,Stern John,P-88830,forward,FW,14,1976-10-30,29,,,,
