tournament_id,year,team_id,team,team_code,confederation,tournament_name,placement,position,matches_played
WC-1950,1950,URY,Uruguay,URY,CONMEBOL,1950 FIFA Men's World Cup,Winner,1,4
WC-1950,1950,BRA,Brazil,BRA,CONMEBOL,1950 FIFA Men's World Cup,Runner-up,2,6
WC-1950,1950,SWE,Sweden,SWE,UEFA,1950 FIFA Men's World Cup,Third Place,3,5
WC-1950,1950,ESP,Spain,ESP,UEFA,1950 FIFA Men's World Cup,Fourth Place,4,6
WC-1950,1950,BOL,Bolivia,BOL,CONMEBOL,1950 FIFA Men's World Cup,Group Stage,13,1
WC-1950,1950,CHL,Chile,CHL,CONMEBOL,1950 FIFA Men's World Cup,Group Stage,13,3
WC-1950,1950,ENG,England,ENG,UEFA,1950 FIFA Men's World Cup,Group Stage,13,3
WC-1950,1950,ITA,Italy,ITA,UEFA,1950 FIFA Men's World Cup,Group Stage,13,2
WC-1950,1950,MEX,Mexico,MEX,CONCACAF,1950 FIFA Men's World Cup,Group Stage,13,3
WC-1950,1950,PRY,Paraguay,PRY,CONMEBOL,1950 FIFA Men's World Cup,Group Stage,13,2
WC-1950,1950,CHE,Switzerland,CHE,UEFA,1950 FIFA Men's World Cup,Group Stage,13,3
WC-1950,1950,USA,United States,USA,CONCACAF,1950 FIFA Men's World Cup,Group Stage,13,3
WC-1950,1950,YUG,Yugoslavia,YUG,UEFA,1950 FIFA Men's World Cup,Group Stage,13,3
