tournament_id,match_id,match_number,date,stage,status,home_team,away_team,home_team_id,away_team_id,home_team_code,away_team_code,home_team_confederation,away_team_confederation,home_elo_start,away_elo_start,city,country,neutral
WC-1966,WC-1966_001,1,1966-07-11,Group Stage,played,England,Uruguay,ENG,URY,ENG,URY,UEFA,CONMEBOL,1991,1848,London,England,FALSE
WC-1966,WC-1966_002,2,1966-07-12,Group Stage,played,Brazil,Bulgaria,BRA,BGR,BRA,BGR,CONMEBOL,UEFA,2010,1804,Liverpool,England,TRUE
WC-1966,WC-1966_003,3,1966-07-12,Group Stage,played,Germany,Switzerland,GER,CHE,DEU,CHE,UEFA,UEFA,1923,1889,Sheffield,England,TRUE
WC-1966,WC-1966_004,4,1966-07-12,Group Stage,played,North Korea,Soviet Union,PRK,SUN,PRK,SUN,AFC,UEFA,1778,2003,Middlesbrough,England,TRUE
WC-1966,WC-1966_005,5,1966-07-13,Group Stage,played,Argentina,Spain,ARG,ESP,ARG,ESP,CONMEBOL,UEFA,1973,1895,Birmingham,England,TRUE
WC-1966,WC-1966_006,6,1966-07-13,Group Stage,played,Chile,Italy,CHL,ITA,CHL,ITA,CONMEBOL,UEFA,1752,1979,Sunderland,England,TRUE
WC-1966,WC-1966_007,7,1966-07-13,Group Stage,played,France,Mexico,FRA,MEX,FRA,MEX,UEFA,CONCACAF,1759,1868,London,England,TRUE
WC-1966,WC-1966_008,8,1966-07-13,Group Stage,played,Hungary,Portugal,HUN,PRT,HUN,PRT,UEFA,UEFA,1954,1833,Manchester,England,TRUE
WC-1966,WC-1966_009,9,1966-07-15,Group Stage,played,Brazil,Hungary,BRA,HUN,BRA,HUN,CONMEBOL,UEFA,2031,1894,Liverpool,England,TRUE
WC-1966,WC-1966_010,10,1966-07-15,Group Stage,played,Chile,North Korea,CHL,PRK,CHL,PRK,CONMEBOL,AFC,1733,1755,Middlesbrough,England,TRUE
WC-1966,WC-1966_011,11,1966-07-15,Group Stage,played,France,Uruguay,FRA,URY,FRA,URY,UEFA,CONMEBOL,1768,1866,London,England,TRUE
WC-1966,WC-1966_012,12,1966-07-15,Group Stage,played,Spain,Switzerland,ESP,CHE,ESP,CHE,UEFA,UEFA,1872,1639,Sheffield,England,TRUE
WC-1966,WC-1966_013,13,1966-07-16,Group Stage,played,Argentina,Germany,ARG,GER,ARG,DEU,CONMEBOL,UEFA,2113,1923,Birmingham,England,TRUE
WC-1966,WC-1966_014,14,1966-07-16,Group Stage,played,Bulgaria,Portugal,BGR,PRT,BGR,PRT,UEFA,UEFA,1783,1893,Manchester,England,TRUE
WC-1966,WC-1966_015,15,1966-07-16,Group Stage,played,England,Mexico,ENG,MEX,ENG,MEX,UEFA,CONCACAF,1973,1859,London,England,FALSE
WC-1966,WC-1966_016,16,1966-07-16,Group Stage,played,Italy,Soviet Union,ITA,SUN,ITA,SUN,UEFA,UEFA,1998,2026,Sunderland,England,TRUE
WC-1966,WC-1966_017,17,1966-07-19,Group Stage,played,Argentina,Switzerland,ARG,CHE,ARG,CHE,CONMEBOL,UEFA,1994,1627,Sheffield,England,TRUE
WC-1966,WC-1966_018,18,1966-07-19,Group Stage,played,Brazil,Portugal,BRA,PRT,BRA,PRT,CONMEBOL,UEFA,1969,1929,Liverpool,England,TRUE
WC-1966,WC-1966_019,19,1966-07-19,Group Stage,played,Italy,North Korea,ITA,PRK,ITA,PRK,UEFA,AFC,1970,1753,Middlesbrough,England,TRUE
WC-1966,WC-1966_020,20,1966-07-19,Group Stage,played,Mexico,Uruguay,MEX,URY,MEX,URY,CONCACAF,CONMEBOL,1839,1888,London,England,TRUE
WC-1966,WC-1966_021,21,1966-07-20,Group Stage,played,Bulgaria,Hungary,BGR,HUN,BGR,HUN,UEFA,UEFA,1747,1956,Manchester,England,TRUE
WC-1966,WC-1966_022,22,1966-07-20,Group Stage,played,Chile,Soviet Union,CHL,SUN,CHL,SUN,CONMEBOL,UEFA,1735,2054,Sunderland,England,TRUE
WC-1966,WC-1966_023,23,1966-07-20,Group Stage,played,England,France,ENG,FRA,ENG,FRA,UEFA,UEFA,1993,1746,London,England,FALSE
WC-1966,WC-1966_024,24,1966-07-20,Group Stage,played,Germany,Spain,GER,ESP,DEU,ESP,UEFA,UEFA,1923,2165,Birmingham,England,TRUE
WC-1966,WC-1966_025,25,1966-07-23,Quarter-final,played,England,Argentina,ENG,ARG,ENG,ARG,UEFA,CONMEBOL,2004,2004,London,England,FALSE
WC-1966,WC-1966_026,26,1966-07-23,Quarter-final,played,Germany,Uruguay,GER,URY,DEU,URY,UEFA,CONMEBOL,1923,1892,Sheffield,England,TRUE
WC-1966,WC-1966_027,27,1966-07-23,Quarter-final,played,Hungary,Soviet Union,HUN,SUN,HUN,SUN,UEFA,UEFA,1977,2062,Sunderland,England,TRUE
WC-1966,WC-1966_028,28,1966-07-23,Quarter-final,played,North Korea,Portugal,PRK,PRT,PRK,PRT,AFC,UEFA,1800,1979,Liverpool,England,TRUE
WC-1966,WC-1966_029,29,1966-07-25,Semi-final,played,Germany,Soviet Union,GER,SUN,DEU,SUN,UEFA,UEFA,1923,1922,Liverpool,England,TRUE
WC-1966,WC-1966_030,30,1966-07-26,Semi-final,played,England,Portugal,ENG,PRT,ENG,PRT,UEFA,UEFA,2026,2003,London,England,FALSE
WC-1966,WC-1966_031,31,1966-07-28,Third Place,played,Portugal,Soviet Union,PRT,SUN,PRT,SUN,UEFA,UEFA,1983,2051,London,England,TRUE
WC-1966,WC-1966_032,32,1966-07-30,Final,played,England,Germany,ENG,GER,ENG,DEU,UEFA,UEFA,2020,1923,London,England,FALSE
