team,team_code,tournament,tournament_id,year,player_name,player_id,position,pos_code,shirt_number,date_of_birth,age,club,club_country,caps,goals
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Alberto González,P-17625,forward,FW,16,1941-08-21,24,,,,
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Alfredo Rojas,P-35675,forward,FW,18,1937-02-20,29,CA Boca Juniors,Argentina,0,0
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Antonio Rattín,P-92300,midfielder,MF,10,1937-05-16,29,CA Boca Juniors,Argentina,5,0
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Antonio Roma,P-00855,goal keeper,GK,1,1932-07-13,33,CA Boca Juniors,Argentina,6,0
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Aníbal Tarabini,P-95542,forward,FW,22,1941-08-04,24,Independiente Avellaneda,Argentina,0,0
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Carmelo Simeone,P-61271,midfielder,MF,9,1934-09-22,31,,,,
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Ermindo Onega,P-20306,forward,FW,20,1940-04-30,26,River Plate Buenos Aires,Argentina,5,1
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Hugo Gatti,P-21555,goal keeper,GK,3,1944-08-19,21,,,,
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Jorge Solari,P-62533,midfielder,MF,15,1941-11-11,24,,,,
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,José Omar Pastoriza,P-42100,midfielder,MF,11,1942-05-23,24,,,,
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,José Varacka,P-40725,midfielder,MF,5,1932-05-27,34,,,,
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Juan Carlos Sarnari,P-46231,midfielder,MF,17,1942-01-22,24,River Plate Buenos Aires,Argentina,1,0
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Luis Artime,P-47496,forward,FW,19,1938-12-02,27,Independiente Avellaneda,Argentina,4,3
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Mario Chaldú,P-44727,forward,FW,14,1942-06-06,24,San Lorenzo Almagro,Argentina,1,0
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Nelson López,P-49889,defender,DF,13,1941-06-24,25,,,,
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Oscar Calics,P-53257,midfielder,MF,6,1939-11-18,26,San Lorenzo Almagro,Argentina,1,0
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Oscar Más,P-97042,forward,FW,21,1946-10-29,19,River Plate Buenos Aires,Argentina,6,1
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Rafael Albrecht,P-27099,midfielder,MF,12,1941-08-23,24,San Lorenzo Almagro,Argentina,5,0
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Roberto Ferreiro,P-05616,defender,DF,8,1935-04-25,31,Independiente Avellaneda,Argentina,6,0
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Roberto Perfumo,P-94783,defender,DF,4,1942-10-03,23,Racing Club Avellaneda,Argentina,6,0
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Rolando Irusta,P-62756,goal keeper,GK,2,1938-03-27,28,,,,
Argentina,ARG,1966 FIFA Men's World Cup,WC-1966,1966,Silvio Marzolini,P-00867,defender,DF,7,1940-10-04,25,CA Boca Juniors,Argentina,6,0
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Alcindo,P-66524,forward,FW,18,1945-12-16,20,,,,
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Altair,P-58585,defender,DF,6,1938-01-21,28,,,,
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Brito,P-59934,defender,DF,5,1939-08-09,26,CR Vasco da Gama (RJ),Brazil,6,0
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Denílson,P-34746,midfielder,MF,13,1943-03-28,23,Fluminense FC (RJ),Brazil,6,1
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Djalma Santos,P-52002,defender,DF,2,1929-02-27,37,SE Palmeiras (SP),Brazil,4,0
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Edu,P-49805,forward,FW,22,1949-08-06,16,Santos FC (SP),Brazil,2,1
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Fidélis,P-18102,defender,DF,3,1944-03-13,22,Bangu AC (RJ),Brazil,7,1
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Garrincha,P-46080,forward,FW,16,1933-10-28,32,,,,
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Gilmar,P-07056,goal keeper,GK,1,1930-08-22,35,Santos FC (SP),Brazil,8,0
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Gérson,P-04354,midfielder,MF,11,1941-01-11,25,Botafogo FR (RJ),Brazil,5,2
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Hilderaldo Bellini,P-70724,defender,DF,4,1930-06-07,36,São Paulo FC (SP),Brazil,6,0
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Jairzinho,P-77430,midfielder,MF,17,1944-12-25,21,Botafogo FR (RJ),Brazil,9,0
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Lima,P-40151,midfielder,MF,14,1942-01-18,24,Santos FC (SP),Brazil,8,3
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Manga,P-39644,goal keeper,GK,12,1937-04-26,29,,,,
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Orlando,P-00577,defender,DF,7,1935-09-20,30,,,,
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Paraná,P-66939,forward,FW,21,1942-03-21,24,São Paulo FC (SP),Brazil,5,1
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Paulo Henrique,P-86293,defender,DF,8,1943-01-05,23,CR Flamengo (RJ),Brazil,9,0
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Pelé,P-38906,forward,FW,10,1940-10-23,25,Santos FC (SP),Brazil,9,5
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Rildo,P-84905,defender,DF,9,1942-01-23,24,Botafogo FR (RJ),Brazil,4,1
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Silva,P-93168,forward,FW,19,1940-01-02,26,,,,
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Tostão,P-53202,midfielder,MF,20,1947-01-25,19,Cruzeiro EC (MG),Brazil,6,6
Brazil,BRA,1966 FIFA Men's World Cup,WC-1966,1966,Zito,P-82525,midfielder,MF,15,1932-08-18,33,,,,
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Aleksandar Kostov,P-76463,forward,FW,16,1938-03-05,28,,,,
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Aleksandar Shalamanov,P-53019,defender,DF,2,1941-09-04,24,Slavia Sofia,Bulgaria,6,0
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Boris Gaganelov,P-66746,defender,DF,4,1941-10-07,24,CSKA Cherveno Zname Sofia,Bulgaria,8,0
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Dimitar Largov,P-05257,defender,DF,15,1936-09-10,29,Slavia Sofia,Bulgaria,2,0
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Dimitar Penev,P-59856,defender,DF,5,1945-07-12,20,CSKA Cherveno Zname Sofia,Bulgaria,7,0
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Dimitar Yakimov,P-22594,forward,FW,13,1941-08-12,24,CSKA Cherveno Zname Sofia,Bulgaria,6,0
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Dinko Dermendzhiev,P-06520,midfielder,MF,7,1941-06-02,25,Botev Plovdiv,Bulgaria,4,1
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Dobromir Zhechev,P-01172,defender,DF,6,1942-11-12,23,Spartak Sofia,Bulgaria,8,0
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Evgeni Yanchovski,P-12058,midfielder,MF,18,1939-09-05,26,,,,
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Georgi Asparuhov,P-72803,forward,FW,9,1943-05-04,23,Levski Sofia,Bulgaria,6,2
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Georgi Naydenov,P-03284,goal keeper,GK,1,1931-12-21,34,Spartak Sofia,Bulgaria,3,0
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Ivan Davidov,P-92893,midfielder,MF,20,1943-10-05,22,Slavia Sofia,Bulgaria,3,0
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Ivan Deyanov,P-79047,goal keeper,GK,22,1937-12-16,28,Lokomotiv Sofia,Bulgaria,0,0
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Ivan Kolev,P-89534,forward,FW,11,1930-11-01,35,CSKA Cherveno Zname Sofia,Bulgaria,3,0
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Ivan Vutsov,P-07046,defender,DF,3,1939-12-14,26,Levski Sofia,Bulgaria,6,0
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Nikola Kotkov,P-01235,forward,FW,14,1938-12-09,27,Lokomotiv Sofia,Bulgaria,1,0
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Petar Zhekov,P-26899,forward,FW,10,1944-10-10,21,Beroe Stara Zagora,Bulgaria,6,7
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Simeon Simeonov,P-66734,goal keeper,GK,21,1946-04-26,20,Slavia Sofia,Bulgaria,5,0
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Stefan Abadzhiev,P-04189,forward,FW,17,1934-07-03,32,Levski Sofia,Bulgaria,2,0
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Stoyan Kitov,P-20700,midfielder,MF,8,1938-08-27,27,Spartak Sofia,Bulgaria,1,0
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Vasil Metodiev,P-67000,midfielder,MF,12,1935-01-06,31,,,,
Bulgaria,BGR,1966 FIFA Men's World Cup,WC-1966,1966,Vidin Apostolov,P-94330,defender,DF,19,1941-10-17,24,,,,
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Adán Godoy,P-80104,goal keeper,GK,9,1936-11-26,29,,,,
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Alberto Fouilloux,P-69887,forward,FW,8,1940-11-22,25,,,,
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Alberto Valentini,P-24618,defender,DF,20,1938-11-25,27,,,,
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Armando Tobar,P-04782,midfielder,MF,18,1938-06-07,28,Universidad Católica Santiago,Chile,7,2
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Carlos Campos,P-42198,midfielder,MF,3,1937-02-14,29,Universidad de Chile Santiago,Chile,2,0
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Elías Figueroa,P-95834,defender,DF,7,1946-10-25,19,Santiago Wanderers Valparaíso,Chile,12,0
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Francisco Valdés,P-39340,forward,FW,19,1943-03-19,23,Colo Colo Santiago,Chile,2,1
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Guillermo Yávar,P-27288,forward,FW,22,1943-03-26,23,Universidad de Chile Santiago,Chile,8,1
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Honorino Landa,P-87363,forward,FW,11,1942-06-01,24,,,,
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Hugo Berly,P-77734,defender,DF,2,1941-12-31,24,,,,
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Hugo Villanueva,P-42080,defender,DF,21,1939-04-09,27,Universidad de Chile Santiago,Chile,13,0
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Humberto Cruz,P-23529,midfielder,MF,4,1939-12-08,26,Colo Colo Santiago,Chile,13,0
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Humberto Donoso,P-98099,defender,DF,5,1938-10-09,27,Universidad de Chile Santiago,Chile,2,0
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Ignacio Prieto,P-33539,midfielder,MF,14,1943-09-23,22,Universidad Católica Santiago,Chile,6,2
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Jaime Ramírez,P-98252,midfielder,MF,15,1931-08-14,34,,,,
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Juan Olivares,P-61074,goal keeper,GK,13,1941-02-20,25,Santiago Wanderers Valparaíso,Chile,7,0
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Leonel Sánchez,P-22224,midfielder,MF,17,1936-04-25,30,Universidad de Chile Santiago,Chile,9,0
Chile,CHL,1966 FIFA Men's World Cup,WC-1966,1966,Luis Eyzaguirre,P-15923,defender,DF,6,1939-06-22,27,Universidad de Chile Santiago,Chile,8,0
