tournament_id,year,team_id,team,confederation,elo_start,elo_end,elo_change,elo_status
WC-1962,1962,BRA,Brazil,CONMEBOL,2104,2195,91,final
WC-1962,1962,CSK,Czechoslovakia,UEFA,1977,1999,22,final
WC-1962,1962,CHL,Chile,CONMEBOL,1740,1833,93,final
WC-1962,1962,YUG,Yugoslavia,UEFA,1983,1932,-51,final
WC-1962,1962,ENG,England,UEFA,1923,1913,-10,final
WC-1962,1962,GER,Germany,UEFA,1901,1932,31,final
WC-1962,1962,HUN,Hungary,UEFA,1940,1958,18,final
WC-1962,1962,SUN,Soviet Union,UEFA,2031,2013,-18,final
WC-1962,1962,ARG,Argentina,CONMEBOL,1980,1941,-39,final
WC-1962,1962,BGR,Bulgaria,UEFA,1775,1750,-25,final
WC-1962,1962,COL,Colombia,CONMEBOL,1440,1458,18,final
WC-1962,1962,ITA,Italy,UEFA,1893,1872,-21,final
WC-1962,1962,MEX,Mexico,CONCACAF,1809,1848,39,final
WC-1962,1962,ESP,Spain,UEFA,1963,1936,-27,final
WC-1962,1962,CHE,Switzerland,UEFA,1707,1638,-69,final
WC-1962,1962,URY,Uruguay,CONMEBOL,1906,1853,-53,final
