tournament_id,year,country,team_id,team_code,confederation,placement,position,matches_played,gs,ga,start_elo,finish_elo,elo_change,next_edition,next_placement,next_position
WC-1962,1962,Brazil,BRA,BRA,CONMEBOL,Winner,1,6,14,5,2104,2195,91,1966,Group Stage,16
WC-1962,1962,Czechoslovakia,CSK,CSK,UEFA,Runner-up,2,6,7,7,1977,1999,22,1970,Group Stage,16
WC-1962,1962,Chile,CHL,CHL,CONMEBOL,Third Place,3,6,10,8,1740,1833,93,1966,Group Stage,16
WC-1962,1962,Yugoslavia,YUG,YUG,UEFA,Fourth Place,4,6,10,7,1983,1932,-51,1974,Quarter-final,8
WC-1962,1962,England,ENG,ENG,UEFA,Quarter-final,8,4,5,6,1923,1913,-10,1966,Winner,1
WC-1962,1962,Germany,GER,DEU,UEFA,Quarter-final,8,4,4,2,,,,1966,Semi-final,4
WC-1962,1962,Hungary,HUN,HUN,UEFA,Quarter-final,8,4,8,3,1940,1958,18,1966,Quarter-final,8
WC-1962,1962,Soviet Union,SUN,SUN,UEFA,Quarter-final,8,4,9,7,2031,2013,-18,1966,Fourth Place,4
WC-1962,1962,Argentina,ARG,ARG,CONMEBOL,Group Stage,16,3,2,3,1980,1941,-39,1966,Quarter-final,8
WC-1962,1962,Bulgaria,BGR,BGR,UEFA,Group Stage,16,3,1,7,1775,1750,-25,1966,Group Stage,16
WC-1962,1962,Colombia,COL,COL,CONMEBOL,Group Stage,16,3,5,11,1440,1458,18,1990,Round of 16,16
WC-1962,1962,Italy,ITA,ITA,UEFA,Group Stage,16,3,3,2,1893,1872,-21,1966,Group Stage,16
WC-1962,1962,Mexico,MEX,MEX,CONCACAF,Group Stage,16,3,3,4,1809,1848,39,1966,Group Stage,16
WC-1962,1962,Spain,ESP,ESP,UEFA,Group Stage,16,3,2,3,1963,1936,-27,1966,Group Stage,16
WC-1962,1962,Switzerland,CHE,CHE,UEFA,Group Stage,16,3,2,8,1707,1638,-69,1966,Group Stage,16
WC-1962,1962,Uruguay,URY,URY,CONMEBOL,Group Stage,16,3,4,6,1906,1853,-53,1966,Quarter-final,8
