tournament_id,year,team_id,team,confederation,elo_start,elo_end,elo_change,elo_status
WC-1978,1978,ARG,Argentina,CONMEBOL,1927,2041,114,final
WC-1978,1978,NED,Netherlands,UEFA,2092,2058,-34,final
WC-1978,1978,BRA,Brazil,CONMEBOL,2080,2143,63,final
WC-1978,1978,ITA,Italy,UEFA,1937,2004,67,final
WC-1978,1978,AUT,Austria,UEFA,1859,1851,-8,final
WC-1978,1978,GER,Germany,UEFA,,,,missing
WC-1978,1978,PER,Peru,CONMEBOL,1754,1809,55,final
WC-1978,1978,POL,Poland,UEFA,1942,1930,-12,final
WC-1978,1978,FRA,France,UEFA,1891,1894,3,final
WC-1978,1978,HUN,Hungary,UEFA,1907,1807,-100,final
WC-1978,1978,IRN,Iran,AFC,1803,1749,-54,final
WC-1978,1978,MEX,Mexico,CONCACAF,1798,1702,-96,final
WC-1978,1978,SCO,Scotland,UEFA,1944,1916,-28,final
WC-1978,1978,ESP,Spain,UEFA,1961,1951,-10,final
WC-1978,1978,SWE,Sweden,UEFA,1792,1771,-21,final
WC-1978,1978,TUN,Tunisia,CAF,1660,1709,49,final
