tournament,tournament_id,year,match_id,match_number,date,stage,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,city,country,neutral,team_elo_start,opponent_elo_start
1982 FIFA Men's World Cup,WC-1982,1982,WC-1982_005,5,1982-06-15,Group Stage,played,Cameroon,CMR,CMR,CAF,Peru,PER,PER,CONMEBOL,FALSE,La Coruña,Spain,TRUE,1627,1776
1982 FIFA Men's World Cup,WC-1982,1982,WC-1982_017,17,1982-06-19,Group Stage,played,Cameroon,CMR,CMR,CAF,Poland,POL,POL,UEFA,FALSE,La Coruña,Spain,TRUE,1639,1952
1982 FIFA Men's World Cup,WC-1982,1982,WC-1982_030,30,1982-06-23,Group Stage,played,Cameroon,CMR,CMR,CAF,Italy,ITA,ITA,UEFA,FALSE,Vigo,Spain,TRUE,1661,1887
1990 FIFA Men's World Cup,WC-1990,1990,WC-1990_001,1,1990-06-08,Group Stage,played,Cameroon,CMR,CMR,CAF,Argentina,ARG,ARG,CONMEBOL,FALSE,Milan,Italy,TRUE,1631,1794
1990 FIFA Men's World Cup,WC-1990,1990,WC-1990_014,14,1990-06-14,Group Stage,played,Cameroon,CMR,CMR,CAF,Romania,ROU,ROU,UEFA,TRUE,Bari,Italy,TRUE,1674,1945
1990 FIFA Men's World Cup,WC-1990,1990,WC-1990_026,26,1990-06-18,Group Stage,played,Cameroon,CMR,CMR,CAF,Soviet Union,SUN,SUN,UEFA,TRUE,Bari,Italy,TRUE,1724,1830
1990 FIFA Men's World Cup,WC-1990,1990,WC-1990_037,37,1990-06-23,Round of 16,played,Cameroon,CMR,CMR,CAF,Colombia,COL,COL,CONMEBOL,TRUE,Naples,Italy,TRUE,1684,1805
1990 FIFA Men's World Cup,WC-1990,1990,WC-1990_047,47,1990-07-01,Quarter-final,played,Cameroon,CMR,CMR,CAF,England,ENG,ENG,UEFA,TRUE,Naples,Italy,TRUE,1724,1981
1994 FIFA Men's World Cup,WC-1994,1994,WC-1994_007,7,1994-06-19,Group Stage,played,Cameroon,CMR,CMR,CAF,Sweden,SWE,SWE,UEFA,TRUE,Pasadena,United States,TRUE,1685,1905
1994 FIFA Men's World Cup,WC-1994,1994,WC-1994_018,18,1994-06-24,Group Stage,played,Cameroon,CMR,CMR,CAF,Brazil,BRA,BRA,CONMEBOL,FALSE,Palo Alto,United States,TRUE,1702,1997
