tournament_id,match_id,match_number,date,tournament,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
,,,1882-02-18,Friendly,played,Northern Ireland,NIR,NIR,UEFA,England,ENG,ENG,UEFA,TRUE,0,13,loss,Belfast,Ireland,FALSE,,,,,
,,,1882-02-25,Friendly,played,Northern Ireland,NIR,NIR,UEFA,Wales,WAL,WAL,UEFA,FALSE,1,7,loss,Wrexham,Wales,FALSE,,,,,
,,,1883-02-24,Friendly,played,Northern Ireland,NIR,NIR,UEFA,England,ENG,ENG,UEFA,FALSE,0,7,loss,Liverpool,England,FALSE,,,,,
,,,1883-03-17,Friendly,played,Northern Ireland,NIR,NIR,UEFA,Wales,WAL,WAL,UEFA,TRUE,1,1,draw,Belfast,Ireland,FALSE,,,,,
,,,1884-01-26,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Scotland,SCO,SCO,UEFA,TRUE,0,5,loss,Belfast,Ireland,FALSE,,,,,
,,,1884-02-09,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Wales,WAL,WAL,UEFA,FALSE,0,6,loss,Wrexham,Wales,FALSE,,,,,
,,,1884-02-23,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,England,ENG,ENG,UEFA,TRUE,1,8,loss,Belfast,Ireland,FALSE,,,,,
,,,1885-02-28,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,England,ENG,ENG,UEFA,FALSE,0,4,loss,Manchester,England,FALSE,,,,,
,,,1885-03-14,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Scotland,SCO,SCO,UEFA,FALSE,2,8,loss,Glasgow,Scotland,FALSE,,,,,
,,,1885-04-11,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Wales,WAL,WAL,UEFA,TRUE,2,8,loss,Belfast,Ireland,FALSE,,,,,
,,,1886-02-27,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Wales,WAL,WAL,UEFA,FALSE,0,5,loss,Wrexham,Wales,FALSE,,,,,
,,,1886-03-13,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,England,ENG,ENG,UEFA,TRUE,1,6,loss,Belfast,Ireland,FALSE,,,,,
,,,1886-03-20,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Scotland,SCO,SCO,UEFA,TRUE,2,7,loss,Belfast,Ireland,FALSE,,,,,
,,,1887-02-05,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,England,ENG,ENG,UEFA,FALSE,0,7,loss,Sheffield,England,FALSE,,,,,
,,,1887-02-19,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Scotland,SCO,SCO,UEFA,FALSE,1,4,loss,Glasgow,Scotland,FALSE,,,,,
,,,1887-03-12,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Wales,WAL,WAL,UEFA,TRUE,4,1,win,Belfast,Ireland,FALSE,,,,,
,,,1888-03-03,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Wales,WAL,WAL,UEFA,FALSE,0,11,loss,Wrexham,Wales,FALSE,,,,,
,,,1888-03-24,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Scotland,SCO,SCO,UEFA,TRUE,2,10,loss,Belfast,Ireland,FALSE,,,,,
,,,1888-04-07,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,England,ENG,ENG,UEFA,TRUE,1,5,loss,Belfast,Ireland,FALSE,,,,,
,,,1889-03-02,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,England,ENG,ENG,UEFA,FALSE,1,6,loss,Liverpool,England,FALSE,,,,,
,,,1889-03-09,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Scotland,SCO,SCO,UEFA,FALSE,0,7,loss,Glasgow,Scotland,FALSE,,,,,
,,,1889-04-27,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Wales,WAL,WAL,UEFA,TRUE,1,3,loss,Belfast,Ireland,FALSE,,,,,
,,,1890-02-08,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Wales,WAL,WAL,UEFA,FALSE,2,5,loss,Shrewsbury,England,TRUE,,,,,
,,,1890-03-15,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,England,ENG,ENG,UEFA,TRUE,1,9,loss,Belfast,Ireland,FALSE,,,,,
,,,1890-03-29,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Scotland,SCO,SCO,UEFA,TRUE,1,4,loss,Belfast,Ireland,FALSE,,,,,
,,,1891-02-07,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Wales,WAL,WAL,UEFA,TRUE,7,2,win,Belfast,Ireland,FALSE,,,,,
,,,1891-03-07,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,England,ENG,ENG,UEFA,FALSE,1,6,loss,Wolverhampton,England,FALSE,,,,,
,,,1891-03-28,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Scotland,SCO,SCO,UEFA,FALSE,1,2,loss,Glasgow,Scotland,FALSE,,,,,
,,,1892-02-27,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Wales,WAL,WAL,UEFA,FALSE,1,1,draw,Bangor,Wales,FALSE,,,,,
,,,1892-03-05,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,England,ENG,ENG,UEFA,TRUE,0,2,loss,Belfast,Ireland,FALSE,,,,,
,,,1892-03-19,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Scotland,SCO,SCO,UEFA,TRUE,2,3,loss,Belfast,Ireland,FALSE,,,,,
,,,1893-02-25,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,England,ENG,ENG,UEFA,FALSE,1,6,loss,Birmingham,England,FALSE,,,,,
,,,1893-03-25,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Scotland,SCO,SCO,UEFA,FALSE,1,6,loss,Glasgow,Scotland,FALSE,,,,,
,,,1894-02-24,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Wales,WAL,WAL,UEFA,FALSE,1,4,loss,Swansea,Wales,FALSE,,,,,
,,,1894-03-03,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,England,ENG,ENG,UEFA,TRUE,2,2,draw,Belfast,Ireland,FALSE,,,,,
,,,1894-03-31,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Scotland,SCO,SCO,UEFA,TRUE,1,2,loss,Belfast,Ireland,FALSE,,,,,
,,,1895-03-09,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,England,ENG,ENG,UEFA,FALSE,0,9,loss,Derby,England,FALSE,,,,,
,,,1895-03-16,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Wales,WAL,WAL,UEFA,TRUE,2,2,draw,Belfast,Ireland,FALSE,,,,,
,,,1895-03-30,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Scotland,SCO,SCO,UEFA,FALSE,1,3,loss,Glasgow,Scotland,FALSE,,,,,
,,,1896-02-29,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Wales,WAL,WAL,UEFA,FALSE,1,6,loss,Wrexham,Wales,FALSE,,,,,
,,,1896-03-07,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,England,ENG,ENG,UEFA,TRUE,0,2,loss,Belfast,Ireland,FALSE,,,,,
,,,1896-03-28,British Home Championship,played,Northern Ireland,NIR,NIR,UEFA,Scotland,SCO,SCO,UEFA,TRUE,3,3,draw,Belfast,Ireland,FALSE,,,,,
