match_number,date,stage,status,home_team,away_team,home_team_code,away_team_code,home_elo_start,away_elo_start,city,country,neutral
1,2014-06-12,Group Stage,played,Brazil,Croatia,BRA,HRV,2138,1818,São Paulo,Brazil,FALSE
2,2014-06-13,Group Stage,played,Chile,Australia,CHL,AUS,1920,1708,Cuiabá,Brazil,TRUE
3,2014-06-13,Group Stage,played,Mexico,Cameroon,MEX,CMR,1814,1606,Natal,Brazil,TRUE
4,2014-06-13,Group Stage,played,Spain,Netherlands,ESP,NLD,2107,1985,Salvador,Brazil,TRUE
5,2014-06-14,Group Stage,played,Colombia,Greece,COL,GRC,1922,1823,Belo Horizonte,Brazil,TRUE
6,2014-06-14,Group Stage,played,England,Italy,ENG,ITA,1931,1887,Manaus,Brazil,TRUE
7,2014-06-14,Group Stage,played,Ivory Coast,Japan,CIV,JPN,1772,1785,Recife,Brazil,TRUE
8,2014-06-14,Group Stage,played,Uruguay,Costa Rica,URY,CRI,1918,1711,Fortaleza,Brazil,TRUE
9,2014-06-15,Group Stage,played,Argentina,Bosnia and Herzegovina,ARG,BIH,2018,1785,Rio de Janeiro,Brazil,TRUE
10,2014-06-15,Group Stage,played,France,Honduras,FRA,HND,1897,1669,Porto Alegre,Brazil,TRUE
11,2014-06-15,Group Stage,played,Switzerland,Ecuador,CHE,ECU,1854,1836,Brasília,Brazil,TRUE
12,2014-06-16,Group Stage,played,Germany,Portugal,DEU,PRT,2073,1942,Salvador,Brazil,TRUE
13,2014-06-16,Group Stage,played,Ghana,United States,GHA,USA,1704,1856,Natal,Brazil,TRUE
14,2014-06-16,Group Stage,played,Iran,Nigeria,IRN,NGA,1715,1727,Curitiba,Brazil,TRUE
15,2014-06-17,Group Stage,played,Belgium,Algeria,BEL,DZA,1852,1625,Belo Horizonte,Brazil,TRUE
16,2014-06-17,Group Stage,played,Brazil,Mexico,BRA,MEX,2145,1828,Fortaleza,Brazil,FALSE
17,2014-06-17,Group Stage,played,Russia,South Korea,RUS,KOR,1848,1667,Cuiabá,Brazil,TRUE
18,2014-06-18,Group Stage,played,Australia,Netherlands,AUS,NLD,1687,2060,Curitiba,Brazil,TRUE
19,2014-06-18,Group Stage,played,Cameroon,Croatia,CMR,HRV,1592,1811,Manaus,Brazil,TRUE
20,2014-06-18,Group Stage,played,Spain,Chile,ESP,CHL,2032,1941,Rio de Janeiro,Brazil,TRUE
21,2014-06-19,Group Stage,played,Colombia,Ivory Coast,COL,CIV,1960,1803,Brasília,Brazil,TRUE
22,2014-06-19,Group Stage,played,Japan,Greece,JPN,GRC,1754,1785,Natal,Brazil,TRUE
23,2014-06-19,Group Stage,played,Uruguay,England,URY,ENG,1849,1897,São Paulo,Brazil,TRUE
24,2014-06-20,Group Stage,played,Honduras,Ecuador,HND,ECU,1647,1808,Curitiba,Brazil,TRUE
