tournament_id,year,country,team_id,team_code,confederation,placement,position,matches_played,gs,ga,start_elo,finish_elo,elo_change,next_edition,next_placement,next_position
WC-2010,2010,Spain,ESP,ESP,UEFA,Winner,1,7,8,2,2111,2164,53,2014,Group Stage,32
WC-2010,2010,Netherlands,NED,NLD,UEFA,Runner-up,2,7,12,6,2043,2097,54,2014,Third Place,3
WC-2010,2010,Germany,GER,DEU,UEFA,Third Place,3,7,16,5,1957,2061,104,2014,Winner,1
WC-2010,2010,Uruguay,URY,URY,CONMEBOL,Fourth Place,4,7,11,8,1845,1883,38,2014,Round of 16,16
WC-2010,2010,Argentina,ARG,ARG,CONMEBOL,Quarter-final,8,5,10,6,1921,1962,41,2014,Runner-up,2
WC-2010,2010,Brazil,BRA,BRA,CONMEBOL,Quarter-final,8,5,9,4,2109,2095,-14,2014,Fourth Place,4
WC-2010,2010,Ghana,GHA,GHA,CAF,Quarter-final,8,5,5,4,1687,1768,81,2014,Group Stage,32
WC-2010,2010,Paraguay,PRY,PRY,CONMEBOL,Quarter-final,8,5,3,2,1764,1779,15,,,
WC-2010,2010,Chile,CHL,CHL,CONMEBOL,Round of 16,16,4,3,5,1886,1881,-5,2014,Round of 16,16
WC-2010,2010,England,ENG,ENG,UEFA,Round of 16,16,4,3,5,2001,1915,-86,2014,Group Stage,32
WC-2010,2010,Japan,JPN,JPN,AFC,Round of 16,16,4,4,2,1678,1760,82,2014,Group Stage,32
WC-2010,2010,Mexico,MEX,MEX,CONCACAF,Round of 16,16,4,4,5,1898,1857,-41,2014,Round of 16,16
WC-2010,2010,Portugal,PRT,PRT,UEFA,Round of 16,16,4,7,1,1876,1886,10,2014,Group Stage,32
WC-2010,2010,Slovakia,SVK,SVK,UEFA,Round of 16,16,4,5,7,1670,1672,2,,,
WC-2010,2010,South Korea,KOR,KOR,AFC,Round of 16,16,4,6,8,1765,1745,-20,2014,Group Stage,32
WC-2010,2010,United States,USA,USA,CONCACAF,Round of 16,16,4,5,5,1784,1767,-17,2014,Round of 16,16
WC-2010,2010,Algeria,DZA,DZA,CAF,Group Stage,32,3,0,2,1539,1535,-4,2014,Round of 16,16
WC-2010,2010,Australia,AUS,AUS,AFC,Group Stage,32,3,3,6,1775,1783,8,2014,Group Stage,32
WC-2010,2010,Cameroon,CMR,CMR,CAF,Group Stage,32,3,2,5,1694,1636,-58,2014,Group Stage,32
WC-2010,2010,Denmark,DNK,DNK,UEFA,Group Stage,32,3,3,6,1778,1729,-49,2018,Round of 16,16
WC-2010,2010,France,FRA,FRA,UEFA,Group Stage,32,3,1,4,1861,1776,-85,2014,Quarter-final,8
WC-2010,2010,Greece,GRC,GRC,UEFA,Group Stage,32,3,2,5,1736,1707,-29,2014,Round of 16,16
WC-2010,2010,Honduras,HND,HND,CONCACAF,Group Stage,32,3,0,3,1714,1697,-17,2014,Group Stage,32
WC-2010,2010,Italy,ITA,ITA,UEFA,Group Stage,32,3,4,5,1936,1848,-88,2014,Group Stage,32
WC-2010,2010,Ivory Coast,CIV,CIV,CAF,Group Stage,32,3,4,3,1739,1763,24,2014,Group Stage,32
WC-2010,2010,New Zealand,NZL,NZL,OFC,Group Stage,32,3,2,2,1527,1581,54,,,
WC-2010,2010,Nigeria,NGA,NGA,CAF,Group Stage,32,3,3,5,1713,1678,-35,2014,Round of 16,16
WC-2010,2010,North Korea,PRK,PRK,AFC,Group Stage,32,3,1,12,1537,1494,-43,,,
WC-2010,2010,Serbia,SRB,SRB,UEFA,Group Stage,32,3,2,3,1840,1805,-35,2018,Group Stage,32
WC-2010,2010,Slovenia,SVN,SVN,UEFA,Group Stage,32,3,3,3,1686,1700,14,,,
WC-2010,2010,South Africa,ZAF,ZAF,CAF,Group Stage,32,3,3,5,1592,1617,25,,,
WC-2010,2010,Switzerland,CHE,CHE,UEFA,Group Stage,32,3,1,1,1761,1782,21,2014,Round of 16,16
