tournament,tournament_id,year,match_id,match_number,date,stage,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,city,country,neutral,team_elo_start,opponent_elo_start
1958 FIFA Men's World Cup,WC-1958,1958,WC-1958_006,6,1958-06-08,Group Stage,played,Wales,WAL,WAL,UEFA,Hungary,HUN,HUN,UEFA,FALSE,Sandviken,Sweden,TRUE,1718,2081
1958 FIFA Men's World Cup,WC-1958,1958,WC-1958_014,14,1958-06-11,Group Stage,played,Wales,WAL,WAL,UEFA,Mexico,MEX,MEX,CONCACAF,FALSE,Solna,Sweden,TRUE,1741,1742
1958 FIFA Men's World Cup,WC-1958,1958,WC-1958_024,24,1958-06-15,Group Stage,played,Wales,WAL,WAL,UEFA,Sweden,SWE,SWE,UEFA,FALSE,Solna,Sweden,FALSE,1741,1877
1958 FIFA Men's World Cup,WC-1958,1958,WC-1958_027,27,1958-06-17,Group Stage,played,Wales,WAL,WAL,UEFA,Hungary,HUN,HUN,UEFA,FALSE,Solna,Sweden,TRUE,1759,2037
1958 FIFA Men's World Cup,WC-1958,1958,WC-1958_028,28,1958-06-19,Quarter-final,played,Wales,WAL,WAL,UEFA,Brazil,BRA,BRA,CONMEBOL,FALSE,Gothenburg,Sweden,TRUE,1809,2053
2022 FIFA Men's World Cup,WC-2022,2022,WC-2022_004,4,2022-11-21,Group Stage,played,Wales,WAL,WAL,UEFA,United States,USA,USA,CONCACAF,FALSE,Al Rayyan,Qatar,TRUE,1789,1796
2022 FIFA Men's World Cup,WC-2022,2022,WC-2022_019,19,2022-11-25,Group Stage,played,Wales,WAL,WAL,UEFA,Iran,IRN,IRN,AFC,TRUE,Al Rayyan,Qatar,TRUE,1790,1761
2022 FIFA Men's World Cup,WC-2022,2022,WC-2022_035,35,2022-11-29,Group Stage,played,Wales,WAL,WAL,UEFA,England,ENG,ENG,UEFA,TRUE,Al Rayyan,Qatar,TRUE,1741,1943
