tournament,tournament_id,year,match_number,date,stage,status,team,team_code,opponent,opponent_code,is_home,city,country,neutral,team_elo_start,opponent_elo_start
1938 FIFA Men's World Cup,WC-1938,1938,7,1938-06-05,Round of 16,played,Norway,NOR,Italy,ITA,FALSE,Marseille,France,TRUE,1730,2052
1994 FIFA Men's World Cup,WC-1994,1994,8,1994-06-19,Group Stage,played,Norway,NOR,Mexico,MEX,TRUE,"Washington, D.C.",United States,TRUE,1851,1855
1994 FIFA Men's World Cup,WC-1994,1994,16,1994-06-23,Group Stage,played,Norway,NOR,Italy,ITA,FALSE,East Rutherford,United States,TRUE,1881,1947
1994 FIFA Men's World Cup,WC-1994,1994,30,1994-06-28,Group Stage,played,Norway,NOR,Republic of Ireland,IRL,FALSE,East Rutherford,United States,TRUE,1912,
1998 FIFA Men's World Cup,WC-1998,1998,2,1998-06-10,Group Stage,played,Norway,NOR,Morocco,MAR,FALSE,Montpellier,France,TRUE,1903,1727
1998 FIFA Men's World Cup,WC-1998,1998,18,1998-06-16,Group Stage,played,Norway,NOR,Scotland,SCO,FALSE,Bordeaux,France,TRUE,1889,1768
1998 FIFA Men's World Cup,WC-1998,1998,33,1998-06-23,Group Stage,played,Norway,NOR,Brazil,BRA,FALSE,Marseille,France,TRUE,1879,2112
1998 FIFA Men's World Cup,WC-1998,1998,50,1998-06-27,Round of 16,played,Norway,NOR,Italy,ITA,FALSE,Marseille,France,TRUE,1927,1980
2026 FIFA Men's World Cup,WC-2026,2026,18,2026-06-16,Group Stage,scheduled,Norway,NOR,Iraq,IRQ,FALSE,Foxborough,United States,TRUE,1912,1607
2026 FIFA Men's World Cup,WC-2026,2026,42,2026-06-22,Group Stage,scheduled,Norway,NOR,Senegal,SEN,TRUE,East Rutherford,United States,TRUE,1912,1879
2026 FIFA Men's World Cup,WC-2026,2026,65,2026-06-26,Group Stage,scheduled,Norway,NOR,France,FRA,TRUE,Foxborough,United States,TRUE,1912,2082
