tournament,tournament_id,year,match_number,date,stage,status,team,team_code,opponent,opponent_code,is_home,city,country,neutral,team_elo_start,opponent_elo_start
1930 FIFA Men's World Cup,WC-1930,1930,1,1930-07-13,Group Stage,played,Belgium,BEL,United States,USA,TRUE,Montevideo,Uruguay,TRUE,1661,1672
1930 FIFA Men's World Cup,WC-1930,1930,12,1930-07-20,Group Stage,played,Belgium,BEL,Paraguay,PRY,TRUE,Montevideo,Uruguay,TRUE,1610,1716
1934 FIFA Men's World Cup,WC-1934,1934,3,1934-05-27,Round of 16,played,Belgium,BEL,Germany,DEU,TRUE,Florence,Italy,TRUE,1549,1799
1938 FIFA Men's World Cup,WC-1938,1938,5,1938-06-05,Round of 16,played,Belgium,BEL,France,FRA,FALSE,Colombes,France,FALSE,1567,1630
1954 FIFA Men's World Cup,WC-1954,1954,5,1954-06-17,Group Stage,played,Belgium,BEL,England,ENG,TRUE,Basel,Switzerland,TRUE,1777,2021
1954 FIFA Men's World Cup,WC-1954,1954,13,1954-06-20,Group Stage,played,Belgium,BEL,Italy,ITA,TRUE,Lugano,Switzerland,TRUE,1795,1853
1970 FIFA Men's World Cup,WC-1970,1970,5,1970-06-03,Group Stage,played,Belgium,BEL,El Salvador,SLV,TRUE,Mexico City,Mexico,TRUE,1779,1534
1970 FIFA Men's World Cup,WC-1970,1970,9,1970-06-06,Group Stage,played,Belgium,BEL,Soviet Union,SUN,TRUE,Mexico City,Mexico,TRUE,1800,1926
1970 FIFA Men's World Cup,WC-1970,1970,24,1970-06-11,Group Stage,played,Belgium,BEL,Mexico,MEX,FALSE,Mexico City,Mexico,FALSE,1766,1731
1982 FIFA Men's World Cup,WC-1982,1982,1,1982-06-13,Group Stage,played,Belgium,BEL,Argentina,ARG,FALSE,Barcelona,Spain,TRUE,1916,2005
1982 FIFA Men's World Cup,WC-1982,1982,16,1982-06-19,Group Stage,played,Belgium,BEL,El Salvador,SLV,TRUE,Elche,Spain,TRUE,1954,1570
1982 FIFA Men's World Cup,WC-1982,1982,25,1982-06-22,Group Stage,played,Belgium,BEL,Hungary,HUN,TRUE,Elche,Spain,TRUE,1960,1802
1982 FIFA Men's World Cup,WC-1982,1982,38,1982-06-28,Quarter-final,played,Belgium,BEL,Poland,POL,FALSE,Barcelona,Spain,TRUE,1947,1963
1982 FIFA Men's World Cup,WC-1982,1982,42,1982-07-01,Quarter-final,played,Belgium,BEL,Soviet Union,SUN,TRUE,Barcelona,Spain,TRUE,1897,1985
1986 FIFA Men's World Cup,WC-1986,1986,8,1986-06-03,Group Stage,played,Belgium,BEL,Mexico,MEX,FALSE,Mexico City,Mexico,FALSE,1824,1841
1986 FIFA Men's World Cup,WC-1986,1986,24,1986-06-08,Group Stage,played,Belgium,BEL,Iraq,IRQ,FALSE,Toluca,Mexico,TRUE,1804,1579
1986 FIFA Men's World Cup,WC-1986,1986,31,1986-06-11,Group Stage,played,Belgium,BEL,Paraguay,PRY,FALSE,Toluca,Mexico,TRUE,1817,1836
