team,team_code,tournament,tournament_id,year,player_name,player_id,position,pos_code,shirt_number,date_of_birth,age,club,club_country,caps,goals
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Albert Guðmundsson,P-69192,midfielder,MF,4,1997-06-15,20,AZ Alkmaar,Netherlands,3,3
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Alfreð Finnbogason,P-70085,forward,FW,11,1989-02-01,29,FC Augsburg,Germany,7,4
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Ari Freyr Skúlason,P-02559,defender,DF,23,1987-05-14,31,,,,
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Arnór Ingvi Traustason,P-48976,midfielder,MF,21,1993-04-30,25,Malmö FF,Sweden,5,0
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Aron Gunnarsson,P-58772,midfielder,MF,17,1989-04-22,29,Cardiff City,Wales,5,0
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Birkir Bjarnason,P-90675,midfielder,MF,8,1988-05-27,30,Aston Villa FC,England,11,1
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Birkir Már Sævarsson,P-27331,defender,DF,2,1984-11-11,33,Valur Reykjavík,Iceland,8,0
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Björn Bergmann Sigurðarson,P-73258,forward,FW,9,1991-02-26,27,,,,
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Emil Hallfreðsson,P-07013,midfielder,MF,20,1984-06-29,33,Udinese Calcio,Italy,6,0
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Frederik Schram,P-93803,goal keeper,GK,12,1995-01-19,23,FC Roskilde,Denmark,2,0
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Gylfi Sigurðsson,P-83367,midfielder,MF,10,1989-09-08,28,,,,
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Hannes Þór Halldórsson,P-37032,goal keeper,GK,1,1984-04-27,34,,,,
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Hólmar Örn Eyjólfsson,P-09507,defender,DF,15,1990-08-06,27,,,,
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Hörður Björgvin Magnússon,P-28803,defender,DF,18,1993-02-11,25,,,,
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Jóhann Berg Guðmundsson,P-03161,midfielder,MF,7,1990-10-27,27,Burnley FC,England,8,0
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Jón Daði Böðvarsson,P-31941,forward,FW,22,1992-05-25,26,,,,
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Kári Árnason,P-45419,defender,DF,14,1982-10-13,35,Gençlerbirliği Ankara,Turkey,9,2
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Ragnar Sigurðsson,P-13758,defender,DF,6,1986-06-19,31,FK Rostov-na-Donu,Russia,10,0
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Rúnar Alex Rúnarsson,P-77257,goal keeper,GK,13,1995-02-18,23,Dijon FCO,France,4,0
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Rúrik Gíslason,P-38514,midfielder,MF,19,1988-02-25,30,SV Sandhausen,Germany,5,0
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Samúel Friðjónsson,P-68348,midfielder,MF,3,1996-02-22,22,Vålerenga IF,Norway,1,0
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Sverrir Ingi Ingason,P-82839,defender,DF,5,1993-08-05,24,,,,
Iceland,ISL,2018 FIFA Men's World Cup,WC-2018,2018,Ólafur Ingi Skúlason,P-05450,midfielder,MF,16,1983-04-01,35,,,,
