tournament_id,match_id,match_number,date,tournament,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
,,,1952-05-18,Friendly,played,German DR,DDR,DDR,UEFA,Hungary,HUN,HUN,UEFA,FALSE,0,5,loss,Budapest,Hungary,FALSE,1462,1947,1461,1948,-1
,,,1952-09-21,Friendly,played,German DR,DDR,DDR,UEFA,Poland,POL,POL,UEFA,FALSE,0,3,loss,Warsaw,Poland,FALSE,1461,1537,1452,1546,-9
,,,1952-10-26,Friendly,played,German DR,DDR,DDR,UEFA,Romania,ROU,ROU,UEFA,FALSE,1,3,loss,Bucharest,Romania,FALSE,1452,1629,1447,1634,-5
,,,1953-06-14,Friendly,played,German DR,DDR,DDR,UEFA,Bulgaria,BGR,BGR,UEFA,TRUE,0,0,draw,Dresden,German DR,FALSE,1447,1498,1446,1499,-1
,,,1954-05-08,Friendly,played,German DR,DDR,DDR,UEFA,Romania,ROU,ROU,UEFA,TRUE,0,1,loss,Berlin,German DR,FALSE,1446,1630,1438,1638,-8
,,,1954-09-26,Friendly,played,German DR,DDR,DDR,UEFA,Poland,POL,POL,UEFA,TRUE,0,1,loss,Rostock,German DR,FALSE,1438,1524,1428,1534,-10
,,,1954-10-24,Friendly,played,German DR,DDR,DDR,UEFA,Bulgaria,BGR,BGR,UEFA,FALSE,1,3,loss,Sofia,Bulgaria,FALSE,1428,1486,1419,1495,-9
,,,1955-09-18,Friendly,played,German DR,DDR,DDR,UEFA,Romania,ROU,ROU,UEFA,FALSE,3,2,win,Bucharest,Romania,FALSE,1419,1639,1436,1622,17
,,,1955-11-20,Friendly,played,German DR,DDR,DDR,UEFA,Bulgaria,BGR,BGR,UEFA,TRUE,1,0,win,Berlin,German DR,FALSE,1436,1534,1446,1524,10
,,,1956-07-22,Friendly,played,German DR,DDR,DDR,UEFA,Poland,POL,POL,UEFA,FALSE,2,0,win,Chorzów,Poland,FALSE,1446,1557,1469,1534,23
,,,1956-09-20,Friendly,played,German DR,DDR,DDR,UEFA,Indonesia,IDN,IDN,AFC,TRUE,3,1,win,Karl-Marx-Stadt,German DR,FALSE,1469,1490,1481,1478,12
,,,1956-10-14,Friendly,played,German DR,DDR,DDR,UEFA,Bulgaria,BGR,BGR,UEFA,FALSE,1,3,loss,Sofia,Bulgaria,FALSE,1481,1552,1473,1560,-8
,,,1957-03-10,Friendly,played,German DR,DDR,DDR,UEFA,Luxembourg,,,,TRUE,3,0,win,Berlin,German DR,FALSE,1473,1290,1479,1284,6
,,,1957-05-19,FIFA World Cup qualification,played,German DR,DDR,DDR,UEFA,Wales,WAL,WAL,UEFA,TRUE,2,1,win,Leipzig,German DR,FALSE,1479,1729,1507,1701,28
,,,1957-06-16,FIFA World Cup qualification,played,German DR,DDR,DDR,UEFA,Czechoslovakia,CSK,CSK,UEFA,FALSE,1,3,loss,Brno,Czechoslovakia,FALSE,1507,1855,1503,1859,-4
,,,1957-09-25,FIFA World Cup qualification,played,German DR,DDR,DDR,UEFA,Wales,WAL,WAL,UEFA,FALSE,1,4,loss,Cardiff,Wales,FALSE,1503,1689,1492,1700,-11
,,,1957-10-27,FIFA World Cup qualification,played,German DR,DDR,DDR,UEFA,Czechoslovakia,CSK,CSK,UEFA,TRUE,1,4,loss,Leipzig,German DR,FALSE,1492,1867,1480,1879,-12
,,,1958-05-04,Friendly,played,German DR,DDR,DDR,UEFA,Albania,,,,FALSE,1,1,draw,Tirana,Albania,FALSE,,,,,
,,,1958-06-28,Friendly,played,German DR,DDR,DDR,UEFA,Poland,POL,POL,UEFA,TRUE,1,1,draw,Rostock,German DR,FALSE,1483,1583,1483,1583,0
,,,1958-08-13,Friendly,played,German DR,DDR,DDR,UEFA,Norway,NOR,NOR,UEFA,FALSE,5,6,loss,Oslo,Norway,FALSE,1483,1624,1479,1628,-4
,,,1958-09-14,Friendly,played,German DR,DDR,DDR,UEFA,Romania,ROU,ROU,UEFA,TRUE,3,2,win,Leipzig,German DR,FALSE,1479,1663,1491,1651,12
,,,1958-10-05,Friendly,played,German DR,DDR,DDR,UEFA,Bulgaria,BGR,BGR,UEFA,TRUE,1,1,draw,Berlin,German DR,FALSE,1491,1687,1494,1684,3
,,,1958-11-02,Friendly,played,German DR,DDR,DDR,UEFA,Norway,NOR,NOR,UEFA,TRUE,4,1,win,Leipzig,German DR,FALSE,1494,1616,1513,1597,19
