tournament_id,year,team_id,team,confederation,elo_start,elo_end,elo_change,elo_status
WC-1982,1982,ITA,Italy,UEFA,1892,2012,120,final
WC-1982,1982,POL,Poland,UEFA,1958,1990,32,final
WC-1982,1982,FRA,France,UEFA,1880,1926,46,final
WC-1982,1982,GER,Germany,UEFA,,,,missing
WC-1982,1982,ARG,Argentina,CONMEBOL,2005,1942,-63,final
WC-1982,1982,AUT,Austria,UEFA,1920,1891,-29,final
WC-1982,1982,BEL,Belgium,UEFA,1916,1874,-42,final
WC-1982,1982,BRA,Brazil,CONMEBOL,2093,2115,22,final
WC-1982,1982,ENG,England,UEFA,1964,2029,65,final
WC-1982,1982,NIR,Northern Ireland,UEFA,1741,1764,23,final
WC-1982,1982,SUN,Soviet Union,UEFA,2012,2008,-4,final
WC-1982,1982,ESP,Spain,UEFA,1891,1835,-56,final
WC-1982,1982,DZA,Algeria,CAF,1696,1713,17,final
WC-1982,1982,CMR,Cameroon,CAF,1627,1678,51,final
WC-1982,1982,CHL,Chile,CONMEBOL,1771,1702,-69,final
WC-1982,1982,CSK,Czechoslovakia,UEFA,1896,1849,-47,final
WC-1982,1982,SLV,El Salvador,CONCACAF,1608,1557,-51,final
WC-1982,1982,HND,Honduras,CONCACAF,1600,1623,23,final
WC-1982,1982,HUN,Hungary,UEFA,1797,1815,18,final
WC-1982,1982,KWT,Kuwait,AFC,1629,1618,-11,final
WC-1982,1982,NZL,New Zealand,OFC,1596,1562,-34,final
WC-1982,1982,PER,Peru,CONMEBOL,1776,1742,-34,final
WC-1982,1982,SCO,Scotland,UEFA,1840,1854,14,final
WC-1982,1982,YUG,Yugoslavia,UEFA,1917,1890,-27,final
