tournament_id,year,team_id,team,confederation,elo_start,elo_end,elo_change,elo_status
WC-1930,1930,URY,Uruguay,CONMEBOL,1968,2034,66,final
WC-1930,1930,ARG,Argentina,CONMEBOL,2073,2059,-14,final
WC-1930,1930,USA,United States,CONCACAF,1672,1766,94,final
WC-1930,1930,YUG,Yugoslavia,UEFA,1590,1643,53,final
WC-1930,1930,BEL,Belgium,UEFA,1661,1589,-72,final
WC-1930,1930,BOL,Bolivia,CONMEBOL,1258,1244,-14,final
WC-1930,1930,BRA,Brazil,CONMEBOL,1923,1874,-49,final
WC-1930,1930,CHL,Chile,CONMEBOL,1575,1645,70,final
WC-1930,1930,FRA,France,UEFA,1547,1577,30,final
WC-1930,1930,MEX,Mexico,CONCACAF,1613,1498,-115,final
WC-1930,1930,PRY,Paraguay,CONMEBOL,1777,1737,-40,final
WC-1930,1930,PER,Peru,CONMEBOL,1541,1497,-44,final
WC-1930,1930,ROU,Romania,UEFA,1561,1596,35,final
WC-1934,1934,ITA,Italy,UEFA,1975,2047,72,final
WC-1934,1934,CSK,Czechoslovakia,UEFA,1847,1903,56,final
WC-1934,1934,GER,Germany,UEFA,1799,1853,54,final
WC-1934,1934,AUT,Austria,UEFA,2050,1995,-55,final
WC-1934,1934,HUN,Hungary,UEFA,1829,1844,15,final
WC-1934,1934,ESP,Spain,UEFA,1936,1969,33,final
WC-1934,1934,SWE,Sweden,UEFA,1730,1755,25,final
WC-1934,1934,CHE,Switzerland,UEFA,1615,1639,24,final
WC-1934,1934,ARG,Argentina,CONMEBOL,2062,2010,-52,final
WC-1934,1934,BEL,Belgium,UEFA,1549,1529,-20,final
WC-1934,1934,BRA,Brazil,CONMEBOL,1934,1889,-45,final
WC-1934,1934,EGY,Egypt,CAF,1707,1677,-30,final
WC-1934,1934,FRA,France,UEFA,1626,1621,-5,final
WC-1934,1934,NED,Netherlands,UEFA,1707,1669,-38,final
WC-1934,1934,ROU,Romania,UEFA,1639,1625,-14,final
WC-1934,1934,USA,United States,CONCACAF,1778,1758,-20,final
WC-1938,1938,ITA,Italy,UEFA,2052,2123,71,final
WC-1938,1938,HUN,Hungary,UEFA,1929,1949,20,final
WC-1938,1938,BRA,Brazil,CONMEBOL,1904,1935,31,final
WC-1938,1938,SWE,Sweden,UEFA,1644,1663,19,final
WC-1938,1938,CUB,Cuba,CONCACAF,1543,1518,-25,final
WC-1938,1938,CSK,Czechoslovakia,UEFA,1823,1838,15,final
WC-1938,1938,FRA,France,UEFA,1630,1642,12,final
WC-1938,1938,CHE,Switzerland,UEFA,1670,1723,53,final
WC-1938,1938,BEL,Belgium,UEFA,1567,1542,-25,final
WC-1938,1938,GER,Germany,UEFA,1831,1756,-75,final
WC-1938,1938,IDN,Indonesia,AFC,1468,1460,-8,final
WC-1938,1938,NED,Netherlands,UEFA,1707,1671,-36,final
WC-1938,1938,NOR,Norway,UEFA,1730,1722,-8,final
WC-1938,1938,POL,Poland,UEFA,1629,1619,-10,final
WC-1938,1938,ROU,Romania,UEFA,1557,1525,-32,final
WC-1950,1950,URY,Uruguay,CONMEBOL,1737,1872,135,final
WC-1950,1950,BRA,Brazil,CONMEBOL,1967,2013,46,final
WC-1950,1950,SWE,Sweden,UEFA,1974,1950,-24,final
WC-1950,1950,ESP,Spain,UEFA,1899,1868,-31,final
WC-1950,1950,BOL,Bolivia,CONMEBOL,1445,1423,-22,final
WC-1950,1950,CHL,Chile,CONMEBOL,1599,1640,41,final
WC-1950,1950,ENG,England,UEFA,2071,1982,-89,final
WC-1950,1950,ITA,Italy,UEFA,1973,1981,8,final
WC-1950,1950,MEX,Mexico,CONCACAF,1834,1729,-105,final
WC-1950,1950,PRY,Paraguay,CONMEBOL,1877,1850,-27,final
WC-1950,1950,CHE,Switzerland,UEFA,1709,1734,25,final
WC-1950,1950,USA,United States,CONCACAF,1580,1566,-14,final
WC-1950,1950,YUG,Yugoslavia,UEFA,1821,1878,57,final
WC-1954,1954,HUN,Hungary,UEFA,2146,2234,88,final
WC-1954,1954,AUT,Austria,UEFA,1868,1970,102,final
WC-1954,1954,GER,Germany,UEFA,,,,missing
WC-1954,1954,URY,Uruguay,CONMEBOL,1877,1941,64,final
WC-1954,1954,BRA,Brazil,CONMEBOL,2030,2011,-19,final
WC-1954,1954,ENG,England,UEFA,2021,1973,-48,final
WC-1954,1954,CHE,Switzerland,UEFA,1673,1722,49,final
WC-1954,1954,YUG,Yugoslavia,UEFA,1934,1959,25,final
WC-1954,1954,BEL,Belgium,UEFA,1777,1751,-26,final
WC-1954,1954,CSK,Czechoslovakia,UEFA,1748,1688,-60,final
WC-1954,1954,FRA,France,UEFA,1775,1782,7,final
WC-1954,1954,ITA,Italy,UEFA,1893,1829,-64,final
WC-1954,1954,MEX,Mexico,CONCACAF,1699,1659,-40,final
WC-1954,1954,SCO,Scotland,UEFA,1900,1807,-93,final
WC-1954,1954,KOR,South Korea,AFC,1679,1586,-93,final
WC-1954,1954,TUR,Turkey,UEFA,1586,1669,83,final
WC-1958,1958,BRA,Brazil,CONMEBOL,1976,2143,167,final
WC-1958,1958,SWE,Sweden,UEFA,1803,1900,97,final
WC-1958,1958,FRA,France,UEFA,1840,1893,53,final
WC-1958,1958,GER,Germany,UEFA,,,,missing
WC-1958,1958,NIR,Northern Ireland,UEFA,1738,1773,35,final
WC-1958,1958,SUN,Soviet Union,UEFA,1893,1901,8,final
WC-1958,1958,WAL,Wales,UEFA,1718,1797,79,final
WC-1958,1958,YUG,Yugoslavia,UEFA,1914,1920,6,final
WC-1958,1958,ARG,Argentina,CONMEBOL,1984,1922,-62,final
