tournament_id,year,team_id,team,team_code,confederation,tournament_name,placement,position,matches_played
WC-1930,1930,URY,Uruguay,URY,CONMEBOL,1930 FIFA Men's World Cup,Winner,1,4
WC-1930,1930,ARG,Argentina,ARG,CONMEBOL,1930 FIFA Men's World Cup,Runner-up,2,5
WC-1930,1930,USA,United States,USA,CONCACAF,1930 FIFA Men's World Cup,Third Place,3,3
WC-1930,1930,YUG,Yugoslavia,YUG,UEFA,1930 FIFA Men's World Cup,Fourth Place,4,3
WC-1930,1930,BEL,Belgium,BEL,UEFA,1930 FIFA Men's World Cup,Group Stage,13,2
WC-1930,1930,BOL,Bolivia,BOL,CONMEBOL,1930 FIFA Men's World Cup,Group Stage,13,2
WC-1930,1930,BRA,Brazil,BRA,CONMEBOL,1930 FIFA Men's World Cup,Group Stage,13,2
WC-1930,1930,CHL,Chile,CHL,CONMEBOL,1930 FIFA Men's World Cup,Group Stage,13,3
WC-1930,1930,FRA,France,FRA,UEFA,1930 FIFA Men's World Cup,Group Stage,13,3
WC-1930,1930,MEX,Mexico,MEX,CONCACAF,1930 FIFA Men's World Cup,Group Stage,13,3
WC-1930,1930,PRY,Paraguay,PRY,CONMEBOL,1930 FIFA Men's World Cup,Group Stage,13,2
WC-1930,1930,PER,Peru,PER,CONMEBOL,1930 FIFA Men's World Cup,Group Stage,13,2
WC-1930,1930,ROU,Romania,ROU,UEFA,1930 FIFA Men's World Cup,Group Stage,13,2
WC-1934,1934,ITA,Italy,ITA,UEFA,1934 FIFA Men's World Cup,Winner,1,5
WC-1934,1934,CSK,Czechoslovakia,CSK,UEFA,1934 FIFA Men's World Cup,Runner-up,2,4
WC-1934,1934,GER,Germany,DEU,UEFA,1934 FIFA Men's World Cup,Third Place,3,4
WC-1934,1934,AUT,Austria,AUT,UEFA,1934 FIFA Men's World Cup,Fourth Place,4,4
WC-1934,1934,HUN,Hungary,HUN,UEFA,1934 FIFA Men's World Cup,Quarter-final,8,2
WC-1934,1934,ESP,Spain,ESP,UEFA,1934 FIFA Men's World Cup,Quarter-final,8,3
WC-1934,1934,SWE,Sweden,SWE,UEFA,1934 FIFA Men's World Cup,Quarter-final,8,2
WC-1934,1934,CHE,Switzerland,CHE,UEFA,1934 FIFA Men's World Cup,Quarter-final,8,2
WC-1934,1934,ARG,Argentina,ARG,CONMEBOL,1934 FIFA Men's World Cup,Round of 16,16,1
WC-1934,1934,BEL,Belgium,BEL,UEFA,1934 FIFA Men's World Cup,Round of 16,16,1
WC-1934,1934,BRA,Brazil,BRA,CONMEBOL,1934 FIFA Men's World Cup,Round of 16,16,1
WC-1934,1934,EGY,Egypt,EGY,CAF,1934 FIFA Men's World Cup,Round of 16,16,1
WC-1934,1934,FRA,France,FRA,UEFA,1934 FIFA Men's World Cup,Round of 16,16,1
WC-1934,1934,NED,Netherlands,NLD,UEFA,1934 FIFA Men's World Cup,Round of 16,16,1
WC-1934,1934,ROU,Romania,ROU,UEFA,1934 FIFA Men's World Cup,Round of 16,16,1
WC-1934,1934,USA,United States,USA,CONCACAF,1934 FIFA Men's World Cup,Round of 16,16,1
WC-1938,1938,ITA,Italy,ITA,UEFA,1938 FIFA Men's World Cup,Winner,1,4
WC-1938,1938,HUN,Hungary,HUN,UEFA,1938 FIFA Men's World Cup,Runner-up,2,4
WC-1938,1938,BRA,Brazil,BRA,CONMEBOL,1938 FIFA Men's World Cup,Third Place,3,5
WC-1938,1938,SWE,Sweden,SWE,UEFA,1938 FIFA Men's World Cup,Fourth Place,4,3
WC-1938,1938,CUB,Cuba,CUB,CONCACAF,1938 FIFA Men's World Cup,Quarter-final,8,3
WC-1938,1938,CSK,Czechoslovakia,CSK,UEFA,1938 FIFA Men's World Cup,Quarter-final,8,3
WC-1938,1938,FRA,France,FRA,UEFA,1938 FIFA Men's World Cup,Quarter-final,8,2
WC-1938,1938,CHE,Switzerland,CHE,UEFA,1938 FIFA Men's World Cup,Quarter-final,8,3
WC-1938,1938,BEL,Belgium,BEL,UEFA,1938 FIFA Men's World Cup,Round of 16,16,1
WC-1938,1938,GER,Germany,DEU,UEFA,1938 FIFA Men's World Cup,Round of 16,16,2
WC-1938,1938,IDN,Indonesia,IDN,AFC,1938 FIFA Men's World Cup,Round of 16,16,1
WC-1938,1938,NED,Netherlands,NLD,UEFA,1938 FIFA Men's World Cup,Round of 16,16,1
WC-1938,1938,NOR,Norway,NOR,UEFA,1938 FIFA Men's World Cup,Round of 16,16,1
WC-1938,1938,POL,Poland,POL,UEFA,1938 FIFA Men's World Cup,Round of 16,16,1
WC-1938,1938,ROU,Romania,ROU,UEFA,1938 FIFA Men's World Cup,Round of 16,16,2
WC-1950,1950,URY,Uruguay,URY,CONMEBOL,1950 FIFA Men's World Cup,Winner,1,4
WC-1950,1950,BRA,Brazil,BRA,CONMEBOL,1950 FIFA Men's World Cup,Runner-up,2,6
