lead_in_id,match_key,date,qualified_team_id,qualified_team_name,source_team_name,opponent_team_id,opponent_name,source_opponent_name,perspective,is_home_perspective,home_team,away_team,home_team_canonical,away_team_canonical,team_score,opponent_score,goal_difference,team_elo_start,opponent_elo_start,team_elo_delta,result,tournament,city,country,neutral,days_before_tournament,goalscorer_events_for_team,goalscorer_events_for_opponent,penalty_goal_events_for_team,penalty_goal_events_for_opponent,own_goal_events_for_team,own_goal_events_for_opponent,decided_by_shootout,shootout_winner,shootout_first_shooter,tournament_id,match_id,match_number,stage,status
lead_in_000001,1872-11-30|Scotland|England,1872-11-30,SCO,Scotland,Scotland,ENG,England,England,home,True,Scotland,England,Scotland,England,0,0,0,2000.0,2000.0,-3.0,draw,Friendly,Glasgow,Scotland,False,56075,0,0,0,0,0,0,False,,,1872_friendly,1872-11-30|Scotland|England,,Friendly,completed
lead_in_000002,1872-11-30|Scotland|England,1872-11-30,ENG,England,England,SCO,Scotland,Scotland,away,False,Scotland,England,Scotland,England,0,0,0,2000.0,2000.0,3.0,draw,Friendly,Glasgow,Scotland,False,56075,0,0,0,0,0,0,False,,,1872_friendly,1872-11-30|Scotland|England,,Friendly,completed
lead_in_000003,1873-03-08|England|Scotland,1873-03-08,ENG,England,England,SCO,Scotland,Scotland,home,True,England,Scotland,England,Scotland,4,2,2,2003.0,1997.0,11.0,win,Friendly,London,England,False,55977,0,0,0,0,0,0,False,,,1873_friendly,1873-03-08|England|Scotland,,Friendly,completed
lead_in_000004,1873-03-08|England|Scotland,1873-03-08,SCO,Scotland,Scotland,ENG,England,England,away,False,England,Scotland,England,Scotland,2,4,-2,1997.0,2003.0,-11.0,loss,Friendly,London,England,False,55977,0,0,0,0,0,0,False,,,1873_friendly,1873-03-08|England|Scotland,,Friendly,completed
lead_in_000005,1874-03-07|Scotland|England,1874-03-07,SCO,Scotland,Scotland,ENG,England,England,home,True,Scotland,England,Scotland,England,2,1,1,1986.0,2014.0,8.0,win,Friendly,Glasgow,Scotland,False,55613,0,0,0,0,0,0,False,,,1874_friendly,1874-03-07|Scotland|England,,Friendly,completed
lead_in_000006,1874-03-07|Scotland|England,1874-03-07,ENG,England,England,SCO,Scotland,Scotland,away,False,Scotland,England,Scotland,England,1,2,-1,2014.0,1986.0,-8.0,loss,Friendly,Glasgow,Scotland,False,55613,0,0,0,0,0,0,False,,,1874_friendly,1874-03-07|Scotland|England,,Friendly,completed
lead_in_000007,1875-03-06|England|Scotland,1875-03-06,ENG,England,England,SCO,Scotland,Scotland,home,True,England,Scotland,England,Scotland,2,2,0,2006.0,1994.0,-3.0,draw,Friendly,London,England,False,55249,0,0,0,0,0,0,False,,,1875_friendly,1875-03-06|England|Scotland,,Friendly,completed
lead_in_000008,1875-03-06|England|Scotland,1875-03-06,SCO,Scotland,Scotland,ENG,England,England,away,False,England,Scotland,England,Scotland,2,2,0,1994.0,2006.0,3.0,draw,Friendly,London,England,False,55249,0,0,0,0,0,0,False,,,1875_friendly,1875-03-06|England|Scotland,,Friendly,completed
lead_in_000009,1876-03-04|Scotland|England,1876-03-04,SCO,Scotland,Scotland,ENG,England,England,home,True,Scotland,England,Scotland,England,3,0,3,1997.0,2003.0,13.0,win,Friendly,Glasgow,Scotland,False,54885,0,0,0,0,0,0,False,,,1876_friendly,1876-03-04|Scotland|England,,Friendly,completed
lead_in_000010,1876-03-04|Scotland|England,1876-03-04,ENG,England,England,SCO,Scotland,Scotland,away,False,Scotland,England,Scotland,England,0,3,-3,2003.0,1997.0,-13.0,loss,Friendly,Glasgow,Scotland,False,54885,0,0,0,0,0,0,False,,,1876_friendly,1876-03-04|Scotland|England,,Friendly,completed
