tournament,tournament_id,year,match_id,match_number,date,stage,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,city,country,neutral,team_elo_start,opponent_elo_start
1998 FIFA Men's World Cup,WC-1998,1998,WC-1998_005,5,1998-06-12,Group Stage,played,South Africa,ZAF,ZAF,CAF,France,FRA,FRA,UEFA,FALSE,Marseille,France,FALSE,1637,2002
1998 FIFA Men's World Cup,WC-1998,1998,WC-1998_022,22,1998-06-18,Group Stage,played,South Africa,ZAF,ZAF,CAF,Denmark,DNK,DNK,UEFA,TRUE,Toulouse,France,TRUE,1630,1894
1998 FIFA Men's World Cup,WC-1998,1998,WC-1998_039,39,1998-06-24,Group Stage,played,South Africa,ZAF,ZAF,CAF,Saudi Arabia,KSA,SAU,AFC,TRUE,Bordeaux,France,TRUE,1649,1625
2002 FIFA Men's World Cup,WC-2002,2002,WC-2002_007,7,2002-06-02,Group Stage,played,South Africa,ZAF,ZAF,CAF,Paraguay,PRY,PRY,CONMEBOL,FALSE,Busan,South Korea,TRUE,1641,1731
2002 FIFA Men's World Cup,WC-2002,2002,WC-2002_026,26,2002-06-08,Group Stage,played,South Africa,ZAF,ZAF,CAF,Slovenia,SVN,SVN,UEFA,TRUE,Daegu,South Korea,TRUE,1649,1725
2002 FIFA Men's World Cup,WC-2002,2002,WC-2002_039,39,2002-06-12,Group Stage,played,South Africa,ZAF,ZAF,CAF,Spain,ESP,ESP,UEFA,TRUE,Daejeon,South Korea,TRUE,1685,1999
2010 FIFA Men's World Cup,WC-2010,2010,WC-2010_001,1,2010-06-11,Group Stage,played,South Africa,ZAF,ZAF,CAF,Mexico,MEX,MEX,CONCACAF,TRUE,Johannesburg,South Africa,FALSE,1592,1898
2010 FIFA Men's World Cup,WC-2010,2010,WC-2010_016,16,2010-06-16,Group Stage,played,South Africa,ZAF,ZAF,CAF,Uruguay,URY,URY,CONMEBOL,TRUE,Pretoria,South Africa,FALSE,1608,1846
2010 FIFA Men's World Cup,WC-2010,2010,WC-2010_036,36,2010-06-22,Group Stage,played,South Africa,ZAF,ZAF,CAF,France,FRA,FRA,UEFA,TRUE,Bloemfontein,South Africa,FALSE,1575,1818
2026 FIFA Men's World Cup,WC-2026,2026,WC-2026_001,1,2026-06-11,Group Stage,scheduled,South Africa,ZAF,ZAF,CAF,Mexico,MEX,MEX,CONCACAF,FALSE,Mexico City,Mexico,FALSE,1524,1858
2026 FIFA Men's World Cup,WC-2026,2026,WC-2026_025,25,2026-06-18,Group Stage,scheduled,South Africa,ZAF,ZAF,CAF,Czechia,CZE,CZE,UEFA,FALSE,Atlanta,United States,TRUE,1524,1726
2026 FIFA Men's World Cup,WC-2026,2026,WC-2026_050,50,2026-06-24,Group Stage,scheduled,South Africa,ZAF,ZAF,CAF,South Korea,KOR,KOR,AFC,TRUE,Guadalupe,Mexico,TRUE,1524,1752
