tournament_id,year,team_id,team,team_code,confederation,tournament_name,placement,position,matches_played
WC-1986,1986,ARG,Argentina,ARG,CONMEBOL,1986 FIFA Men's World Cup,Winner,1,7
WC-1986,1986,FRA,France,FRA,UEFA,1986 FIFA Men's World Cup,Third Place,3,7
WC-1986,1986,BEL,Belgium,BEL,UEFA,1986 FIFA Men's World Cup,Fourth Place,4,7
WC-1986,1986,GER,Germany,DEU,UEFA,1986 FIFA Men's World Cup,Semi-final,4,7
WC-1986,1986,BRA,Brazil,BRA,CONMEBOL,1986 FIFA Men's World Cup,Quarter-final,8,5
WC-1986,1986,ENG,England,ENG,UEFA,1986 FIFA Men's World Cup,Quarter-final,8,5
WC-1986,1986,MEX,Mexico,MEX,CONCACAF,1986 FIFA Men's World Cup,Quarter-final,8,5
WC-1986,1986,ESP,Spain,ESP,UEFA,1986 FIFA Men's World Cup,Quarter-final,8,5
WC-1986,1986,BGR,Bulgaria,BGR,UEFA,1986 FIFA Men's World Cup,Round of 16,16,4
WC-1986,1986,DNK,Denmark,DNK,UEFA,1986 FIFA Men's World Cup,Round of 16,16,4
WC-1986,1986,ITA,Italy,ITA,UEFA,1986 FIFA Men's World Cup,Round of 16,16,4
WC-1986,1986,MAR,Morocco,MAR,CAF,1986 FIFA Men's World Cup,Round of 16,16,4
WC-1986,1986,PRY,Paraguay,PRY,CONMEBOL,1986 FIFA Men's World Cup,Round of 16,16,4
WC-1986,1986,POL,Poland,POL,UEFA,1986 FIFA Men's World Cup,Round of 16,16,4
WC-1986,1986,SUN,Soviet Union,SUN,UEFA,1986 FIFA Men's World Cup,Round of 16,16,4
WC-1986,1986,URY,Uruguay,URY,CONMEBOL,1986 FIFA Men's World Cup,Round of 16,16,4
WC-1986,1986,DZA,Algeria,DZA,CAF,1986 FIFA Men's World Cup,Group Stage,24,3
WC-1986,1986,CAN,Canada,CAN,CONCACAF,1986 FIFA Men's World Cup,Group Stage,24,3
WC-1986,1986,HUN,Hungary,HUN,UEFA,1986 FIFA Men's World Cup,Group Stage,24,3
WC-1986,1986,IRQ,Iraq,IRQ,AFC,1986 FIFA Men's World Cup,Group Stage,24,3
WC-1986,1986,NIR,Northern Ireland,NIR,UEFA,1986 FIFA Men's World Cup,Group Stage,24,3
WC-1986,1986,PRT,Portugal,PRT,UEFA,1986 FIFA Men's World Cup,Group Stage,24,3
WC-1986,1986,SCO,Scotland,SCO,UEFA,1986 FIFA Men's World Cup,Group Stage,24,3
WC-1986,1986,KOR,South Korea,KOR,AFC,1986 FIFA Men's World Cup,Group Stage,24,3
