tournament,tournament_id,year,match_id,match_number,date,stage,status,team,team_id,team_code,team_confederation,opponent,opponent_id,opponent_code,opponent_confederation,is_home,city,country,neutral,team_elo_start,opponent_elo_start
1994 FIFA Men's World Cup,WC-1994,1994,WC-1994_011,11,1994-06-21,Group Stage,played,Greece,GRC,GRC,UEFA,Argentina,ARG,ARG,CONMEBOL,FALSE,Foxborough,United States,TRUE,1689,1915
1994 FIFA Men's World Cup,WC-1994,1994,WC-1994_024,24,1994-06-26,Group Stage,played,Greece,GRC,GRC,UEFA,Bulgaria,BGR,BGR,UEFA,FALSE,Chicago,United States,TRUE,1665,1714
1994 FIFA Men's World Cup,WC-1994,1994,WC-1994_036,36,1994-06-30,Group Stage,played,Greece,GRC,GRC,UEFA,Nigeria,NGA,NGA,CAF,TRUE,Foxborough,United States,TRUE,1617,1775
2010 FIFA Men's World Cup,WC-2010,2010,WC-2010_005,5,2010-06-12,Group Stage,played,Greece,GRC,GRC,UEFA,South Korea,KOR,KOR,AFC,FALSE,Port Elizabeth,South Africa,TRUE,1736,1765
2010 FIFA Men's World Cup,WC-2010,2010,WC-2010_020,20,2010-06-17,Group Stage,played,Greece,GRC,GRC,UEFA,Nigeria,NGA,NGA,CAF,TRUE,Bloemfontein,South Africa,TRUE,1695,1699
2010 FIFA Men's World Cup,WC-2010,2010,WC-2010_033,33,2010-06-22,Group Stage,played,Greece,GRC,GRC,UEFA,Argentina,ARG,ARG,CONMEBOL,TRUE,Polokwane,South Africa,TRUE,1725,1969
2014 FIFA Men's World Cup,WC-2014,2014,WC-2014_005,5,2014-06-14,Group Stage,played,Greece,GRC,GRC,UEFA,Colombia,COL,COL,CONMEBOL,FALSE,Belo Horizonte,Brazil,TRUE,1823,1922
2014 FIFA Men's World Cup,WC-2014,2014,WC-2014_022,22,2014-06-19,Group Stage,played,Greece,GRC,GRC,UEFA,Japan,JPN,JPN,AFC,FALSE,Natal,Brazil,TRUE,1785,1754
2014 FIFA Men's World Cup,WC-2014,2014,WC-2014_038,38,2014-06-24,Group Stage,played,Greece,GRC,GRC,UEFA,Ivory Coast,CIV,CIV,CAF,TRUE,Fortaleza,Brazil,TRUE,1782,1786
2014 FIFA Men's World Cup,WC-2014,2014,WC-2014_051,51,2014-06-29,Round of 16,played,Greece,GRC,GRC,UEFA,Costa Rica,CRI,CRI,CONCACAF,FALSE,Recife,Brazil,TRUE,1812,1826
