date,tournament,status,team,team_code,opponent,opponent_code,is_home,team_score,opponent_score,result,city,country,neutral,team_elo_start,opponent_elo_start,team_elo_end,opponent_elo_end,team_elo_delta
1984-02-15,Friendly,played,Togo,TGO,Ghana,GHA,TRUE,2,1,win,Lomé,Togo,FALSE,1500,1717,1513,1704,13
1984-02-19,Friendly,played,Togo,TGO,Gabon,,FALSE,1,1,draw,Libreville,Gabon,FALSE,1513,1332,1511,1334,-2
1984-03-04,African Cup of Nations,played,Togo,TGO,Ivory Coast,CIV,FALSE,0,3,loss,Abidjan,Ivory Coast,FALSE,1511,1601,1489,1623,-22
1984-03-07,African Cup of Nations,played,Togo,TGO,Cameroon,CMR,FALSE,1,4,loss,Abidjan,Ivory Coast,TRUE,1489,1564,1455,1598,-34
1984-03-10,African Cup of Nations,played,Togo,TGO,Egypt,EGY,FALSE,0,0,draw,Abidjan,Ivory Coast,TRUE,1455,1689,1470,1674,15
1984-11-17,West African Cup,played,Togo,TGO,Burkina Faso,,FALSE,1,1,draw,Ouagadougou,Burkina Faso,FALSE,1470,1331,1468,1333,-2
1984-11-21,West African Cup,played,Togo,TGO,Ghana,GHA,FALSE,2,2,draw,Ouagadougou,Burkina Faso,TRUE,1468,1678,1479,1667,11
1984-11-23,West African Cup,played,Togo,TGO,Ivory Coast,CIV,FALSE,1,1,draw,Ouagadougou,Burkina Faso,TRUE,1479,1515,1481,1513,2
1984-11-25,West African Cup,played,Togo,TGO,Benin,,FALSE,2,0,win,Ouagadougou,Burkina Faso,TRUE,1481,1226,1492,1215,11
1984-11-28,West African Cup,played,Togo,TGO,Ghana,GHA,FALSE,1,1,draw,Ouagadougou,Burkina Faso,TRUE,1492,1660,1501,1651,9
1985-03-31,African Cup of Nations qualification,played,Togo,TGO,Senegal,SEN,TRUE,0,1,loss,Tsévié,Togo,FALSE,1501,1537,1477,1561,-24
1985-04-07,Friendly,played,Togo,TGO,Mali,,FALSE,0,4,loss,Bamako,Mali,FALSE,1477,1465,1449,1493,-28
1985-04-14,African Cup of Nations qualification,played,Togo,TGO,Senegal,SEN,FALSE,1,1,draw,Dakar,Senegal,FALSE,1449,1561,1460,1550,11
1985-04-21,Friendly,played,Togo,TGO,Mali,,TRUE,3,0,win,Lomé,Togo,FALSE,1460,1493,1488,1465,28
1986-02-24,West African Cup,played,Togo,TGO,Burkina Faso,,FALSE,1,0,win,Accra,Ghana,TRUE,1488,1349,1500,1337,12
1986-02-25,West African Cup,played,Togo,TGO,Ghana,GHA,FALSE,2,2,draw,Accra,Ghana,FALSE,1500,1571,1509,1562,9
1986-02-27,West African Cup,played,Togo,TGO,Liberia,,TRUE,1,0,win,Accra,Ghana,TRUE,1509,1264,1517,1256,8
1986-02-28,West African Cup,played,Togo,TGO,Niger,,FALSE,1,3,loss,Accra,Ghana,TRUE,1517,1243,1467,1293,-50
1986-03-01,West African Cup,played,Togo,TGO,Niger,,TRUE,3,1,win,Accra,Ghana,TRUE,1467,1293,1483,1277,16
1986-03-02,West African Cup,played,Togo,TGO,Ghana,GHA,FALSE,0,1,loss,Accra,Ghana,FALSE,1483,1584,1473,1594,-10
1986-07-27,Friendly,played,Togo,TGO,Nigeria,NGA,FALSE,2,2,draw,Monrovia,Liberia,TRUE,,,,,
1986-07-31,Friendly,played,Togo,TGO,Ghana,GHA,FALSE,1,1,draw,Monrovia,Liberia,TRUE,,,,,
1986-08-02,Friendly,played,Togo,TGO,Liberia,,FALSE,0,1,loss,Monrovia,Liberia,FALSE,1473,1261,1453,1281,-20
1987-03-28,African Cup of Nations qualification,played,Togo,TGO,Nigeria,NGA,FALSE,0,2,loss,Lagos,Nigeria,FALSE,1404,1541,1392,1553,-12
1987-04-12,African Cup of Nations qualification,played,Togo,TGO,Nigeria,NGA,TRUE,1,1,draw,Lomé,Togo,FALSE,1392,1553,1395,1550,3
1987-11-18,Friendly,played,Togo,TGO,Central African Republic,,TRUE,1,0,win,Lomé,Togo,FALSE,1395,1222,1398,1219,3
1987-11-22,Friendly,played,Togo,TGO,Ivory Coast,CIV,FALSE,0,3,loss,Abidjan,Ivory Coast,FALSE,1398,1634,1389,1643,-9
1987-12-13,Friendly,played,Togo,TGO,Ivory Coast,CIV,TRUE,1,0,win,Lomé,Togo,FALSE,1389,1643,1417,1615,28
1988-05-11,Friendly,played,Togo,TGO,Guadeloupe,,FALSE,1,2,loss,Paris,France,TRUE,,,,,
1988-05-13,Friendly,played,Togo,TGO,Réunion,,FALSE,0,1,loss,Paris,France,TRUE,,,,,
1990-02-11,Friendly,played,Togo,TGO,Cameroon,CMR,TRUE,1,1,draw,Lomé,Togo,FALSE,1378,1702,1384,1696,6
1990-07-29,Friendly,played,Togo,TGO,Mali,,TRUE,0,0,draw,Lomé,Togo,FALSE,1384,1431,1382,1433,-2
1990-08-19,African Cup of Nations qualification,played,Togo,TGO,Nigeria,NGA,FALSE,0,3,loss,Lagos,Nigeria,FALSE,,,,,
1990-09-02,African Cup of Nations qualification,played,Togo,TGO,Burkina Faso,,FALSE,0,2,loss,Ouagadougou,Burkina Faso,FALSE,1375,1415,1356,1434,-19
1990-09-30,African Cup of Nations qualification,played,Togo,TGO,Ghana,GHA,TRUE,0,1,loss,Lomé,Togo,FALSE,1356,1484,1338,1502,-18
1990-10-14,African Cup of Nations qualification,played,Togo,TGO,Benin,,FALSE,1,1,draw,Cotonou,Benin,FALSE,1338,1210,1336,1212,-2
1991-01-27,African Cup of Nations qualification,played,Togo,TGO,Nigeria,NGA,TRUE,0,0,draw,Lomé,Togo,FALSE,1336,1644,1347,1633,11
