team,team_code,tournament,tournament_id,year,player_name,player_id,position,pos_code,shirt_number,date_of_birth,age,club,club_country,caps,goals
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Aleksandr Ivanov,P-92440,forward,FW,17,1928-04-14,30,,,,
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Anatoli Ilyin,P-80609,forward,FW,11,1931-06-27,26,Spartak Moskva,Soviet Union,9,3
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Anatoli Maslyonkin,P-63158,defender,DF,15,1930-06-26,27,,,,
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Boris Kuznetsov,P-49657,defender,DF,4,1928-07-14,29,Dinamo Moskva,Soviet Union,9,0
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Gennadi Gusarov,P-87288,forward,FW,19,1937-03-11,21,,,,
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Genrich Fedosov,P-09442,forward,FW,21,1932-12-06,25,,,,
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,German Apukhtin,P-35585,forward,FW,7,1936-06-12,21,CSK MO Moskva,Soviet Union,2,0
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Igor Netto,P-65970,midfielder,MF,6,1930-01-09,28,Spartak Moskva,Soviet Union,2,0
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Konstantin Krizhevsky,P-33632,midfielder,MF,3,1926-02-20,32,,,,
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Leonid Ostrovskiy,P-04392,defender,DF,14,1936-01-17,22,,,,
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Lev Yashin,P-09317,goal keeper,GK,1,1929-10-22,28,Dinamo Moskva,Soviet Union,6,0
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Nikita Simonyan,P-54948,forward,FW,9,1926-10-12,31,Spartak Moskva,Soviet Union,7,1
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Sergei Salnikov,P-67694,forward,FW,10,1925-09-13,32,Spartak Moskva,Soviet Union,3,0
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Valentin Bubukin,P-77966,forward,FW,18,1933-04-23,25,,,,
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Valentin Ivanov,P-11702,forward,FW,8,1934-11-19,23,Torpedo Moskva,Soviet Union,8,3
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Viktor Tsarev,P-49145,midfielder,MF,16,1931-06-02,27,,,,
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Vladimir Belyayev,P-01959,goal keeper,GK,13,1933-09-15,24,Dinamo Moskva,Soviet Union,3,0
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Vladimir Kesarev,P-48811,defender,DF,2,1930-02-26,28,Dinamo Moskva,Soviet Union,8,0
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Vladimir Maslachenko,P-92483,goal keeper,GK,12,1936-03-05,22,,,,
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Vladimir Yerokhin,P-68478,defender,DF,22,1930-04-10,28,,,,
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Yuri Falin,P-45067,forward,FW,20,1937-04-02,21,Torpedo Moskva,Soviet Union,2,0
Soviet Union,SUN,1958 FIFA Men's World Cup,WC-1958,1958,Yuri Voinov,P-69088,defender,DF,5,1931-11-29,26,Dinamo Kiev,Soviet Union,9,1
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Albert Shesternyov,P-28651,midfielder,MF,8,1941-06-20,20,,,,
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Aleksei Mamykin,P-03441,forward,FW,16,1936-02-29,26,CSKA Moskva,Soviet Union,5,7
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Anatoli Maslyonkin,P-63158,defender,DF,7,1930-06-26,31,,,,
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Eduard Dubinski,P-70032,defender,DF,4,1935-04-06,27,CSKA Moskva,Soviet Union,4,0
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Galimzyan Khusainov,P-57969,midfielder,MF,21,1937-06-27,24,,,,
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Gennadi Gusarov,P-87288,forward,FW,13,1937-03-11,25,Torpedo Moskva,Soviet Union,1,1
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Givi Chokheli,P-68508,defender,DF,5,1937-06-27,24,Dinamo Tbilisi,Soviet Union,6,0
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Igor Chislenko,P-38721,midfielder,MF,22,1939-01-04,23,Dinamo Moskva,Soviet Union,5,3
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Igor Netto,P-65970,midfielder,MF,10,1930-01-09,32,Spartak Moskva,Soviet Union,7,0
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Leonid Ostrovskiy,P-04392,defender,DF,6,1936-01-17,26,,,,
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Lev Yashin,P-09317,goal keeper,GK,1,1929-10-22,32,Dinamo Moskva,Soviet Union,7,0
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Mikhail Meskhi,P-45798,forward,FW,17,1937-01-12,25,Dinamo Tbilisi,Soviet Union,6,0
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Nikolai Manoshin,P-35635,midfielder,MF,9,1938-03-06,24,,,,
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Sergey Kotrikadze,P-56493,goal keeper,GK,3,1936-08-09,25,,,,
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Slava Metreveli,P-19936,midfielder,MF,18,1936-05-30,26,Torpedo Moskva,Soviet Union,2,0
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Valentin Ivanov,P-11702,forward,FW,14,1934-11-19,27,Torpedo Moskva,Soviet Union,6,5
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Valery Voronin,P-63252,defender,DF,12,1939-07-17,22,,,,
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Viktor Kanevski,P-63122,forward,FW,15,1936-10-03,25,Dinamo Kiev,Soviet Union,2,0
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Viktor Ponedelnik,P-05819,forward,FW,19,1937-05-22,25,SKA Rostov-na-Donu,Soviet Union,7,3
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Viktor Serebryanikov,P-60181,forward,FW,20,1940-03-29,22,,,,
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Vladimir Maslachenko,P-92483,goal keeper,GK,2,1936-03-05,26,Spartak Moskva,Soviet Union,0,0
Soviet Union,SUN,1962 FIFA Men's World Cup,WC-1962,1962,Yozhef Sabo,P-22661,midfielder,MF,11,1940-02-29,22,,,,
Soviet Union,SUN,1966 FIFA Men's World Cup,WC-1966,1966,Albert Shesternyov,P-28651,defender,DF,6,1941-06-20,25,CSKA Moskva,Soviet Union,14,0
Soviet Union,SUN,1966 FIFA Men's World Cup,WC-1966,1966,Alexey Korneyev,P-99442,defender,DF,13,1939-02-06,27,,,,
Soviet Union,SUN,1966 FIFA Men's World Cup,WC-1966,1966,Anatoliy Banishevskiy,P-44798,forward,FW,18,1946-02-23,20,,,,
Soviet Union,SUN,1966 FIFA Men's World Cup,WC-1966,1966,Anzor Kavazashvili,P-79597,goal keeper,GK,21,1940-07-19,25,Torpedo Moskva,Soviet Union,5,0
