tournament_id,year,team_id,team,confederation,elo_start,elo_end,elo_change,elo_status
WC-2006,2006,ITA,Italy,UEFA,1943,2077,134,final
WC-2006,2006,FRA,France,UEFA,1970,2065,95,final
WC-2006,2006,GER,Germany,UEFA,1895,1954,59,final
WC-2006,2006,PRT,Portugal,UEFA,1915,1939,24,final
WC-2006,2006,ARG,Argentina,CONMEBOL,1922,2005,83,final
WC-2006,2006,BRA,Brazil,CONMEBOL,2034,2059,25,final
WC-2006,2006,ENG,England,UEFA,1973,2000,27,final
WC-2006,2006,UKR,Ukraine,UEFA,1790,1787,-3,final
WC-2006,2006,AUS,Australia,AFC,1798,1804,6,final
WC-2006,2006,ECU,Ecuador,CONMEBOL,1700,1768,68,final
WC-2006,2006,GHA,Ghana,CAF,1616,1714,98,final
WC-2006,2006,MEX,Mexico,CONCACAF,1839,1821,-18,final
WC-2006,2006,NED,Netherlands,UEFA,1994,1982,-12,final
WC-2006,2006,ESP,Spain,UEFA,1964,1958,-6,final
WC-2006,2006,SWE,Sweden,UEFA,1859,1849,-10,final
WC-2006,2006,CHE,Switzerland,UEFA,1799,1857,58,final
WC-2006,2006,AGO,Angola,CAF,1565,1595,30,final
WC-2006,2006,CRI,Costa Rica,CONCACAF,1724,1640,-84,final
WC-2006,2006,HRV,Croatia,UEFA,1838,1816,-22,final
WC-2006,2006,CZE,Czechia,UEFA,1971,1879,-92,final
WC-2006,2006,IRN,Iran,AFC,1842,1753,-89,final
WC-2006,2006,CIV,Ivory Coast,CAF,1766,1769,3,final
WC-2006,2006,JPN,Japan,AFC,1789,1737,-52,final
WC-2006,2006,PRY,Paraguay,CONMEBOL,1779,1766,-13,final
WC-2006,2006,POL,Poland,UEFA,1821,1772,-49,final
WC-2006,2006,KSA,Saudi Arabia,AFC,1554,1534,-20,final
WC-2006,2006,SCG,Serbia and Montenegro,UEFA,1800,1717,-83,final
WC-2006,2006,KOR,South Korea,AFC,1744,1733,-11,final
WC-2006,2006,TGO,Togo,CAF,1488,1460,-28,final
WC-2006,2006,TTO,Trinidad and Tobago,CONCACAF,1566,1553,-13,final
WC-2006,2006,TUN,Tunisia,CAF,1703,1657,-46,final
WC-2006,2006,USA,United States,CONCACAF,1824,1765,-59,final
